# Official name: A.P. Bernstorff Gletsjer, Foreign name: A.P. Bernstorff Gletsjer, Mouginot/Mankoff name: Ap Bernstoff Gletscher, Mouginot region: SE, Mankoff discharge gate (2021): 290, closest NSIDC/MEASUREs ID: 190, distance to closest NSIDC/MEASUREs ID: 3837m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,71279,340209586,7037553,347318418
2010-02,27942,307190839,7037553,314256334
2010-03,152401,340065753,7037553,347255707
2010-04,69,335178082,7037553,342215704
2010-05,49232009,359175342,7156600,415563952
2010-06,226933819,355561644,10261720,592757183
2010-07,451199181,325712329,16322998,793234508
2010-08,486519350,361128767,18125406,865773524
2010-09,240879734,342739726,10740089,594359549
2010-10,26275569,350427397,7051089,383754055
2010-11,103948,335396255,7037553,342537756
2010-12,66606,342856752,7040302,349963660
2011-01,4349,339012102,7037560,346054011
2011-02,653411,302722258,7039514,310415184
2011-03,108070,331657534,7037553,338803157
2011-04,56924,317178082,7037553,324272559
2011-05,9363,324013699,7037553,331060615
2011-06,125135618,309863014,8646079,443644712
2011-07,430988432,316369863,12567169,759925464
2011-08,277183407,324693151,11322439,613198996
2011-09,35188883,308301370,7140171,350630424
2011-10,185990,316794521,7078593,324059104
2011-11,113905,304863388,7123188,312100480
2011-12,157729,313349226,7094280,320601234
2012-01,10913,311613699,7037553,318662164
2012-02,29876,289458506,7037553,296525934
2012-03,42004,308216438,7037553,315295995
2012-04,43978,328356164,7037553,335437695
2012-05,32216889,323673973,7037714,362928576
2012-06,394693272,310273973,11740588,716707832
2012-07,675415246,296241096,21062093,992718435
2012-08,485569616,313821918,16599762,815991295
2012-09,36788871,321780822,7119423,365689117
2012-10,651315,310084932,7135927,317872174
2012-11,45249,301890411,7037674,308973333
2012-12,76487,309552002,7037796,316666285
2013-01,97658,304039436,7494740,311631834
2013-02,2943,269643836,7559435,277206214
2013-03,10471,294542466,7302384,301855321
2013-04,144,307972603,7037553,315010299
2013-05,2776,332167123,7037553,339207452
2013-06,110333724,323342466,7990330,441666520
2013-07,298835276,328345205,11516873,638697354
2013-08,229729291,313906849,10181429,553817570
2013-09,18111594,323589041,7200768,348901403
2013-10,452606,325457534,7037553,332947693
2013-11,10640,314630137,7037553,321678330
2013-12,7121,324268493,7037553,331313167
2014-01,123233,323504110,7037589,330664932
2014-02,68877,291736986,7037585,298843448
2014-03,104504,328684932,7184451,335973886
2014-04,6810,307068493,7037556,314112860
2014-05,11568904,311783562,7037553,330390018
2014-06,184284635,305753425,9124148,499162208
2014-07,398794498,319257534,11684207,729736239
2014-08,448897026,316794521,12311196,778002742
2014-09,51678902,320383562,7444931,379507394
2014-10,629690,320021918,7038140,327689748
2014-11,87788,314219178,7037555,321344521
2014-12,118591,329279452,7037553,336435596
2015-01,3367,333610959,7037565,340651890
2015-02,119064,305315068,7037564,312471696
2015-03,182825,339938356,7037565,347158746
2015-04,51614,328446273,7037564,335535452
2015-05,135705,338876712,7037555,346049973
2015-06,114087747,328683157,7805012,450575916
2015-07,284885909,340872603,11235407,636993919
2015-08,241689799,341934247,10676814,594300860
2015-09,79886757,310767123,7767726,398421607
2015-10,756436,327963014,7039531,335758980
2015-11,792311,316011502,7038083,323841897
2015-12,171638,322697260,7037605,329906503
2016-01,59902,303417808,7037553,310515263
2016-02,28007,284099713,7037553,291165272
2016-03,82885,304309589,7037553,311430026
2016-04,2636,297053238,7038895,304094770
