# Official name: Academy Gletsjer, Foreign name: Academy Gletsjer, Mouginot/Mankoff name: Academy, Mouginot region: NO, Mankoff discharge gate (2021): 7, closest NSIDC/MEASUREs ID: 104, distance to closest NSIDC/MEASUREs ID: 3015m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,34840882,5413882,40254764
2010-02,0,32091589,5413882,37505470
2010-03,0,36180822,5413882,41594703
2010-04,0,35753425,5413882,41167306
2010-05,7310153,37624658,5415170,50349980
2010-06,294663404,37068493,6401844,338133741
2010-07,1047116409,39068493,13022637,1099207539
2010-08,180661912,39747945,6407824,226817681
2010-09,220,39205479,5413882,44619581
2010-10,0,41191781,5413882,46605662
2010-11,0,40553508,5413882,45967389
2010-12,0,42603432,5413882,48017314
2011-01,0,43325384,5413882,48739265
2011-02,0,39778427,5413882,45192309
2011-03,0,44673973,5413882,50087854
2011-04,0,43890411,5413882,49304292
2011-05,0,46032877,5413882,51446758
2011-06,516589178,45287671,8851049,570727898
2011-07,1154134606,47476712,15113224,1216724542
2011-08,345054903,48156164,8346943,401558010
2011-09,0,47342466,5413882,52756347
2011-10,0,49600000,5413882,55013882
2011-11,0,48690587,5413882,54104468
2011-12,0,51009243,5413882,56423124
2012-01,0,51723288,5413882,57137169
2012-02,0,49036707,5413882,54450589
2012-03,0,53082192,5413882,58496073
2012-04,0,52109589,5413882,57523471
2012-05,5890272,54526027,5423935,65840235
2012-06,506661842,53424658,9174528,569261028
2012-07,1463179496,55884932,21946471,1541010898
2012-08,524998273,56649315,10710153,592357741
2012-09,3,55479452,5413882,60893337
2012-10,0,58093151,5413882,63507032
2012-11,0,56794521,5413882,62208402
2012-12,0,58024383,5413882,63438265
2013-01,0,56513737,5413882,61927619
2013-02,0,49709589,5413882,55123471
2013-03,0,54016438,5413882,59430320
2013-04,0,51205479,5413882,56619361
2013-05,4870129,51808219,5413882,62092230
2013-06,318070075,48986301,7690024,374746400
2013-07,773158362,49515068,13922985,836596415
2013-08,169909137,48326027,7146858,225382022
2013-09,0,45698630,5413882,51112512
2013-10,0,46117808,5413882,51531690
2013-11,0,43479452,5413882,48893334
2013-12,0,43824658,5413882,49238539
2014-01,0,42720548,5413882,48134429
2014-02,0,37512329,5413882,42926210
2014-03,0,40512329,5413882,45926210
2014-04,0,38054795,5413882,43468676
2014-05,6048700,38219178,5432623,49700501
2014-06,368290357,35917808,8178749,412386915
2014-07,870939722,36010959,15386602,922337283
2014-08,340058906,34821918,9251550,384132374
2014-09,367,33082192,5413882,38496440
2014-10,0,33887671,5413882,39301553
2014-11,0,32547945,5413882,37961827
2014-12,0,33378082,5413882,38791964
2015-01,0,34227397,5413882,39641279
2015-02,0,31567123,5413882,36981005
2015-03,0,30830137,5413882,36244019
2015-04,0,31604083,5413882,37017965
2015-05,0,34397260,5413882,39811142
2015-06,201427817,30033421,6344697,237805935
2015-07,1709665333,25649315,27952555,1763267203
2015-08,240800886,21147945,7021504,268970335
2015-09,0,28109589,5413882,33523471
2015-10,0,20808219,5413882,26222101
2015-11,0,21753611,5413882,27167492
2015-12,0,25267123,5413882,30681005
2016-01,0,27900000,5413882,33313882
2016-02,0,27422346,5413882,32836228
2016-03,0,30235616,5413882,35649498
2016-04,0,29847942,5413882,35261824
2016-05,73405,31552055,5413882,37039341
2016-06,611637524,33844981,10023054,655505559
2016-07,1447547693,37709589,21849165,1507106448
2016-08,245524558,34524658,7751339,287800554
2016-09,2013,33780822,5413888,39196724
2016-10,0,35212603,5413882,40626484
2016-11,0,34191781,5413882,39605662
2016-12,0,35076712,5413882,40490594
2017-01,0,35909041,5413886,41322927
2017-02,0,34635616,5413886,40049502
2017-03,0,37752055,5413886,43165941
2017-04,0,37400390,5413886,42814276
2017-05,3930811,40427397,5413886,49772094
2017-06,610909433,41835616,9707131,662452180
2017-07,1108286757,45721461,17500503,1171508721
2017-08,346126394,46287671,9207722,401621787
2017-09,75839,49808219,5413883,55297942
2017-10,0,50491781,5413882,55905662
2017-11,0,50424658,5413882,55838539
2017-12,0,52784932,5413882,58198813
2018-01,0,53523836,5413882,58937717
2018-02,0,49632877,5413882,55046758
2018-03,0,54797808,5413882,60211690
2018-04,0,55068493,5413882,60482375
2018-05,0,58483836,5413882,63897717
2018-06,160177741,61438356,6074495,227690592
2018-07,589393119,68341553,9357333,667092005
2018-08,421686012,70323288,8850172,500859471
2018-09,0,71178082,5413882,76591964
2018-10,0,71278767,5413882,76692649
2018-11,0,71780822,5413882,77194703
2018-12,0,76098630,5413882,81512512
2019-01,0,76947945,5413882,82361827
2019-02,0,73375342,5413882,78789224
2019-03,0,79467580,5413882,84881461
2019-04,0,78821918,5413882,84235799
2019-05,7947544,81746575,5413882,95108001
2019-06,701670333,76027397,11222340,788920071
2019-07,1848519104,78136986,26661857,1953317948
2019-08,724859238,68624658,14413864,807897760
2019-09,333143,50342466,5414146,56089755
2019-10,0,47448402,5413882,52862283
2019-11,0,48452055,5413882,53865936
2019-12,0,48637443,5413882,54051324
2020-01,0,50392694,5413882,55806576
2020-02,0,50372603,5413882,55786484
2020-03,0,55686758,5413882,61100640
2020-04,0,52931507,5413882,58345388
2020-05,16003561,56734247,5426702,78164510
2020-06,536407271,62013699,9220841,607641810
2020-07,1446729434,65255708,21920726,1533905867
2020-08,446524626,64505479,9471035,520501140
2020-09,57230,56575342,5413882,62046454
2020-10,0,58517808,5413882,63931690
2020-11,0,57534247,5413882,62948128
2020-12,0,60768493,5413882,66182375
