# Official name: Akullersuup Sermia, Foreign name: Akullersuup Sermia, Mouginot/Mankoff name: Akullersuup-Qamanaarsuup, Mouginot region: SW, Mankoff discharge gate (2021): 270, closest NSIDC/MEASUREs ID: 208, distance to closest NSIDC/MEASUREs ID: 4758m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,706,52283710,1806370,54090786
2010-02,638,50123253,1806370,51930261
2010-03,706,58008219,1806370,59815295
2010-04,9406,58438356,1806370,60254132
2010-05,124663019,65312329,2853631,192828979
2010-06,364688154,44794521,8761618,418244293
2010-07,713088478,42041096,18215827,773345400
2010-08,730855311,42041096,19670275,792566682
2010-09,125027545,42986301,4257045,172270892
2010-10,7968196,54865753,1806371,64640320
2010-11,12887185,55144682,1806370,69838237
2010-12,10704,58263084,1806370,60080158
2011-01,1578,59128720,1806370,60936668
2011-02,1425,54077916,1806370,55885711
2011-03,1578,60726027,1806370,62533975
2011-04,1527,59835616,1806370,61643513
2011-05,1578,60471233,1806370,62279180
2011-06,298321850,47342466,7939530,353603846
2011-07,729314513,37709589,19346457,786370559
2011-08,440857356,49175342,13036226,503068924
2011-09,20703866,41589041,1900128,64193035
2011-10,6763,45863014,1806370,47676146
2011-11,805832,47278660,1806370,49890863
2011-12,0,51757611,1806370,53563981
2012-01,0,54780822,1806370,56587192
2012-02,238535,54115060,1806370,56159964
2012-03,0,60726027,1806370,62532397
2012-04,10596591,61726027,1806370,74128989
2012-05,85911105,65057534,2485156,153453796
2012-06,711592545,48246575,16946704,776785825
2012-07,1247721494,35161644,33667908,1316551046
2012-08,487725026,37879452,13123479,538727957
2012-09,58152325,40027397,2317610,100497333
2012-10,8526814,45947945,1881439,56356198
2012-11,5125948,42739726,1806370,49672044
2012-12,0,45826176,1806370,47632546
2013-01,0,49634607,1806370,51440977
2013-02,0,48252055,1806370,50058425
2013-03,38457,56139726,1806370,57984553
2013-04,664781,47917808,1806370,50388959
2013-05,3985120,54780822,1806370,60572312
2013-06,157199313,63616438,3927118,224742869
2013-07,417604612,48326027,11285923,477216562
2013-08,243362323,38728767,7596278,289687368
2013-09,20998498,44301370,2034987,67334855
2013-10,5355222,56309589,1806370,63471180
2013-11,29168,43726027,1806370,45561565
2013-12,0,50279452,1806370,52085822
2014-01,0,55545205,1806370,57351575
2014-02,0,49863014,1806370,51669384
2014-03,0,55205479,1806370,57011849
2014-04,0,54821918,1806370,56628288
2014-05,8910053,57243836,1806370,67960259
2014-06,284417811,49315068,7002222,340735102
2014-07,563654294,34991781,14072925,612719000
2014-08,556014810,36605479,15336064,607956353
2014-09,55128335,42452055,2931641,100512032
2014-10,56932,47221918,1806375,49085225
2014-11,0,44958904,1806370,46765274
2014-12,0,47136986,1806370,48943356
2015-01,0,47858904,1806370,49665274
2015-02,53984,47446575,1806370,49306930
2015-03,0,52232877,1806370,54039247
2015-04,0,50333051,1806370,52139421
2015-05,484787,51680822,1806370,53971979
2015-06,148660432,43171541,4112902,195944875
2015-07,431684135,38134247,11366214,481184596
2015-08,204622041,38134247,5127953,247884240
2015-09,95458191,42739726,3534276,141732194
2015-10,2782504,38728767,1806370,43317641
2015-11,0,40313626,1806370,42119996
2015-12,0,45863014,1806370,47669384
2016-01,0,48368493,1806370,50174863
2016-02,0,45925165,1806370,47731535
2016-03,0,49345205,1806370,51151575
2016-04,31483770,46685888,1806429,79976087
2016-05,78005565,46032877,2255221,126293662
2016-06,449956987,40724061,10616113,501297161
2016-07,624426369,38091781,15629302,678147452
2016-08,496758904,35883562,13436912,546079377
2016-09,14104512,41465753,1967488,57537753
2016-10,1360605,43043288,1806370,46210263
2016-11,479997,46150685,1806370,48437052
2016-12,0,49243288,1806370,51049658
2017-01,0,49973699,1806370,51780069
2017-02,0,45413699,1806370,47220069
2017-03,0,51022603,1806370,52828973
2017-04,0,49897667,1806370,51704037
2017-05,39994307,51808219,2165207,93967733
2017-06,188701838,41465753,4428051,234595642
2017-07,361542792,41673059,9352542,412568393
2017-08,436552175,38898630,12168000,487618806
2017-09,82803326,44547945,3714023,131065294
2017-10,31878580,41573973,2261680,75714232
2017-11,1820690,38465753,1806370,42092814
2017-12,18,42826712,1806370,44633100
2018-01,975,45302466,1806370,47109811
2018-02,881,42326027,1806370,44133278
2018-03,975,46814247,1806370,48621592
2018-04,34507,47547945,1806370,49388822
2018-05,115468,48343014,1806370,50264852
2018-06,130937543,41301370,3813093,176052006
2018-07,499304686,34736986,14023607,548065280
2018-08,272370443,34397260,7589652,314357355
2018-09,11036309,36082192,1806370,48924871
2018-10,18210,41828767,1806370,43653347
2018-11,280,41506849,1806370,43313500
2018-12,175885,46117808,1806370,48100063
2019-01,464,47561644,1806370,49368477
2019-02,419,43495890,1806370,45302679
2019-03,464,49033790,1806370,50840624
2019-04,4378454,47863014,1806370,54047837
2019-05,93553505,53124658,2130823,148808986
2019-06,441566481,36082192,10510226,488158899
2019-07,799953625,34482192,21067577,855503394
2019-08,406740210,32500457,11196566,450437232
2019-09,29109474,33616438,2211431,64937343
2019-10,1285311,39181735,1806370,42273416
2019-11,1042,39698630,1806370,41506042
2019-12,1077,43683105,1806370,45490552
2020-01,0,44107763,1806370,45914132
2020-02,0,42030137,1806370,43836507
2020-03,75037,46938813,1806370,48820219
2020-04,321895,46643836,1806370,48772101
2020-05,33498988,52402740,1806667,87708394
2020-06,365703135,41712329,9506461,416921925
2020-07,733404613,36831963,19138530,789375107
2020-08,412297757,34227397,11308006,457833160
2020-09,53256650,32904110,2747179,88907938
2020-10,6346932,41573973,1806370,49727274
2020-11,44696,41041096,1806370,42892161
2020-12,10579,44886301,1806370,46703251
