# Official name: Apuliliip Apusiia, Foreign name: Polaric Gletsjer, Mouginot/Mankoff name: Polaric-Deception O N, Mouginot region: CE, Mankoff discharge gate (2021): 203, closest NSIDC/MEASUREs ID: 155, distance to closest NSIDC/MEASUREs ID: 5844m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,23402,147436382,3702938,151162722
2010-02,134,133146961,3702938,136850033
2010-03,11965,147356164,3702938,151071067
2010-04,1882,133561644,3702938,137266464
2010-05,26666092,132747945,4179878,163593915
2010-06,220783326,151232877,7092752,379108955
2010-07,441752388,158906849,14075639,614734876
2010-08,363284321,158736986,13661808,535683115
2010-09,341000159,153534247,9917720,504452125
2010-10,19148245,154660274,3937744,177746263
2010-11,11758,145048757,3712163,148772678
2010-12,10580,144644392,3703540,148358512
2011-01,10216,139597435,3706124,143313775
2011-02,56247,122788484,3725402,126570133
2011-03,4211,134701370,3702940,138408520
2011-04,2329,133643836,3702940,137349104
2011-05,836931,152791781,3704021,157332733
2011-06,104921017,133561644,4945376,243428037
2011-07,371923881,165786301,11946794,549656977
2011-08,233125579,146506849,8802204,388434632
2011-09,96515450,133397260,4703984,234616694
2011-10,1824071,143449315,3712591,148985977
2011-11,1089800,144422927,3704270,149216997
2011-12,20024,154833742,3704131,158557897
2012-01,1070,160605479,3702938,164309487
2012-02,1001,156967602,3702938,160671541
2012-03,1068,171731507,3702938,175435513
2012-04,1419,143013699,3702941,146718058
2012-05,2045211,159076712,3713450,164835374
2012-06,285350309,165287671,7910680,458548660
2012-07,479364761,149989041,17921555,647275357
2012-08,353882102,154830137,12989436,521701675
2012-09,28167344,136191781,4162104,168521229
2012-10,442740,140306849,3734199,144483788
2012-11,34368,135452055,3702938,139189360
2012-12,163,142866799,3738245,146605207
2013-01,6002,149489853,3703200,153199055
2013-02,5425,140920548,3704906,144630879
2013-03,6007,160605479,3717605,164329091
2013-04,5813,137506849,3709400,141222063
2013-05,2767012,134446575,3711159,140924746
2013-06,139730169,140465753,5276119,285472041
2013-07,351743756,148800000,9333064,509876821
2013-08,248361945,158397260,8448766,415207972
2013-09,30539827,140136986,3991446,174668259
2013-10,16990295,138438356,3916247,159344898
2013-11,14317,138082192,3704115,141800623
2013-12,14832,146846575,3704355,150565762
2014-01,7738,151178082,3702939,154888760
2014-02,6988,140383562,3702938,144093487
2014-03,7738,145487671,3702938,149198347
2014-04,7477,135123288,3702938,138833703
2014-05,6590028,140731507,3712355,151033890
2014-06,163024216,160602740,5632911,329259867
2014-07,367119526,153386301,10171983,530677810
2014-08,331593472,143619178,10918817,486131467
2014-09,90967849,140301370,4843365,236112583
2014-10,20158251,147950685,3833104,171942040
2014-11,3219647,140219178,3704877,147143702
2014-12,12832,141920548,3702970,145636350
2015-01,62470,138820548,3702938,142585956
2015-02,11714,131561644,3702938,135276296
2015-03,25101,142727397,3702938,146455437
2015-04,7246,140418084,3702938,144128268
2015-05,1741772,147356164,3705543,152803479
2015-06,102820900,141271710,5033950,249126560
2015-07,344502963,142812329,10903552,498218843
2015-08,262953138,134828767,8638464,406420370
2015-09,162985702,127643836,6149588,296779125
2015-10,9821536,132535616,3724119,146081272
2015-11,158728,128551529,3702939,132413195
2015-12,122671,132960274,3702939,136785884
2016-01,109639,128671233,3706294,132487166
2016-02,37480,119880289,3704162,123621930
2016-03,95174,127991781,3703589,131790544
2016-04,33541,126679945,3702938,130416424
2016-05,25147418,135126027,4068507,164341953
2016-06,254223322,133927121,7991260,396141703
2016-07,482329264,140094521,14804737,637228521
2016-08,299976513,136484932,10098056,446559500
2016-09,54627956,123575342,4225298,182428597
2016-10,48188751,131830685,4155843,184175280
2016-11,69315,132041096,3702938,135813349
2016-12,4911,134123836,3702938,137831684
2017-01,85208,131507945,3733922,135327075
2017-02,34657,118002740,3702938,121740335
2017-03,77765,131516438,3705879,135300082
2017-04,9008,128964060,3702938,132676006
2017-05,40795193,136060274,4378382,181233849
2017-06,175674955,137876712,5762216,319313884
2017-07,328544102,145147945,8874277,482566325
2017-08,196171292,147610959,6913942,350696193
2017-09,162049539,127232877,5745636,295028052
2017-10,19676358,135253425,3814949,158744732
2017-11,190084,123123288,3704006,127017378
2017-12,69413,126654110,3703136,130426658
2018-01,10858,125630685,3703553,129345096
2018-02,5110,119824658,3703470,123533237
2018-03,3375,126038356,3704361,129746092
2018-04,311047,123410959,3703955,127425961
2018-05,2601070,125647671,3706664,131955405
2018-06,109076039,125013699,4914188,239003926
2018-07,322708544,127821918,9615508,460145970
2018-08,193947054,131155479,6981344,332083878
