# Official name: Apuseerajik, Foreign name: Fenris Gletsjer, Mouginot/Mankoff name: Fenrisgletscher, Mouginot region: SE, Mankoff discharge gate (2021): 230, closest NSIDC/MEASUREs ID: 174, distance to closest NSIDC/MEASUREs ID: 4931m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,3956,225329310,4110657,229443923
2010-02,3590,203662565,4110657,207776812
2010-03,4233,225663014,4110657,229777903
2010-04,3820,218630137,4110657,222744613
2010-05,83247579,240610959,4664360,328522897
2010-06,678159467,249780822,19678492,947618780
2010-07,992760041,233052055,38314343,1264126439
2010-08,781992114,236364384,31546357,1049902854
2010-09,550510122,221178082,19346612,791034816
2010-10,77127031,229400000,4674814,311201845
2010-11,75688,222840008,4110733,227026429
2010-12,8736,231100431,4110735,235219902
2011-01,253,231962753,4110742,236073748
2011-02,240,210304761,4110733,214415735
2011-03,196,233646575,4111989,237758760
2011-04,290,227013699,4150293,231164282
2011-05,4602,238063014,4139921,242207537
2011-06,245311996,240821918,7290250,493424164
2011-07,888645878,242734247,31839648,1163219773
2011-08,470304242,213263014,16448701,700015956
2011-09,73709961,200547945,4526618,278784524
2011-10,5168,208506849,4111711,212623727
2011-11,3893738,203052101,4111711,211057550
2011-12,566,211081145,4111711,215193421
2012-01,10884,212328767,4110657,216450307
2012-02,10216,199705303,4110657,203826176
2012-03,30173,214536986,4110657,218677816
2012-04,113900,208767123,4112789,212993813
2012-05,21356112,216150685,4229047,241735844
2012-06,757277640,223561644,28277292,1009116577
2012-07,1337127685,209865753,53362757,1600356195
2012-08,777197987,191605479,32694757,1001498223
2012-09,19484849,187315068,4134408,210934325
2012-10,31936,195512329,4110692,199654956
2012-11,12398,190849315,4110683,194972396
2012-12,12499,196230896,4110684,200354078
2013-01,4967,193971460,4110657,198087085
2013-02,2258,173139726,4110657,177252641
2013-03,2511,189991781,4110657,194104949
2013-04,2685,183616438,4110657,187729781
2013-05,6411691,218868493,4110657,229390841
2013-06,460448210,215095890,10898769,686442869
2013-07,849668387,198994521,32947361,1081610268
2013-08,393175375,211479452,14027484,618682311
2013-09,24458168,208109589,4120619,236688377
2013-10,48965542,239336986,4680464,292982992
2013-11,4040,227013699,4110657,231128396
2013-12,3720,229909589,4110657,234023966
2014-01,2612,225238356,4111778,229352746
2014-02,2357,199298630,4111670,203412657
2014-03,2611,230249315,4111778,234363705
2014-04,1659858,214931507,4111742,220703107
2014-05,22290142,234750685,4111778,261152605
2014-06,455210403,232109589,15061258,702381250
2014-07,843640987,231778082,34871954,1110291024
2014-08,664089944,227871233,28327373,920288550
2014-09,77790565,209260274,5239998,292290838
2014-10,35598,242564384,4110657,246710638
2014-11,239241,226438356,4110657,230788254
2014-12,12627,224304110,4110657,228427393
2015-01,2971,214452055,4110657,218565682
2015-02,2683,200641096,4110657,204754436
2015-03,2971,235897260,4110657,240010888
2015-04,3072,225421411,4110657,229535140
2015-05,455569,229357534,4110657,233923760
2015-06,270219998,221075015,10429986,501724999
2015-07,812519386,227361644,31940917,1071821947
2015-08,415704161,220057534,15389047,651150742
2015-09,211090978,203671233,7223303,421985514
2015-10,4355067,229060274,4110657,237525998
2015-11,11066,212712154,4110657,216833876
2015-12,11315,207572603,4110657,211694575
2016-01,2226,202136986,4110657,206249869
2016-02,1313,197449810,4110657,201561780
2016-03,2689,219208219,4110657,223321565
2016-04,6434918,212202755,4110657,222748330
2016-05,64132514,219335616,4237927,287706057
2016-06,745657287,212750115,28205236,986612639
2016-07,1172382341,220269863,42400619,1435052823
2016-08,589943131,207912329,22175076,820030536
2016-09,41612596,191712329,4113039,237437964
2016-10,13798767,196701370,4110674,214610810
2016-11,152278,188753425,4110657,193016359
2016-12,134637,216507397,4110657,220752691
2017-01,25319,218189041,4110657,222325017
2017-02,22860,200391781,4110657,204525297
2017-03,24752,226130137,4110657,230265546
2017-04,24928,227341367,4110657,231476952
2017-05,173107663,240639269,7484836,421231768
2017-06,429330725,203424658,11739303,644494686
2017-07,769362084,236166210,29126790,1034655084
2017-08,416985659,243668493,19444638,680098790
2017-09,214590948,242383562,11502607,468477117
2017-10,1110111,260824658,4111486,266046254
2017-11,995541,229849315,4110696,234955552
2017-12,13066,248828082,4110657,252951805
2018-01,60,252841096,4110657,256951813
2018-02,0,239534247,4110657,243644903
2018-03,0,265869589,4110657,269980246
2018-04,2039,247438356,4110657,251551051
2018-05,2240249,262047671,4110657,268398577
2018-06,308757739,232890411,10759590,552407740
2018-07,742910408,255955251,30832135,1029697794
2018-08,456697395,268871918,15750334,741319647
2018-09,123992996,247205479,4807271,376005746
2018-10,1516,277534932,4110681,281647128
2018-11,14391,265534247,4110680,269659318
2018-12,3544,277280137,4110681,281394362
2019-01,6068,294924658,4110657,299041383
2019-02,1780,268646575,4110657,272759012
2019-03,1975,297684932,4110657,301797564
2019-04,8561889,278164384,4110657,290836929
2019-05,139390660,268086301,4446580,411923541
2019-06,716149641,271232877,22208212,1009590731
2019-07,1395543879,322527397,59273627,1777344904
2019-08,575983815,301676712,26541686,904202213
2019-09,105456179,268273973,4753824,378483976
2019-10,8688332,308726027,4117798,321532157
2019-11,10994,335054795,4115702,339181491
2019-12,1474,356174429,4111026,360286929
2020-01,0,383324201,4110668,387434870
2020-02,0,375927397,4110668,380038065
2020-03,0,408775342,4110669,412886011
