# Official name: Apusiigajik, Foreign name: Skinfaxe, Mouginot/Mankoff name: Skinfaxe, Mouginot region: SE, Mankoff discharge gate (2021): 302, closest NSIDC/MEASUREs ID: 192, distance to closest NSIDC/MEASUREs ID: 5312m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,160099,141358819,3131863,144650781
2010-02,346535,125126538,3130008,128603082
2010-03,55425,137504110,3132208,140691742
2010-04,20413,144164384,3129964,147314761
2010-05,51123588,160095890,3140451,214359930
2010-06,246623625,154273973,6764310,407661907
2010-07,431327969,159416438,11953765,602698173
2010-08,459951562,155849315,12372583,628173460
2010-09,268171982,149178082,6595070,423945135
2010-10,39475744,152621918,3138131,195235793
2010-11,161517,145863280,3129960,149154756
2010-12,52,148611043,3148509,151759604
2011-01,1670,146557379,3138596,149697644
2011-02,3110,131024969,3129960,134158039
2011-03,1638,144553425,3129960,147685023
2011-04,1580,140219178,3129960,143350718
2011-05,6434,145997260,3129960,149133654
2011-06,128428258,157397260,5227220,291052739
2011-07,427077245,141410959,10278860,578767064
2011-08,260934244,123150685,7715652,391800581
2011-09,38903508,113506849,3247005,155657363
2011-10,14407,121197260,3129960,124341627
2011-11,29355,121187879,3129960,124347194
2011-12,29298,129126967,3129960,132286225
2012-01,67594,133172603,3129960,136370156
2012-02,180649,128405449,3129960,131716059
2012-03,12419,141071233,3129960,144213612
2012-04,13417,140383562,3137807,143534786
2012-05,25878537,148969863,3149071,177997471
2012-06,357247514,153369863,11350769,521968147
2012-07,602664437,134361644,15426390,752452470
2012-08,405225309,116186301,11334632,532746242
2012-09,40668643,130109589,3183741,173961973
2012-10,299936,133002740,3130063,136432739
2012-11,12945,131589041,3129960,134731945
2012-12,402773,139532133,3129960,143064866
2013-01,13699,143620405,3137422,146771525
2013-02,10450,133326027,3138358,136474836
2013-03,3577,150923288,3137164,154064029
2013-04,5235,140383562,3137801,143526598
2013-05,89487,142939726,3136540,146165753
2013-06,104753341,148520548,3770849,257044737
2013-07,297752843,151942466,9296931,458992239
2013-08,242667317,116865753,6782117,366315187
2013-09,24800013,109561644,3293913,137655570
2013-10,652483,125358904,3129960,129141347
2013-11,4332,135041096,3129960,138175388
2013-12,15811,139117808,3129960,142263579
2014-01,67233,138608219,3129960,141805412
2014-02,1274013,124734247,3129960,129138219
2014-03,10636,152536986,3129960,155677582
2014-04,9666,140301370,3129960,143440995
2014-05,12262466,137673973,3132563,153069002
2014-06,212103976,146136986,5322989,363563951
2014-07,402790213,136484932,10155586,549430731
2014-08,404455579,130454795,10471633,545382007
2014-09,57564360,127191781,3289211,188045352
2014-10,40808,125443836,3141562,128626205
2014-11,881,129287671,3129976,132418528
2014-12,816,136654795,3129960,139785570
2015-01,52,135635616,3130338,138766007
2015-02,74,130832877,3131526,133964477
2015-03,0,137504110,3130167,140634277
2015-04,7970,131144073,3129960,134282003
2015-05,0,134828767,3129960,137958727
2015-06,103526290,136332235,4200287,244058813
2015-07,309891502,146634247,9547428,466073177
2015-08,264648344,141283562,6956541,412888447
2015-09,95335508,140794521,3906948,240036976
2015-10,319779,153683562,3130467,157133808
2015-11,228298,141290889,3130527,144649714
2015-12,798,136612329,3129960,139743087
2016-01,182317,133597260,3130032,136909609
2016-02,13118,121096818,3130790,124240726
2016-03,99446,127100000,3130777,130330223
2016-04,7015,131117275,3134649,134258939
2016-05,19752891,143873973,3132224,166759087
2016-06,294136591,139652775,7113866,440903232
2016-07,411811160,144723288,11459686,567994134
2016-08,329885640,147271233,8383452,485540324
2016-09,61645012,136767123,3189841,201601977
2016-10,9108243,128331507,3130105,140569855
2016-11,51616,120616438,3130008,123798062
2016-12,83676,132459178,3130051,135672905
2017-01,8833,144774247,3130054,147913134
2017-02,495,137813699,3130045,140944238
2017-03,7,140073288,3130054,143203349
2017-04,25,139586478,3130051,142716554
2017-05,45868742,148205479,3221914,197296135
2017-06,182331254,118602740,6202756,307136749
2017-07,367747186,143449315,9385529,520582030
2017-08,297328758,143916438,8580452,449825649
2017-09,92987761,144164384,4405274,241557419
2017-10,243475,145742466,3129960,149115901
2017-11,250,107753425,3129960,110883634
2017-12,21884,119456164,3129960,122608008
2018-01,3617,136416986,3129960,139550563
2018-02,7833,118693151,3129960,121830944
2018-03,4976,133240548,3129960,136375483
2018-04,2970,116424658,3129960,119557587
2018-05,12634,125511781,3129960,128654374
2018-06,120539667,110095890,4283713,234919270
2018-07,382649347,134531507,11000607,528181460
2018-08,317135838,125677397,7943591,450756826
2018-09,18035718,100246575,3131915,121414208
2018-10,565336,136230137,3129960,139925433
2018-11,210832,113369863,3129960,116710654
2018-12,15924,131877397,3129960,135023281
2019-01,759,121791781,3129960,124922499
2019-02,715,111501370,3130140,114632225
2019-03,775,125330594,3130385,128461753
2019-04,790,103095890,3132197,106228877
2019-05,41290419,112831507,3138632,157260559
2019-06,215462327,119095890,6159809,340718027
2019-07,472547111,124934247,13254742,610736099
2019-08,283579847,112477626,7005866,403063338
2019-09,72719839,95465753,3144727,171330319
2019-10,4411175,117630137,3129993,125171305
2019-11,8494,109931507,3129960,113069960
2019-12,2,134305023,3129960,137434984
2020-01,73488,129463927,3130023,132667438
2020-02,583,125573973,3130144,128704700
2020-03,9550,119385388,3130129,122525066
2020-04,29673,116301370,3130133,119461176
2020-05,22555160,92292237,3134720,117982117
2020-06,182516978,105657534,5408561,293583073
2020-07,386363441,76693151,11365152,474421744
2020-08,341283256,89645205,8013697,438942158
2020-09,26927557,76575342,3177985,106680884
2020-10,986447,102852055,3129964,106968466
2020-11,48045,107589041,3129960,110767046
2020-12,46724,116993151,3129960,120169835
