# Official name: Arfalluarfiup Sermia, Foreign name: Diebitsch Gletsjer, Mouginot/Mankoff name: Diebitsch, Mouginot region: NW, Mankoff discharge gate (2021): 33, closest NSIDC/MEASUREs ID: 88, distance to closest NSIDC/MEASUREs ID: 5390m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,4676310,0,4676310
2010-02,0,4302273,0,4302273
2010-03,0,4841096,0,4841096
2010-04,0,4767123,0,4767123
2010-05,0,5010959,0,5010959
2010-06,16529788,4931507,182092,21643386
2010-07,39968991,3906849,445524,44321365
2010-08,17490060,5265753,121253,22877067
2010-09,212920,5671233,594,5884747
2010-10,0,6539726,0,6539726
2010-11,0,6242739,0,6242739
2010-12,0,6233061,0,6233061
2011-01,0,5930405,0,5930405
2011-02,0,5065573,0,5065573
2011-03,0,5350685,0,5350685
2011-04,0,4931507,0,4931507
2011-05,0,4841096,0,4841096
2011-06,17481966,4438356,145549,22065872
2011-07,68601254,2293151,617538,71511942
2011-08,25728864,3312329,214740,29255933
2011-09,0,3123288,0,3123288
2011-10,0,3227397,0,3227397
2011-11,0,3090515,0,3090515
2011-12,0,3124034,0,3124034
2012-01,153,3057534,0,3057687
2012-02,143,2821797,0,2821941
2012-03,153,2972603,0,2972756
2012-04,148,2794521,0,2794669
2012-05,21230,2802740,1081,2825051
2012-06,22828022,2712329,214255,25754606
2012-07,84500558,3397260,781546,88679364
2012-08,23724211,3821918,212868,27758997
2012-09,3220,3041096,0,3044316
2012-10,477,2463014,0,2463491
2012-11,16,1808219,0,1808235
2012-12,16,1895083,0,1895099
2013-01,210,1960798,0,1961008
2013-02,189,1841096,0,1841285
2013-03,209,2123288,0,2123497
2013-04,202,2136986,0,2137188
2013-05,321,1698630,0,1698951
2013-06,1105964,1397260,14193,2517417
2013-07,23572491,3312329,220175,27104995
2013-08,10155660,3991781,81061,14228502
2013-09,0,3123288,0,3123288
2013-10,0,3142466,0,3142466
2013-11,0,2876712,0,2876712
2013-12,0,2887671,0,2887671
2014-01,0,2717808,0,2717808
2014-02,0,2378082,0,2378082
2014-03,0,2547945,0,2547945
2014-04,0,2712329,0,2712329
2014-05,0,3057534,0,3057534
2014-06,6210363,3780822,54023,10045208
2014-07,43071576,3906849,423597,47402022
2014-08,23034472,3906849,211521,27152842
2014-09,2,2589041,0,2589043
2014-10,0,2887671,0,2887671
2014-11,0,2465753,0,2465753
2014-12,0,2208219,0,2208219
2015-01,512,1868493,0,1869005
2015-02,0,1994521,0,1994521
2015-03,0,2378082,0,2378082
2015-04,0,2301370,0,2301370
2015-05,0,2378082,0,2378082
2015-06,13052786,2954018,95475,16102279
2015-07,82199753,3694521,793915,86688189
2015-08,11298743,3227397,93218,14619359
2015-09,1485,2712329,0,2713814
2015-10,1533,3269863,0,3271396
2015-11,2284,2886286,0,2888571
2015-12,766,2675342,0,2676109
2016-01,0,2632877,0,2632877
2016-02,0,2546437,0,2546437
2016-03,0,2802740,0,2802740
2016-04,0,2543903,0,2543903
2016-05,0,2463014,0,2463014
2016-06,9005202,2867785,74656,11947642
2016-07,50351328,3439726,469639,54260693
2016-08,24912764,2802740,199941,27915445
2016-09,27,2424658,0,2424684
2016-10,0,2513973,0,2513973
2016-11,0,2383562,0,2383562
2016-12,0,2429041,0,2429041
2017-01,0,2496986,0,2496986
2017-02,0,2301370,0,2301370
2017-03,0,2547945,0,2547945
2017-04,0,2269257,0,2269257
2017-05,0,2151598,0,2151598
2017-06,3408316,2424658,25299,5858273
2017-07,27873612,3652055,251573,31777240
2017-08,14731361,3269863,92321,18093545
2017-09,0,2136986,0,2136986
2017-10,0,2590411,0,2590411
2017-11,0,2835616,0,2835616
2017-12,0,2739041,0,2739041
2018-01,0,2429041,0,2429041
2018-02,0,2454795,0,2454795
2018-03,0,2242192,0,2242192
2018-04,0,2589041,0,2589041
2018-05,0,2157260,0,2157260
2018-06,5110100,3205479,34194,8349774
2018-07,11733226,3850228,83699,15667153
2018-08,14040021,3524658,121665,17686344
2018-09,0,2684932,0,2684932
2018-10,0,2654110,0,2654110
2018-11,0,3232877,0,3232877
2018-12,0,3673288,0,3673288
2019-01,0,3184932,0,3184932
2019-02,0,3221918,0,3221918
2019-03,0,3085845,0,3085845
2019-04,0,2849315,0,2849315
2019-05,0,3312329,0,3312329
2019-06,11957708,2931507,95878,14985093
2019-07,58289978,3779452,666667,62736097
2019-08,37678894,3312329,369255,41360478
2019-09,1160255,2630137,3082,3793474
2019-10,327193,2519635,0,2846828
2019-11,8083,2506849,0,2514932
2019-12,0,3255708,0,3255708
2020-01,146,3057534,0,3057680
2020-02,136,2979452,0,2979588
2020-03,146,2604566,0,2604712
2020-04,141,2876712,0,2876853
2020-05,146,2689498,0,2689643
2020-06,14535945,2219178,112648,16867772
2020-07,72290017,2717808,649068,75656893
2020-08,20391857,2420548,145433,22957839
2020-09,2290,1863014,0,1865304
2020-10,215,2420548,0,2420763
2020-11,762,2438356,0,2439118
2020-12,736,3015068,0,3015804
