# Official name: Avannarleq Brae, Foreign name: Avannarleq Brae, Mouginot/Mankoff name: Avannarleq-Nigerlikasik, Mouginot region: SW, Mankoff discharge gate (2021): 312, closest NSIDC/MEASUREs ID: 206, distance to closest NSIDC/MEASUREs ID: 4501m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,311826,45370811,1984485,47667122
2010-02,3531,40753349,1984485,42741365
2010-03,7,44928767,1984485,46913259
2010-04,255279,43315068,1984485,45554832
2010-05,223746245,43315068,3918128,270979441
2010-06,527001628,40520548,9188302,576710477
2010-07,1185203453,42295890,24998210,1252497553
2010-08,1279384757,41616438,25282856,1346284051
2010-09,208890907,39452055,5300611,253643573
2010-10,25175017,40852055,2080422,68107493
2010-11,11801203,39390725,2011817,53203746
2010-12,421398,40365932,1984485,42771815
2011-01,7817,39953414,1984485,41945716
2011-02,7060,35782191,1984485,37773736
2011-03,5435,39493151,1984485,41483071
2011-04,3789,39369863,1984485,41358137
2011-05,3911,40087671,1984485,42076067
2011-06,445978173,41589041,9488783,497055997
2011-07,978289108,41361644,18140359,1037791111
2011-08,693807913,43739726,14429849,751977488
2011-09,31905569,42246575,2206614,76358758
2011-10,13039,43569863,1984485,45567388
2011-11,3868,42081047,1984485,44069400
2011-12,3303,43401120,1984485,45388908
2012-01,3680,43315068,1984485,45303234
2012-02,3443,40462256,1984485,42450184
2012-03,1614131,43145205,1984485,46743821
2012-04,28639764,39123288,2049784,69812836
2012-05,123716733,39917808,3039304,166673845
2012-06,916227590,38630137,18106132,972963859
2012-07,2101988260,42041096,42261762,2186291118
2012-08,944533983,40767123,19378957,1004680063
2012-09,100364143,39287671,2717382,142369196
2012-10,48123023,39408219,2580519,90111761
2012-11,14213144,37150685,2153418,53517247
2012-12,1505,38221079,1984485,40207069
2013-01,6,38144891,1984485,40129382
2013-02,5,34290411,1984485,36274901
2013-03,6,36775342,1984485,38759834
2013-04,6,35178082,1984485,37162573
2013-05,358937,38813699,1984485,41157121
2013-06,169245413,36657534,3936357,209839304
2013-07,590477835,42805479,11012569,644295883
2013-08,471541200,39153425,8839225,519533849
2013-09,52179800,38054795,2394829,92629423
2013-10,4223439,41106849,1986721,47317009
2013-11,301664,39287671,1984485,41573820
2013-12,756003,40087671,1984485,42828160
2014-01,1198,39578082,1984485,41563765
2014-02,1082,35287671,1984485,37273238
2014-03,1198,38558904,1984485,40544587
2014-04,1159,36821918,1984485,38807562
2014-05,14574743,36350685,2053052,52978479
2014-06,464984893,38958904,9149030,513092827
2014-07,834785366,37794521,14890261,887470148
2014-08,780641306,38219178,15656985,834517469
2014-09,101830530,38547945,2966807,143345282
2014-10,1561348,37709589,1984485,41255422
2014-11,752,35835616,1984485,37820853
2014-12,135,40809589,1984485,42794209
2015-01,5842,41106849,1984485,43097176
2015-02,5276,36208219,1984485,38197981
2015-03,5842,41149315,1984485,43139642
2015-04,5653,38769259,1984485,40759397
2015-05,5842,39026027,1984485,41016354
2015-06,223315516,37956602,4770940,266043058
2015-07,615771360,39408219,11782400,666961979
2015-08,439610770,36478082,7369695,483458547
2015-09,181204444,40438356,4562298,226205099
2015-10,13225291,37072603,2008423,52306317
2015-11,141,37097797,1984485,39082423
2015-12,206,39535616,1984485,41520308
2016-01,384,38473973,1984485,40458841
2016-02,359,35903965,1984485,37888809
2016-03,384,38304110,1984485,40288978
2016-04,25224510,36730207,2012910,63967627
2016-05,109675284,37369863,2835051,149880198
2016-06,681831273,35118533,12303800,729253606
2016-07,869752690,35246575,16861129,921860394
2016-08,892474567,34736986,18386857,945598411
2016-09,26936887,34849315,2326753,64112956
2016-10,7356492,35399452,2004496,44760439
2016-11,6056137,35794521,1993814,43844471
2016-12,2877,38219178,1984485,40206540
2017-01,8,39136438,1984485,41120932
2017-02,0,35479452,1984485,37463937
2017-03,0,37306164,1984485,39290649
2017-04,0,37355404,1984485,39339889
2017-05,95237063,39832877,2900613,137970553
2017-06,253948217,33164384,5123449,292236050
2017-07,598349292,35841096,11427831,645618219
2017-08,916358539,36180822,16378848,968918209
2017-09,237490992,38630137,6376407,282497536
2017-10,15784217,34779452,2157325,52720994
2017-11,2845257,32506849,1984485,37336592
2017-12,1,36095890,1984485,38080377
2018-01,340,36384658,1984485,38369483
2018-02,307,34271233,1984485,36256025
2018-03,340,36401644,1984485,38386469
2018-04,329,34191781,1984485,36176595
2018-05,217,35399452,1984485,37384154
2018-06,226824943,32424658,5196267,264445868
2018-07,870622217,32132420,16809478,919564116
2018-08,456218676,32125342,8860892,497204911
2018-09,36294413,29123288,2325692,67743393
2018-10,9318,33314384,1984485,35308186
2018-11,9696,31972603,1984485,33966784
2018-12,1250,32783562,1984485,34769297
2019-01,503,33760274,1984485,35745262
2019-02,682,30608219,1984485,32593386
2019-03,755,35076712,1984485,37061953
2019-04,731,34493151,1984485,36478367
2019-05,75442682,35416438,2413457,113272577
2019-06,594085290,32986301,12263609,639335201
2019-07,1069892283,31934247,21964886,1123791416
2019-08,652199344,30858447,13626156,696683948
2019-09,81176821,30246575,2953823,114377219
2019-10,2602697,33066667,1984485,37653848
2019-11,224448,31931507,1984485,34140440
2019-12,5252,34029224,1984485,36018960
2020-01,6318,34680365,1984485,36671168
2020-02,5921,32019178,1984485,34009584
2020-03,5993,35331507,1984485,37321985
2020-04,6272,35054795,1984485,37045552
