# Official name: Borggraven, Foreign name: Borggraven, Mouginot/Mankoff name: Borggraven, Mouginot region: CE, Mankoff discharge gate (2021): 181, closest NSIDC/MEASUREs ID: 142, distance to closest NSIDC/MEASUREs ID: 6276m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,18500977,564417,19065394
2010-02,0,16312564,564417,16876980
2010-03,0,17580822,564417,18145239
2010-04,0,15863014,564417,16427430
2010-05,7550540,18769863,661489,26981892
2010-06,341064083,18246575,6169677,365480335
2010-07,582407774,16646575,13445508,612499857
2010-08,437574050,15797260,10480102,463851412
2010-09,261281349,16109589,3431121,280822059
2010-10,6562784,17156164,564421,24283369
2010-11,372,17166199,564417,17730988
2010-12,0,18364068,564417,18928485
2011-01,0,18960298,564417,19524715
2011-02,0,17512623,564417,18077040
2011-03,0,19534247,564417,20098663
2011-04,0,18410959,564417,18975376
2011-05,223861,18769863,564417,19558141
2011-06,139361261,20301370,2952193,162614824
2011-07,525139176,21912329,9863417,556914922
2011-08,295245152,12994521,6132713,314372386
2011-09,64255743,14547945,923049,79726737
2011-10,404728,15627397,564417,16596541
2011-11,3770920,15663134,564417,19998471
2011-12,72,16699956,564417,17264445
2012-01,275,17241096,564417,17805787
2012-02,657,16559399,564417,17124473
2012-03,227,18345205,564417,18909849
2012-04,180,20219178,564417,20783775
2012-05,7597861,19279452,595742,27473054
2012-06,372358320,18657534,6454570,397470425
2012-07,663874469,15882192,10756044,690512705
2012-08,499791421,15032877,8755147,523579445
2012-09,9905646,17095890,616445,27617981
2012-10,1,18515068,564417,19079486
2012-11,0,18575342,564417,19139759
2012-12,0,19079660,564417,19644077
2013-01,0,18807725,564417,19372142
2013-02,0,16723288,564417,17287704
2013-03,0,18260274,564417,18824691
2013-04,0,19150685,564417,19715102
2013-05,4354499,21572603,564417,26491518
2013-06,239423752,19643836,3400042,262467629
2013-07,532554278,17071233,10437525,560063035
2013-08,291451073,16052055,5092494,312595622
2013-09,24956385,17013699,749319,42719402
2013-10,22954986,21997260,693348,45645595
2013-11,0,20876712,564417,21441129
2013-12,0,21232877,564417,21797293
2014-01,0,20808219,564417,21372636
2014-02,0,18410959,564417,18975376
2014-03,0,19873973,564417,20438389
2014-04,119,18986301,564417,19550837
2014-05,14339243,19704110,564417,34607769
2014-06,369136893,21780822,6002291,396920007
2014-07,524717064,21063014,10261965,556042043
2014-08,362362035,19619178,7159461,389140674
2014-09,99365600,22068493,1506532,122940626
2014-10,6572738,23186301,564417,30323456
2014-11,9924111,20794521,564417,31283048
2014-12,0,22124658,564417,22689074
2015-01,0,22761644,564417,23326061
2015-02,0,21134247,564417,21698663
2015-03,0,25989041,564417,26553458
2015-04,0,24860551,564417,25424968
2015-05,41253,25012329,564417,25617999
2015-06,143853982,22295087,2747041,168896110
2015-07,513354267,20893151,9221371,543468788
2015-08,281521185,19873973,4531934,305927091
2015-09,144354218,22849315,2424754,169628287
2015-10,8616338,22421918,564417,31602672
2015-11,507,21634693,564417,22199617
2015-12,0,22336986,564417,22901403
2016-01,0,23441096,564417,24005513
2016-02,0,23039910,564417,23604327
2016-03,0,25267123,564417,25831540
2016-04,1501,24483011,564417,25048928
2016-05,31701492,25309589,618887,57629968
2016-06,399532278,21377280,8136161,429045719
2016-07,722994642,19024658,14659128,756678428
2016-08,323195712,19449315,5457662,348102689
2016-09,42768479,21904110,675596,65348184
2016-10,41520203,22286027,604400,64410631
2016-11,1050338,22561644,564417,24176399
2016-12,48,24375342,564417,24939807
2017-01,161,25717260,564417,26281838
2017-02,146,22821918,564417,23386480
2017-03,161,26392466,564417,26957044
2017-04,104,26152703,564417,26717224
2017-05,58685548,27291324,903474,86880346
2017-06,220621382,23835616,2618496,247075495
2017-07,480985874,22874886,8334718,512195478
2017-08,237110889,23441096,3633908,264185893
2017-09,179717421,24904110,2275226,206896757
2017-10,10697776,23695890,580560,34974226
2017-11,178,23630137,564417,24194732
2017-12,127,25670548,564417,26235092
2018-01,0,27059178,564417,27623595
2018-02,0,26945205,564417,27509622
2018-03,0,28587945,564417,29152362
2018-04,9221,27863014,564417,28436651
2018-05,1565478,29539178,564417,31669073
2018-06,186293115,28931507,2732344,217956966
2018-07,526461924,26187215,9489849,562138987
2018-08,273122492,25224658,5028447,303375596
2018-09,48257342,26438356,911328,75607026
2018-10,174034,29726027,564417,30464478
2018-11,3498004,28821918,564417,32884338
2018-12,1956,30936301,564417,31502674
2019-01,184078,31721918,564417,32470413
2019-02,2,28421918,564417,28986336
2019-03,2,31736073,564417,32300492
2019-04,19777232,31123288,581937,51482457
2019-05,40129846,32443836,796400,73370081
2019-06,379014173,27808219,6341843,413164235
2019-07,929174634,25436986,16481344,971092964
2019-08,406633153,25847489,8629510,441110151
2019-09,126553664,28027397,2040261,156621322
2019-10,7887620,28310502,586306,36784428
2019-11,398,30328767,564417,30893582
2019-12,340184,32302283,564417,33206884
2020-01,0,32981735,564419,33546154
2020-02,0,30708219,564418,31272638
2020-03,0,33264840,564419,33829259
2020-04,20520,32630137,564419,33215075
2020-05,9201555,34085845,564928,43852327
2020-06,279379393,32589041,4530695,316499129
2020-07,460826429,27970776,7920763,496717968
2020-08,359674891,27475342,5975340,393125573
2020-09,13571061,27780822,640745,41992629
2020-10,17354773,32231507,600749,50187028
2020-11,0,31315068,564423,31879491
2020-12,0,32953425,564423,33517848
