# Official name: Bredegletsjer, Foreign name: Bredegletsjer, Mouginot/Mankoff name: Bredegletsjer, Mouginot region: CE, Mankoff discharge gate (2021): 151, closest NSIDC/MEASUREs ID: 129, distance to closest NSIDC/MEASUREs ID: 3691m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,25527,64173888,1167055,65366470
2010-02,23056,60596595,1167045,61786696
2010-03,25527,69389041,1167055,70581623
2010-04,34174,69287671,1167052,70488897
2010-05,924678,80260274,1167055,82352007
2010-06,201828572,76520548,5224648,283573768
2010-07,364112655,67860274,10703665,442676594
2010-08,199412357,70238356,6005013,275655727
2010-09,78920853,66493151,2358398,147772401
2010-10,61560,69304110,1168039,70533708
2010-11,28517,67662125,1167509,68858151
2010-12,19733,70511294,1167132,71698159
2011-01,12577,71123211,1166954,72302741
2011-02,12719,64789882,1166952,65969552
2011-03,20013,72276712,1166952,73463678
2011-04,13573,70520548,1166952,71701073
2011-05,14359,69219178,1166952,70400489
2011-06,49127578,72821918,1220852,123170348
2011-07,278490242,62084932,7615000,348190173
2011-08,168181659,74060274,4662590,246904522
2011-09,4092506,75534247,1212839,80839592
2011-10,58235,76438356,1171298,77667889
2011-11,5751,72365276,1177440,73548466
2011-12,5932,73172982,1190889,74369803
2012-01,296915,71512329,1167140,72976384
2012-02,11776,65332447,1167128,66511351
2012-03,10122,68284932,1167145,69462198
2012-04,9346,64520548,1167169,65697063
2012-05,1263607,73975342,1169625,76408574
2012-06,243191677,67643836,4771515,315607028
2012-07,406683499,65227397,12222895,484133791
2012-08,328581313,75249315,9053372,412884000
2012-09,433963,69780822,1167942,71382726
2012-10,26303,67095890,1167041,68289234
2012-11,8661,60657534,1167038,61833233
2012-12,8797,63564043,1167041,64739880
2013-01,325,65590904,1167038,66758267
2013-02,293,61063014,1166981,62230288
2013-03,325,69049315,1166984,70216624
2013-04,314,68630137,1166983,69797434
2013-05,400,70323288,1166984,71490672
2013-06,150963640,57945205,2926493,211835339
2013-07,366000628,63868493,8671414,438540535
2013-08,149105065,66246575,3007019,218358660
2013-09,16868411,60328767,1275220,78472399
2013-10,32167,63019178,1167126,64218471
2013-11,8938,61726027,1166971,62901936
2013-12,8854,64463014,1166952,65638820
2014-01,10094,65142466,1166964,66319524
2014-02,9117,59528767,1166963,60704847
2014-03,10094,66501370,1166956,67678420
2014-04,8751,65095890,1166952,66271594
2014-05,8788,65482192,1166959,66657938
2014-06,138211836,70767123,2988577,211967537
2014-07,283473939,73041096,7525814,364040849
2014-08,151282040,62169863,4140321,217592223
2014-09,13008204,66739726,1185327,80933257
2014-10,35895,68454795,1167868,69658558
2014-11,11221,66821918,1167644,68000782
2014-12,11604,69643836,1168191,70823631
2015-01,70366,70280822,1166953,71518141
2015-02,13866,64591781,1169630,65775277
2015-03,10475,73720548,1166952,74897975
2015-04,21472,70161002,1191803,71374277
