# Official name: C.H. Ostenfeld Gletsjer, Foreign name: C.H. Ostenfeld Gletsjer, Mouginot/Mankoff name: Ostenfeld Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 11, closest NSIDC/MEASUREs ID: 98, distance to closest NSIDC/MEASUREs ID: 5449m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,161,138275291,1753133,140028585
2010-02,145,125165887,1753133,126919165
2010-03,161,138863014,1753133,140616307
2010-04,156,134712329,1753133,136465617
2010-05,1430881,139457534,1753133,142641548
2010-06,247644110,135287671,2171880,385103661
2010-07,767022464,140052055,3242266,910316785
2010-08,149368739,140391781,2100827,291861347
2010-09,0,136109589,1753133,137862722
2010-10,8,140986301,1753133,142739442
2010-11,8,136740317,1753133,138493457
2010-12,0,141579523,1753133,143332656
2011-01,0,141862457,1753133,143615590
2011-02,0,128395068,1753133,130148200
2011-03,0,142430137,1753133,144183270
2011-04,0,138164384,1753133,139917516
2011-05,0,143024658,1753133,144777790
2011-06,285343877,138739726,2296041,426379644
2011-07,930439539,143704110,3922863,1078066512
2011-08,269519047,143958904,2381259,415859210
2011-09,168,139643836,1753133,141397137
2011-10,174,144553425,1753133,146306732
2011-11,168,140182201,1753133,141935502
2011-12,55,145167467,1753133,146920654
2012-01,0,145487671,1753133,147240804
2012-02,0,136385470,1753133,138138603
2012-03,0,146082192,1753133,147835325
2012-04,0,141698630,1753133,143451763
2012-05,4876326,146676712,1763909,153316947
2012-06,464403083,142273973,2840897,609517953
2012-07,1005946026,147271233,4779321,1157996579
2012-08,409706367,147610959,3137537,560454863
2012-09,0,143095890,1753133,144849023
2012-10,0,148205479,1753133,149958612
2012-11,0,143671233,1753133,145424366
2012-12,0,148345413,1753133,150098546
2013-01,0,148073479,1753133,149826612
2013-02,0,133479452,1753133,135232585
2013-03,0,147526027,1753133,149279160
2013-04,0,142602740,1753133,144355872
2013-05,0,147101370,1753133,148854503
2013-06,160006203,142109589,2156010,304271803
2013-07,445942334,146676712,2922000,595541047
2013-08,121549399,146421918,2050920,270022236
2013-09,125962,141534247,1753133,143413341
2013-10,1044,145997260,1753133,147751437
2013-11,1010,141041096,1753133,142795239
2013-12,1044,145572603,1753133,147326779
2014-01,0,145317808,1753133,147070941
2014-02,0,131101370,1753133,132854503
2014-03,0,144893151,1753133,146646283
2014-04,0,140054795,1753133,141807927
2014-05,0,144468493,1753133,146221626
2014-06,254058343,139643836,2338823,396041002
2014-07,548137878,144043836,3231592,695413306
2014-08,313000131,143873973,2450521,459324625
2014-09,54,138986301,1753133,140739488
2014-10,0,143109589,1753133,144862722
2014-11,0,138082192,1753133,139835325
2014-12,0,142260274,1753133,144013407
2015-01,1762,141835616,1753133,143590511
2015-02,1591,131293151,1753133,133047874
2015-03,1762,146421918,1753133,148176812
2015-04,1705,142658600,1753133,144413438
2015-05,1710,148715068,1753133,150469911
2015-06,294422132,148901737,2328351,445652220
2015-07,1323549210,157887671,5640715,1487077596
2015-08,195910362,157463014,2137837,355511212
2015-09,690205,143178082,1753133,145621420
2015-10,213,147016438,1753133,148769784
2015-11,206,141589871,1753133,143343209
2015-12,222,145700000,1753133,147453354
2016-01,0,145063014,1753133,146816146
2016-02,0,136422217,1753133,138175349
2016-03,0,147016438,1753133,148769571
2016-04,0,143146190,1753133,144899323
2016-05,0,149097260,1753133,150850393
2016-06,419133492,148423317,2674563,570231372
2016-07,974618128,156656164,4030601,1135304894
2016-08,159051803,149267123,1937064,310255990
2016-09,12608,141246575,1753133,143012316
2016-10,0,145810411,1753133,147563544
2016-11,0,141000000,1753133,142753133
2016-12,0,143279452,1753133,145032585
2017-01,0,142260274,1753133,144013407
2017-02,0,132367123,1753133,134120256
2017-03,0,147101370,1753133,148854503
2017-04,0,142159668,1753133,143912801
2017-05,34,146705023,1753133,148458190
2017-06,215481712,144821918,2375866,362679496
2017-07,733271413,152593607,3611390,889476410
2017-08,208470675,149606849,2353174,360430698
2017-09,0,143095890,1753133,144849023
2017-10,0,145615068,1753133,147368201
2017-11,0,139027397,1753133,140780530
2017-12,0,142472603,1753133,144225735
2018-01,0,144791233,1753133,146544366
2018-02,0,134131507,1753133,135884640
2018-03,0,150668493,1753133,152421626
2018-04,0,145602740,1753133,147355872
