# Official name: C.H. Ostenfeld Gletsjer, Foreign name: C.H. Ostenfeld Gletsjer, Mouginot/Mankoff name: Harder Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 8, closest NSIDC/MEASUREs ID: 98, distance to closest NSIDC/MEASUREs ID: 9333m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6539726,155450,6695176
2010-02,0,5906849,155450,6062299
2010-03,0,6539726,155450,6695176
2010-04,0,6246575,155450,6402025
2010-05,133555,6454795,155450,6743799
2010-06,27580995,6246575,354264,34181834
2010-07,64760385,6454795,1166299,72381479
2010-08,13379818,6454795,318018,20152630
2010-09,0,6246575,155450,6402025
2010-10,0,6454795,155450,6610244
2010-11,3,6237605,155450,6393058
2010-12,0,6424412,155450,6579862
2011-01,0,6398629,155450,6554079
2011-02,0,5760360,155450,5915810
2011-03,0,6369863,155450,6525313
2011-04,0,6164384,155450,6319834
2011-05,0,6369863,155450,6525313
2011-06,30575590,6164384,769793,37509767
2011-07,72910303,6369863,2032096,81312261
2011-08,24838441,6284932,535677,31659050
2011-09,61,6082192,155450,6237703
2011-10,64,6284932,155450,6440445
2011-11,61,6082192,155450,6237703
2011-12,20,6284932,155450,6440401
2012-01,0,6284932,155450,6440381
2012-02,0,5879452,155450,6034902
2012-03,0,6284932,155450,6440381
2012-04,0,6000000,155450,6155450
2012-05,240804,6200000,155450,6596254
2012-06,41872830,6000000,805594,48678424
2012-07,75011412,6200000,2665145,83876557
2012-08,35890673,6200000,1384483,43475157
2012-09,0,6000000,155450,6155450
2012-10,0,6200000,155450,6355450
2012-11,0,5917808,155450,6073258
2012-12,0,6136272,155450,6291722
2013-01,0,6177569,155450,6333019
2013-02,0,5600000,155450,5755450
2013-03,0,6200000,155450,6355450
2013-04,0,6082192,155450,6237642
2013-05,0,6284932,155450,6440381
2013-06,15798831,6082192,339425,22220447
2013-07,48001677,6284932,684150,54970759
2013-08,12046846,6284932,273936,18605714
2013-09,4411,6164384,155450,6324244
2013-10,266,6369863,155450,6525579
2013-11,258,6164384,155450,6320091
2013-12,266,6369863,155450,6525579
2014-01,0,6369863,155450,6525313
2014-02,0,5830137,155450,5985587
2014-03,0,6454795,155450,6610244
2014-04,0,6246575,155450,6402025
2014-05,0,6454795,155450,6610244
2014-06,24963100,6246575,477287,31686963
2014-07,50857700,6539726,1060430,58457856
2014-08,31111352,6539726,484750,38135828
2014-09,9,6328767,155450,6484226
2014-10,0,6624658,155450,6780107
2014-11,0,6493151,155450,6648601
2014-12,0,6794521,155450,6949970
2015-01,1,6879452,155450,7034903
2015-02,1,5753425,155450,5908876
2015-03,1,6369863,155450,6525314
2015-04,1,6122277,155450,6277728
2015-05,4,6284932,155450,6440386
2015-06,29998224,6334830,421703,36754757
2015-07,90787202,6794521,3618173,101199896
2015-08,21432825,6624658,343093,28400575
2015-09,44865,6328767,155450,6529082
2015-10,0,6539726,155450,6695176
2015-11,0,6286661,155450,6442111
2015-12,0,6454795,155450,6610244
2016-01,0,6454795,155450,6610244
2016-02,0,6080068,155450,6235518
2016-03,0,6539726,155450,6695176
2016-04,0,6328767,155450,6484217
2016-05,0,6539726,155450,6695176
2016-06,44202274,6455810,693988,51352072
2016-07,80902276,6879452,2366883,90148611
2016-08,17162512,7049315,356358,24568186
2016-09,2039,6657534,155450,6815023
2016-10,0,6879452,155450,7034902
2016-11,0,6657534,155450,6812984
2016-12,0,6794521,155450,6949970
2017-01,0,6794521,155450,6949970
2017-02,0,6079452,155450,6234902
2017-03,0,6794521,155450,6949970
2017-04,0,6575342,155450,6730792
2017-05,0,6794521,155450,6949971
2017-06,22343676,6780822,519114,29643612
2017-07,64756242,7219178,1384348,73359769
2017-08,21880208,6964384,473942,29318533
2017-09,0,6575342,155450,6730792
2017-10,0,6709589,155450,6865039
2017-11,0,6369863,155450,6525313
2017-12,0,6518493,155450,6673943
2018-01,0,7117260,155450,7272710
2018-02,0,6424658,155450,6580107
2018-03,0,6964384,155450,7119834
2018-04,0,6739726,155450,6895176
2018-05,142379,6998356,155450,7296185
2018-06,18697946,7027397,308636,26033980
2018-07,49041395,7502283,603101,57146779
2018-08,40139903,7750000,780754,48670658
2018-09,1,7205479,155450,7360930
2018-10,0,7091781,155450,7247231
2018-11,0,6547945,155450,6703395
2018-12,0,6433562,155450,6589012
2019-01,0,6412329,155450,6567779
2019-02,0,5676712,155450,5832162
2019-03,0,6284932,155450,6440381
2019-04,0,6328767,155450,6484217
2019-05,898685,6624658,155450,7678792
2019-06,46519717,6054795,823555,53398067
2019-07,97956449,6242466,3533531,107732446
2019-08,37673275,6143379,1446143,45262798
2019-09,91097,5958904,155452,6205452
2019-10,0,6001826,155450,6157276
2019-11,0,6452055,155450,6607505
2019-12,0,6568037,155450,6723486
2020-01,0,6907763,155450,7063213
2020-02,0,6395890,155450,6551341
2020-03,0,6766210,155450,6921660
2020-04,0,6493151,155450,6648601
2020-05,1,6652968,155450,6808419
2020-06,33850624,6410959,651307,40912890
2020-07,82124576,6539726,2043261,90707563
2020-08,30498836,6497260,991845,37987940
2020-09,36,6246575,155450,6402061
2020-10,0,6454795,155450,6610244
2020-11,0,6191781,155450,6347231
2020-12,0,6242466,155450,6397916
