# Official name: Christian IV Gletsjer, Foreign name: Christian IV Gletsjer, Mouginot/Mankoff name: Kong Christian, Mouginot region: CE, Mankoff discharge gate (2021): 187, closest NSIDC/MEASUREs ID: 147, distance to closest NSIDC/MEASUREs ID: 9552m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,200349,4483547,4554,4688451
2010-02,0,3611558,4554,3616112
2010-03,0,3821918,4554,3826472
2010-04,0,4438356,4554,4442911
2010-05,10296086,3567123,15669,13878878
2010-06,37230821,4109589,111273,41451683
2010-07,36174594,4926027,144167,41244789
2010-08,27298037,5605479,98525,33002042
2010-09,28085386,4849315,90585,33025287
2010-10,1790931,4586301,8273,6385505
2010-11,0,3933558,4554,3938112
2010-12,0,3485738,4554,3490293
2011-01,0,2924685,4554,2929240
2011-02,0,2273498,4554,2278052
2011-03,0,2378082,4554,2382637
2011-04,0,2301370,4554,2305924
2011-05,1031023,5180822,4554,6216399
2011-06,24198245,4931507,50516,29180268
2011-07,38034946,4841096,127515,43003557
2011-08,21800145,5520548,82559,27403251
2011-09,14237456,5753425,40248,20031128
2011-10,597626,5690411,4705,6292742
2011-11,1150948,5233039,5976,6389963
2011-12,0,5124778,4554,5129332
2012-01,19421,4841096,4554,4865071
2012-02,0,4340288,4554,4344843
2012-03,0,4331507,4554,4336061
2012-04,0,1808219,4554,1812774
2012-05,3159248,4161644,11527,7332419
2012-06,32339940,5013699,93082,37446721
2012-07,41030523,5860274,142678,47033475
2012-08,27216843,3736986,103318,31057147
2012-09,3750865,2958904,12702,6722471
2012-10,629141,3142466,4554,3776161
2012-11,0,3041096,4554,3045650
2012-12,0,3142466,4554,3147020
2013-01,0,3142466,4554,3147020
2013-02,0,2838356,4554,2842911
2013-03,0,3227397,4554,3231952
2013-04,0,3945205,4554,3949760
2013-05,5275611,3906849,7646,9190107
2013-06,34567915,2547945,90099,37205959
2013-07,38864796,3567123,141610,42573528
2013-08,26801567,3991781,106389,30899736
2013-09,7252772,4438356,19491,11710620
2013-10,3696583,5520548,17541,9234672
2013-11,0,4767123,4554,4771678
2013-12,0,4331507,4554,4336061
2014-01,0,3736986,4554,3741541
2014-02,0,2838356,4554,2842911
2014-03,0,4331507,4554,4336061
2014-04,430442,1808219,4554,2243216
2014-05,14475322,5095890,17198,19588410
2014-06,38599054,5095890,118183,43813127
2014-07,38627702,5010959,141226,43779887
2014-08,26075357,3991781,105050,30172188
2014-09,17416630,4479452,52755,21948837
2014-10,3749978,3567123,8505,7325605
2014-11,10143707,3698630,8832,13851169
2014-12,159653,4119178,4554,4283385
2015-01,0,3482192,4554,3486746
2015-02,0,3068493,4554,3073048
2015-03,0,3736986,4554,3741541
2015-04,868412,3321694,4554,4194661
2015-05,3605349,3142466,4782,6752597
2015-06,29245713,3128568,66741,32441022
2015-07,37759452,3439726,127520,41326698
2015-08,26544814,3949315,106224,30600353
2015-09,22389463,4109589,63075,26562127
2015-10,6535186,4458904,11029,11005119
2015-11,201439,4273438,4554,4479432
2015-12,0,4331507,4554,4336061
2016-01,0,4204110,4554,4208664
2016-02,0,3581696,4554,3586251
2016-03,28796,3567123,4554,3600474
2016-04,57323,3576265,4554,3638143
2016-05,18677819,3906849,19328,22603997
2016-06,38558736,3997330,115082,42671148
2016-07,36942017,4289041,141183,41372241
2016-08,25012871,4331507,99202,29443580
2016-09,11147531,3739726,24156,14911412
2016-10,17857719,3753973,29314,21641005
2016-11,1164545,3575342,4554,4744441
2016-12,0,3753973,4554,3758527
2017-01,0,4314521,4554,4319075
2017-02,0,3452055,4554,3456609
2017-03,0,3630822,4554,3635376
2017-04,11008,3430217,4554,3445779
2017-05,16444544,3510502,34468,19989514
2017-06,32719943,3698630,86050,36504623
2017-07,41306462,4303196,133128,45742787
2017-08,23183232,3821918,90628,27095777
2017-09,27536058,4109589,71418,31717065
2017-10,4844361,3736986,9229,8590576
2017-11,0,3698630,4554,3703185
2017-12,0,3864384,4554,3868938
2018-01,0,3346301,4554,3350856
2018-02,590831,3624658,4554,4220043
2018-03,0,4280548,4554,4285103
2018-04,1090769,4438356,4554,5533680
2018-05,5814376,4348493,4862,10167731
2018-06,29733725,3041096,75168,32849989
2018-07,40637304,3538813,149894,44326010
2018-08,23000945,4373973,78012,27452930
2018-09,7226877,3945205,25583,11197666
2018-10,747005,3694521,4554,4446080
2018-11,2796156,4000000,5132,6801287
2018-12,0,3928082,4554,3932637
2019-01,716921,3821918,4554,4543394
2019-02,0,3452055,4554,3456609
2019-03,0,3793607,4554,3798162
2019-04,11168660,3726027,13277,14907963
2019-05,18195337,4161644,29684,22386665
2019-06,40044885,3534247,130491,43709623
2019-07,42550456,3184932,168429,45903816
2019-08,27167595,3142466,90254,30400315
2019-09,12835396,3205479,43755,16084631
2019-10,3666662,3510502,9189,7186353
2019-11,0,3657534,4554,3662089
2019-12,950989,3821918,4554,4777462
2020-01,0,3821918,4554,3826472
2020-02,0,3336986,4554,3341541
2020-03,0,3821918,4554,3826472
2020-04,2314423,3616438,4554,5935416
2020-05,12009103,4020091,10807,16040001
2020-06,37493870,3616438,90499,41200807
2020-07,39258272,3793607,133251,43185131
2020-08,29212072,3736986,107116,33056175
2020-09,5612331,3534247,11738,9158315
2020-10,5929172,3906849,17918,9853939
2020-11,208532,3643836,4554,3856922
2020-12,0,3991781,4554,3996335
