# Official name: Courtauld Gletsjer, Foreign name: Courtauld Gletsjer, Mouginot/Mankoff name: Courtauld, Mouginot region: CE, Mankoff discharge gate (2021): 191, closest NSIDC/MEASUREs ID: 150, distance to closest NSIDC/MEASUREs ID: 4921m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,130,2669891,0,2670021
2010-02,117,2614157,0,2614274
2010-03,130,2972603,0,2972733
2010-04,126,1643836,0,1643961
2010-05,2190982,1189041,0,3380023
2010-06,45075685,2876712,0,47952397
2010-07,80217871,2717808,0,82935679
2010-08,51905001,2038356,0,53943358
2010-09,34733008,1890411,0,36623419
2010-10,463116,1698630,0,2161746
2010-11,261,1404606,0,1404867
2010-12,120,1203658,0,1203778
2011-01,0,976616,0,976616
2011-02,0,738356,0,738356
2011-03,0,764384,0,764384
2011-04,0,1808219,0,1808219
2011-05,62786,1613699,0,1676484
2011-06,23966883,2712329,0,26679212
2011-07,63879582,2293151,0,66172733
2011-08,41343605,2123288,0,43466892
2011-09,7579600,2712329,0,10291929
2011-10,0,2463014,0,2463014
2011-11,179387,2119364,0,2298751
2011-12,1,1956292,0,1956292
2012-01,103,1698630,0,1698733
2012-02,96,1235448,0,1235544
2012-03,103,1104110,0,1104212
2012-04,99,2136986,0,2137085
2012-05,1382202,1358904,0,2741107
2012-06,54811278,2054795,0,56866073
2012-07,84837861,2802740,0,87640600
2012-08,58359291,2972603,0,61331894
2012-09,1561716,2136986,0,3698702
2012-10,85,1783562,0,1783647
2012-11,57,1397260,0,1397318
2012-12,53,1470425,0,1470478
2013-01,1,1536140,0,1536141
2013-02,2,1457534,0,1457536
2013-03,4,1698630,0,1698634
2013-04,1,1808219,0,1808220
2013-05,342,2038356,0,2038698
2013-06,20227367,2054795,0,22282162
2013-07,60342444,2887671,0,63230116
2013-08,32581232,2208219,0,34789452
2013-09,2529935,1479452,0,4009387
2013-10,2173300,1358904,0,3532204
2013-11,1,1561644,0,1561645
2013-12,1,1868493,0,1868494
2014-01,119,2208219,0,2208339
2014-02,99,2224658,0,2224756
2014-03,109,2208219,0,2208329
2014-04,106,1726027,0,1726133
2014-05,747811,1189041,0,1936852
2014-06,39717339,986301,0,40703641
2014-07,67083156,1528767,0,68611923
2014-08,52786107,1189041,0,53975148
2014-09,9910265,1520548,0,11430813
2014-10,817738,1698630,0,2516368
2014-11,145183,1561644,0,1706826
2014-12,383,1528767,0,1529150
2015-01,0,1528767,0,1528767
2015-02,0,1649315,0,1649315
2015-03,0,1953425,0,1953425
2015-04,0,1855264,0,1855264
2015-05,0,1868493,0,1868493
2015-06,14067157,1791286,0,15858443
2015-07,56513176,1826027,0,58339203
2015-08,36237993,1486301,0,37724294
2015-09,13014781,1726027,0,14740808
2015-10,128218,1443836,0,1572054
2015-11,88,1481473,0,1481561
2015-12,69,1613699,0,1613767
2016-01,0,1613699,0,1613699
2016-02,0,1697291,0,1697291
2016-03,118,1995890,0,1996008
2016-04,0,1919402,0,1919402
2016-05,1698824,1953425,0,3652249
2016-06,42057614,1779695,0,43837310
2016-07,72908412,1698630,0,74607042
2016-08,47840572,1613699,0,49454271
2016-09,3243689,1726027,0,4969717
2016-10,2294022,1681644,0,3975666
2016-11,0,1479452,0,1479452
2016-12,0,1936438,0,1936438
2017-01,0,1664658,0,1664658
2017-02,1,1476712,0,1476713
2017-03,0,1804795,0,1804795
2017-04,0,1685201,0,1685201
2017-05,4922261,1670320,0,6592581
2017-06,27453947,1602740,0,29056687
2017-07,54084706,1358904,0,55443610
2017-08,25723597,1868493,0,27592090
2017-09,18252543,1479452,0,19731995
2017-10,325890,1189041,0,1514931
2017-11,18,1191781,0,1191799
2017-12,2,1550000,0,1550002
2018-01,28,1715616,0,1715645
2018-02,27,1553425,0,1553452
2018-03,22,1324932,0,1324953
2018-04,0,1315068,0,1315068
2018-05,75132,1647671,0,1722803
2018-06,22392828,1602740,0,23995568
2018-07,64275275,1557078,0,65832352
2018-08,31295945,1210274,0,32506219
2018-09,5735632,1287671,0,7023304
2018-10,8,1380137,0,1380145
2018-11,0,1342466,0,1342466
2018-12,0,1613699,0,1613699
2019-01,2,1401370,0,1401372
2019-02,3,1304110,0,1304112
2019-03,3,1585388,0,1585391
2019-04,894209,1589041,0,2483250
2019-05,4791212,1443836,0,6235047
2019-06,52151630,1452055,0,53603684
2019-07,92012589,1019178,0,93031767
2019-08,46008458,1075799,0,47084257
2019-09,14812001,1273973,0,16085973
2019-10,392921,877626,0,1270547
2019-11,56,986301,0,986357
2019-12,0,1160731,0,1160731
2020-01,17,1472146,0,1472163
2020-02,0,1191781,0,1191781
2020-03,0,1358904,0,1358904
2020-04,0,1150685,0,1150685
2020-05,885174,1019178,0,1904352
2020-06,36587077,904110,0,37491187
2020-07,57921468,1415525,0,59336993
2020-08,44738129,1104110,0,45842238
2020-09,1049922,849315,0,1899237
2020-10,1198895,1061644,0,2260539
2020-11,0,1287671,0,1287671
2020-12,0,1656164,0,1656164
