# Official name: Daugaard-Jensen Gletsjer, Foreign name: Daugaard-Jensen Gletsjer, Mouginot/Mankoff name: Daugaard-Jensen, Mouginot region: CE, Mankoff discharge gate (2021): 140, closest NSIDC/MEASUREs ID: 120, distance to closest NSIDC/MEASUREs ID: 3441m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,799731201,19683959,819415160
2010-02,0,717968743,19683959,737652702
2010-03,0,790627397,19683959,810311357
2010-04,0,760684932,19683959,780368891
2010-05,68504485,826383562,19823207,914711254
2010-06,728388741,728383562,27630080,1484402383
2010-07,1025175828,795553425,34111585,1854840838
2010-08,471009645,775169863,27130234,1273309742
2010-09,83887383,748767123,20379174,853033681
2010-10,0,772282192,19683960,791966152
2010-11,0,745684789,19683959,765368748
2010-12,0,768624302,19683959,788308262
2011-01,0,766774693,19683959,786458652
2011-02,0,691360138,19683959,711044098
2011-03,0,764978082,19683959,784662042
2011-04,0,773753425,19683959,793437384
2011-05,75953,791986301,19683959,811746214
2011-06,313555016,785753425,22006216,1121314657
2011-07,859934133,829695890,31362535,1720992559
2011-08,373641709,759882192,24618834,1158142736
2011-09,2967904,716712329,19690599,739370831
2011-10,1510,743575342,19683959,763260811
2011-11,1461,722548652,19683959,742234072
2011-12,1510,749589643,19683959,769275112
2012-01,0,752663014,19683959,772346973
2012-02,0,707020760,19683959,726704719
2012-03,0,758693151,19683959,778377110
2012-04,0,737178082,19683959,756862042
2012-05,48750527,781200000,19847523,849798050
2012-06,940444053,802931507,30010304,1773385864
2012-07,1096212243,787909589,36142742,1920264574
2012-08,569630494,793939726,28200682,1391770902
2012-09,139446,740630137,19683959,760453543
2012-10,106,769139726,19683959,788823791
2012-11,0,747534247,19683959,767218206
2012-12,0,775359462,19683959,795043422
2013-01,0,778199700,19683959,797883660
2013-02,0,705369863,19683959,725053822
2013-03,0,783323288,19683959,803007247
2013-04,0,745561644,19683959,765245603
2013-05,213800,774150685,19683959,794048445
2013-06,334506913,747041096,21506005,1103054014
2013-07,770733400,785276712,29988241,1585998353
2013-08,249356782,816871233,22948587,1089176602
2013-09,2974744,783945205,19683959,806603909
2013-10,0,808887671,19683959,828571631
2013-11,0,781643836,19683959,801327795
2013-12,0,806509589,19683959,826193548
2014-01,0,805320548,19683959,825004507
2014-02,0,726312329,19683959,745996288
2014-03,0,803027397,19683959,822711357
2014-04,0,775972603,19683959,795656562
2014-05,480695,784852055,19683959,805016710
2014-06,462398201,794054795,24108896,1280561892
2014-07,790787899,819504110,29341972,1639633980
2014-08,374136543,803027397,25048185,1202212125
2014-09,6709062,772232877,19683959,798625898
2014-10,0,780265753,19683959,799949713
2014-11,0,768904110,19683959,788588069
2014-12,0,808632877,19683959,828316836
2015-01,0,818102740,19683959,837786699
2015-02,0,731567123,19683959,751251083
2015-03,0,785616438,19683959,805300398
2015-04,0,766445940,19683959,786129899
2015-05,0,801498630,19683959,821182590
2015-06,352939055,783375224,22816675,1159130954
2015-07,1029940507,813771233,33332421,1877044161
2015-08,271149321,781836986,22579065,1075565373
2015-09,15571169,759123288,19683959,794378416
2015-10,0,782219178,19683959,801903138
2015-11,0,752609766,19683959,772293726
2015-12,0,774702740,19683959,794386699
2016-01,0,775509589,19683959,795193548
2016-02,0,724871894,19683959,744555854
2016-03,0,774278082,19683959,793962042
2016-04,0,761891170,19683959,781575129
2016-05,20576307,799672603,19683959,839932870
2016-06,520059332,773189275,24393994,1317642601
2016-07,1022424292,797506849,33905815,1853836957
2016-08,357042342,795001370,23715838,1175759550
2016-09,4783353,747041096,19692454,771516903
2016-10,0,786109041,19683959,805793001
2016-11,0,735410959,19683959,755094918
2016-12,0,786329863,19683959,806013822
2017-01,0,783187397,19683959,802871357
2017-02,0,732219178,19683959,751903138
2017-03,0,795956849,19683959,815640809
2017-04,0,769129967,19683959,788813926
2017-05,16378941,793628311,19683959,829691211
2017-06,323414876,754315068,20625747,1098355692
2017-07,541822164,812624658,23464236,1377911057
2017-08,271862170,801626027,20870702,1094358899
2017-09,24714227,782876712,19686307,827277246
2017-10,213570,805575342,19683959,825472872
2017-11,0,725712329,19683959,745396288
2017-12,0,787378767,19683959,807062727
2018-01,0,793684932,19683959,813368891
2018-02,0,715035616,19683959,734719576
2018-03,0,782355068,19683959,802039028
2018-04,0,750945205,19683959,770629165
2018-05,1256023,817703562,19683959,838643544
2018-06,319626927,778520548,21724471,1119871947
2018-07,623330077,823127854,25937576,1472395507
2018-08,361834003,818017808,22875378,1202727189
2018-09,34861661,744547945,19683959,799093566
2018-10,17334,802178082,19683959,821879375
2018-11,0,757643836,19683959,777327795
2018-12,0,792878082,19683959,812562042
2019-01,0,784512329,19683959,804196288
2019-02,0,707364384,19683959,727048343
2019-03,0,775764384,19683959,795448343
2019-04,0,749287671,19683959,768971631
2019-05,84185372,776953425,19683959,880822756
2019-06,829689298,759397260,26846193,1615932751
2019-07,1224305342,774745205,38156600,2037207148
2019-08,469447044,761269406,26800893,1257517343
2019-09,7067833,726698630,19694054,753460518
2019-10,0,762316895,19683959,782000855
2019-11,0,751972603,19683959,771656562
2019-12,0,772933333,19683959,792617293
2020-01,0,777576256,19683959,797260215
2020-02,0,728178082,19683959,747862042
2020-03,0,776132420,19683959,795816380
