# Official name: Dietrichson Gletsjer, Foreign name: Dietrichson Gletsjer, Mouginot/Mankoff name: Steenstrup-Dietrichson, Mouginot region: NW, Mankoff discharge gate (2021): 92, closest NSIDC/MEASUREs ID: 45, distance to closest NSIDC/MEASUREs ID: 6795m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,61133217,69196,61202413
2010-02,0,54789997,69196,54859193
2010-03,0,60216438,69196,60285634
2010-04,0,57780822,69196,57850018
2010-05,8004668,67180822,93438,75278928
2010-06,174622002,65095890,1156860,240874753
2010-07,239501570,69813699,1596685,310911953
2010-08,207449411,65652055,1236584,274338050
2010-09,4234788,58273973,88354,62597115
2010-10,0,62169863,69196,62239059
2010-11,762101,62118712,70031,62950844
2010-12,2905,66143555,69202,66215662
2011-01,0,68164546,69196,68233742
2011-02,0,63396487,69196,63465683
2011-03,0,72021918,69196,72091114
2011-04,0,71671233,69196,71740429
2011-05,0,76013699,69196,76082895
2011-06,105443487,74712329,727037,180882852
2011-07,371969583,81873973,2244175,456087731
2011-08,127536392,66586301,833474,194956168
2011-09,524183,68712329,70088,69306600
2011-10,0,71512329,69196,71581525
2011-11,0,69710678,69196,69779873
2011-12,0,72535309,69196,72604505
2012-01,0,73041096,69196,73110292
2012-02,0,68780110,69196,68849306
2012-03,0,73975342,69196,74044538
2012-04,0,72082192,69196,72151388
2012-05,11810419,73380822,152229,85343470
2012-06,204063291,81780822,1438579,287282692
2012-07,327059826,85016438,2189032,414265296
2012-08,198764914,81619178,1227861,281611953
2012-09,699236,72246575,69831,73015642
2012-10,110775,82213699,69196,82393670
2012-11,0,85808219,69196,85877415
2012-12,0,89071267,69196,89140463
2013-01,0,89268613,69196,89337809
2013-02,0,80778082,69196,80847278
2013-03,0,89602740,69196,89671936
2013-04,0,86876712,69196,86945908
2013-05,0,86205479,69196,86274675
2013-06,71659612,100027397,623347,172310356
2013-07,203958085,112789041,1514017,318261143
2013-08,64643514,98095890,430783,163170187
2013-09,646448,107013699,70019,107730165
2013-10,2,111260274,69196,111329472
2013-11,0,108328767,69196,108397963
2013-12,0,112534247,69196,112603443
2014-01,0,113298630,69196,113367826
2014-02,0,103024658,69196,103093853
2014-03,0,114742466,69196,114811662
2014-04,0,111780822,69196,111850018
2014-05,0,101408219,69196,101477415
2014-06,98631891,116630137,646954,215908982
2014-07,246644957,123830137,1677262,372152356
2014-08,140911441,121961644,766682,263639767
2014-09,224155,110547945,69403,110841503
2014-10,112525,114572603,69196,114754324
2014-11,0,109808219,69196,109877415
2014-12,0,112364384,69196,112433579
2015-01,0,111260274,69196,111329470
2015-02,0,103101370,69196,103170566
2015-03,0,116186301,69196,116255497
2015-04,0,110181516,69196,110250712
2015-05,88411,109604110,69196,109761716
2015-06,107300921,101087283,730265,209118469
2015-07,337857352,98775342,2183553,438816247
2015-08,60249244,93042466,362149,153653859
2015-09,943273,95589041,71011,96603325
2015-10,0,91301370,69196,91370566
2015-11,0,89430336,69196,89499532
2015-12,0,94571233,69196,94640429
2016-01,0,97756164,69196,97825360
2016-02,0,89922285,69196,89991481
2016-03,0,94061644,69196,94130840
2016-04,0,89855177,69196,89924373
2016-05,8152,92278082,69196,92355431
2016-06,53636841,96080493,416036,150133370
2016-07,288897344,105952055,1904883,396754282
2016-08,159421911,94401370,948140,254771421
2016-09,147886,97191781,69436,97409103
2016-10,0,101306301,69196,101375497
2016-11,0,102904110,69196,102973306
2016-12,0,103395616,69196,103464812
2017-01,0,101051507,69196,101120703
2017-02,0,91383562,69196,91452758
2017-03,0,101578082,69196,101647278
2017-04,0,100168968,69196,100238164
2017-05,0,105031963,69196,105101159
2017-06,43750203,101424658,391187,145566047
2017-07,232192783,103418265,1487659,337098707
2017-08,143309548,100728767,813411,244851727
2017-09,733377,92465753,70163,93269294
2017-10,13584,95038356,69196,95121136
2017-11,0,102657534,69196,102726730
2017-12,0,103722603,69196,103791799
2018-01,0,99115068,69196,99184264
2018-02,0,87758904,69196,87828100
2018-03,0,97331507,69196,97400703
2018-04,0,95506849,69196,95576045
2018-05,58436,94290959,69196,94418591
2018-06,69130034,95835616,507409,165473060
2018-07,114365444,94726941,810800,209903185
2018-08,166872053,76226027,1086451,244184531
2018-09,3268441,66684932,79197,70032569
2018-10,0,74803425,69196,74872621
2018-11,0,79561644,69196,79630840
2018-12,0,85802055,69196,85871251
2019-01,0,86884932,69196,86954127
2019-02,0,83923288,69196,83992484
2019-03,0,89715982,69196,89785178
2019-04,176992,89041096,69430,89287518
2019-05,25991441,91004110,261675,117257226
2019-06,158150461,90547945,1099772,249798179
2019-07,362994295,81067123,2334036,446395454
2019-08,154904144,80005479,1016531,235926155
2019-09,10072103,79438356,120830,89631289
2019-10,34160,87139726,69228,87243114
2019-11,0,86219178,69196,86288374
2019-12,0,91244749,69196,91313945
2020-01,0,90055708,69196,90124904
2020-02,0,86721918,69196,86791114
2020-03,0,90791781,69196,90860977
2020-04,0,88808219,69196,88877415
2020-05,18802,91103196,69196,91191194
2020-06,62655560,87945205,472742,151073507
2020-07,237362085,90565297,1636321,329563702
2020-08,107996300,86163014,656473,194815787
2020-09,313064,84082192,70505,84465760
2020-10,823897,90791781,70103,91685780
2020-11,0,87260274,69196,87329470
2020-12,0,88965753,69196,89034949
