# Official name: Eqalorutsit Kangilliit Sermiat, Foreign name: Eqalorutsit Kangilliit Sermiat, Mouginot/Mankoff name: Qajuuttap Sermia, Mouginot region: SW, Mankoff discharge gate (2021): 335, closest NSIDC/MEASUREs ID: 203, distance to closest NSIDC/MEASUREs ID: 4091m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,16516,191008902,3765384,194790801
2010-02,259010,170933032,3764541,174956584
2010-03,149627,187358904,3764635,191273166
2010-04,1685728,179013699,3764552,184463979
2010-05,455387674,182687671,10682001,648757346
2010-06,699189460,174410959,18797948,892398367
2010-07,1114860408,177931507,35262757,1328054672
2010-08,1377595007,175468493,45341060,1598404560
2010-09,337783817,167506849,10929481,516220147
2010-10,23367770,174194521,3777091,201339382
2010-11,1997590,173509084,3764362,179271036
2010-12,2936153,189166562,3784283,195886998
2011-01,128694,202233426,3765109,206127228
2011-02,107870,195036731,3770117,198914718
2011-03,181055,226936986,3766315,230884356
2011-04,133272,230054795,3766252,233954319
2011-05,867302,248169863,3766315,252803480
2011-06,381548717,250602740,12405374,644556831
2011-07,976038329,269402740,28964736,1274405805
2011-08,895526613,264561644,26955519,1187043776
2011-09,65747319,228328767,4221569,298297655
2011-10,389074,254030137,3764641,258183852
2011-11,26021,252433169,3764632,256223821
2011-12,1300789,265016281,3764641,270081711
2012-01,30974,269317808,3764491,273113273
2012-02,18048,256741073,3764903,260524024
2012-03,2052869,279254795,3764491,285072154
2012-04,56781785,275260274,4721116,336763174
2012-05,206294169,289446575,6553437,502294182
2012-06,954835975,285123288,28711612,1268670874
2012-07,2069247691,220227397,60914953,2350390041
2012-08,999364778,153810959,35113579,1188289315
2012-09,220322211,153123288,6630995,380076494
2012-10,103348347,175638356,4456070,283442773
2012-11,7692284,245835616,3808233,257336133
2012-12,90327,260317005,3764362,264171694
2013-01,21326,263389933,3768585,267179844
2013-02,10083,240569863,3765011,244344957
2013-03,10843,269912329,3765083,273688255
2013-04,298961,264986301,3765058,269050320
2013-05,13939078,277556164,3765081,295260323
2013-06,278831732,280027397,7403314,566262443
2013-07,719372367,273309589,22236905,1014918861
2013-08,551368725,239421918,20526087,811316730
2013-09,82834194,210410959,5429153,298674306
2013-10,11438946,236449315,3782611,251670871
2013-11,147303,228328767,3779699,232255769
2013-12,270301,235345205,3775369,239390875
2014-01,10671,246641096,3766083,250417850
2014-02,5533,232975342,3765224,236746100
2014-03,6127,309065753,3766021,312837901
2014-04,5939,296136986,3766391,299909316
2014-05,60153283,331232877,4275596,395661755
2014-06,578186893,301808219,14726173,894721285
2014-07,915361676,265835616,32645484,1213842777
2014-08,902163913,244093151,30798906,1177055969
2014-09,189700145,235602740,7787005,433089890
2014-10,315284,242479452,3771712,246566448
2014-11,34634,236712329,3765242,240512205
2014-12,31752,254157534,3765234,257954520
2015-01,14252,258658904,3781959,262455116
2015-02,14199,237578082,3764362,241356643
2015-03,14078,296368493,3764362,300146933
2015-04,13628,287391910,3764362,291169900
2015-05,371232,297132877,3764362,301268471
2015-06,239711740,272255516,9246767,521214023
2015-07,718105175,262778082,24052227,1004935484
2015-08,559521518,257894521,20277351,837693389
2015-09,364311818,261698630,13979609,639990057
2015-10,20575039,248297260,4335153,273207452
2015-11,17863,240371884,3764362,244154109
2015-12,18106,248467123,3764362,252249591
2016-01,39264,241035616,3767104,244841985
2016-02,26286,219938507,3772338,223737131
