# Official name: Eqalorutsit Killiit Sermiat, Foreign name: Eqalorutsit Killiit Sermiat, Mouginot/Mankoff name: Eqalorutsit Killiit Sermiat, Mouginot region: SW, Mankoff discharge gate (2021): 338, closest NSIDC/MEASUREs ID: 203, distance to closest NSIDC/MEASUREs ID: 25017m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,68023,289625224,5779557,295472804
2010-02,1191847,265452907,5781449,272426204
2010-03,761786,297260274,5786234,303808294
2010-04,2746831,290794521,5778874,299320225
2010-05,456024663,303715068,14066332,773806063
2010-06,869218857,297041096,22565591,1188825544
2010-07,1757976999,310169863,38414704,2106561566
2010-08,2072698174,313397260,46075450,2432170884
2010-09,442121103,225780822,13451165,681353090
2010-10,27113955,228550685,5930644,261595283
2010-11,3412109,222953858,5778480,232144447
2010-12,4420648,234870460,5781223,245072331
2011-01,189771,241080325,5778483,247048579
2011-02,109747,223681840,5778776,229570363
2011-03,382188,252841096,5777006,259000291
2011-04,57390,249534247,5777001,255368638
2011-05,3929978,262693151,5777006,272400134
2011-06,496641957,259068493,14965965,770676415
2011-07,1479282202,272545205,34085037,1785912444
2011-08,1112902720,291654795,25824967,1430382482
2011-09,67832135,287013699,6751673,361597506
2011-10,586490,323079452,5782234,329448175
2011-11,129625,317615880,5782312,323527817
2011-12,107218,330814956,5777772,336699946
2012-01,33693,333526027,5777952,339337672
2012-02,29752,315328137,5779130,321137020
2012-03,1380972,340405479,5802427,347588879
2012-04,96578200,332876712,7411901,436866814
2012-05,153535356,347369863,9155926,510061146
2012-06,1289012220,339534247,30519533,1659066000
2012-07,3483841704,354334247,65562807,3903738757
2012-08,1512248062,283246575,33292499,1828787137
2012-09,246977579,273616438,9469492,530063509
2012-10,166949941,292419178,8183291,467552410
2012-11,9133464,291041096,5956983,306131543
2012-12,722791,296073675,5777171,302573637
2013-01,19528,285396970,5777892,291194390
2013-02,67590,248241096,5777636,254086322
2013-03,82217,267364384,5777607,273224208
2013-04,1730353,250767123,5777583,258275059
2013-05,18184483,251057534,5856670,275098688
2013-06,355512071,296958904,11713594,664184569
2013-07,1006815282,281972603,26261576,1315049461
2013-08,853464014,251312329,21052139,1125828482
2013-09,124112257,253890411,8189185,386191853
2013-10,3101671,276536986,5845719,285484377
2013-11,805650,294904110,5784051,301493810
2013-12,229024,281632877,5794130,287656030
2014-01,14420,300232877,5777316,306024612
2014-02,10201,241106849,5776971,246894021
2014-03,13453,289361644,5784656,295159753
2014-04,14285,275424658,5776979,281215922
2014-05,72132157,292843836,6781834,371757826
2014-06,689264200,311342466,18798991,1019405656
2014-07,1400983440,297175342,32002568,1730161350
2014-08,1342801485,292419178,32388434,1667609097
2014-09,278021079,269958904,10639017,558619000
2014-10,1506277,295646575,5777583,302930436
2014-11,71203,277068493,5776896,282916592
2014-12,30583,283034247,5776897,288841727
2015-01,100268,297897260,5777146,303774674
2015-02,58183,260860274,5776934,266695391
2015-03,56667,289828767,5776854,295662289
2015-04,54705,276310923,5776855,282142483
2015-05,2012265,281420548,5776855,289209669
2015-06,268787338,285963871,11066799,565818009
2015-07,1064977732,308895890,24530080,1398403702
2015-08,818323579,299128767,20638972,1138091317
2015-09,572102828,273698630,15722424,861523883
2015-10,17112632,291824658,6051674,314988964
2015-11,80141,278943913,5776854,284800908
2015-12,61005,284308219,5776854,290146079
2016-01,574121,283628767,5776926,289979814
2016-02,338045,264489206,5777011,270604262
2016-03,165475,282227397,5777193,288170065
2016-04,11687631,277923412,5782369,295393412
2016-05,157046650,291909589,7291497,456247736
2016-06,1116527559,282464673,29053327,1428045558
2016-07,1436684792,291782192,32570006,1761036990
2016-08,1409550105,285667123,30341873,1725559101
2016-09,46148750,274397260,6752953,327298963
2016-10,8093789,286728767,5834164,300656721
2016-11,9792370,277520548,5820520,293133438
2016-12,641187,282770959,5776882,289189027
2017-01,62614,282906849,5777139,288746602
2017-02,56036,255106849,5777111,260939997
2017-03,716255,286431507,5777139,292924901
2017-04,58736,286083248,5777130,291919114
2017-05,267702779,301789954,10453081,579945815
2017-06,524079697,290589041,16813685,831482423
2017-07,1051979505,298873973,26730219,1377583697
2017-08,1157103602,294712329,29652849,1481468780
2017-09,741339536,274438356,19922740,1035700632
2017-10,1885678,280486301,6073944,288445923
2017-11,417090,261698630,5837101,267952821
2017-12,106627,271419863,5777423,277303914
2018-01,52414,275398904,5776855,281228173
2018-02,36405,244041096,5776854,249854355
2018-03,37631,270455890,5776854,276270376
2018-04,2474275,265027397,5776854,273278526
2018-05,3379778,271543014,5776854,280699646
2018-06,444561030,281589041,13659633,739809703
2018-07,1511549630,285454795,34796590,1831801014
2018-08,917765615,277853425,21484379,1217103419
2018-09,85838118,264821918,6844904,357504940
2018-10,125225,276728082,5777084,282630391
2018-11,46507,263232877,5776856,269056239
2018-12,197644,271717123,5776883,277691651
2019-01,51177,272120548,5777814,277949539
2019-02,45506,241145205,5776963,246967674
2019-03,59269,274526941,5777082,280363291
2019-04,44546,272904110,5776939,278725595
2019-05,159400035,293183562,7762031,460345627
2019-06,866722974,293205479,22512705,1182441159
2019-07,1585426078,299468493,35612436,1920507007
2019-08,1067257571,292447489,22725104,1382430164
2019-09,163636503,281219178,8736625,453592306
2019-10,12061781,296552511,5867054,314481346
2019-11,58085,279369863,5778984,285206932
2019-12,46201,290748858,5779102,296574162
2020-01,376575,286983562,5776873,293137010
2020-02,22806,275182192,5776872,280981870
2020-03,1536909,291909589,5776873,299223371
2020-04,1282843,290013699,5776869,297073410
2020-05,78933163,309178995,6974832,395086991
2020-06,556806556,311712329,16947616,885466500
2020-07,1741939784,320814612,39174239,2101928634
2020-08,1339402483,310891781,32331430,1682625694
2020-09,210053516,296493151,9109216,515655882
2020-10,26642468,317601370,6008202,350252040
2020-11,736666,299616438,5776862,306129966
2020-12,458997,307791781,5776871,314027649
