# Official name: Eqip Sermia, Foreign name: Eqip Sermia, Mouginot/Mankoff name: Eqip Sermia, Mouginot region: CW, Mankoff discharge gate (2021): 180, closest NSIDC/MEASUREs ID: 5, distance to closest NSIDC/MEASUREs ID: 5923m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,419,63592871,2605432,66198722
2010-02,0,59706580,2605432,62312012
2010-03,0,68115068,2605432,70720500
2010-04,0,67808219,2605432,70413651
2010-05,88052854,69983562,3067358,161103774
2010-06,353817262,62301370,6715801,422834433
2010-07,410034399,58347945,9393635,477775979
2010-08,319664231,57668493,7350812,384683537
2010-09,67392300,59671233,3546228,130609760
2010-10,14964964,64887671,2681218,82533852
2010-11,7002713,65968511,2606120,75577344
2010-12,5516,71312727,2605441,73923684
2011-01,0,74544453,2605432,77149885
2011-02,0,70242952,2605432,72848383
2011-03,0,80684932,2605432,83290363
2011-04,0,81205479,2605432,83810911
2011-05,37,84931507,2605457,87537001
2011-06,209706694,79232877,4968591,293908162
2011-07,515699245,67520548,10529084,593748878
2011-08,209928722,61745205,5119591,276793519
2011-09,5029144,61150685,2606548,68786377
2011-10,0,67180822,2605432,69786254
2011-11,309090,69002294,2605523,71916908
2011-12,0,75289536,2605432,77894967
2012-01,0,79410959,2605432,82016390
2012-02,0,78152256,2605432,80757688
2012-03,0,87394521,2605432,89999952
2012-04,1038903,88520548,2605580,92165031
2012-05,60159004,95123288,2917202,158199494
2012-06,416770785,80794521,8204614,505769919
2012-07,532455660,70578082,12660288,615694030
2012-08,283683210,73380822,6975602,364039633
2012-09,23049519,81452055,2655871,107157444
2012-10,3154271,86460274,2605987,92220532
2012-11,0,85561644,2605432,88167075
2012-12,0,91061408,2605432,93666839
2013-01,0,94308071,2605432,96913503
2013-02,0,88065753,2605432,90671185
2013-03,5653,100134247,2605432,102745332
2013-04,8,74712329,2605446,77317782
2013-05,3711,92830137,2605473,95439321
2013-06,198696473,91479452,3936930,294112856
2013-07,328605587,84591781,6977752,420175119
2013-08,130799618,91216438,4270686,226286743
2013-09,18195250,95424658,2707763,116327671
2013-10,19620,108202740,2605449,110827809
2013-11,0,99863014,2605432,102468445
2013-12,0,98435616,2605432,101041048
2014-01,0,93509589,2605432,96115021
2014-02,0,80087671,2605432,82693103
2014-03,0,105739726,2605432,108345158
2014-04,0,105369863,2605432,107975295
2014-05,20437,109052055,2605700,111678192
2014-06,216648221,108821918,4690226,330160365
2014-07,369894509,107013699,7577170,484485378
2014-08,275516170,96736986,6495107,378748264
2014-09,21664869,100808219,2759594,125232682
2014-10,1,104550685,2605432,107156118
2014-11,323,103232877,2605432,105838632
2014-12,0,108839726,2605432,111445158
2015-01,0,105017808,2605432,107623240
2015-02,0,91939726,2605432,94545158
2015-03,0,104763014,2605432,107368445
2015-04,0,99194031,2605432,101799463
2015-05,1608497,100346575,2606025,104561098
2015-06,192949329,100520204,4337368,297806901
2015-07,400584724,107226027,9041396,516852147
2015-08,109243629,105782192,3502031,218527851
2015-09,23882401,105616438,2818473,132317312
2015-10,0,105612329,2605432,108217760
2015-11,0,103805521,2605432,106410952
2015-12,0,108839726,2605432,111445158
2016-01,0,103701370,2605432,106306801
2016-02,0,93009045,2605432,95614477
2016-03,0,97373973,2605432,99979404
2016-04,5949971,99075107,2626387,107651465
2016-05,14928199,107141096,2649421,124718715
2016-06,228187062,97221606,5513917,330922585
2016-07,431065448,94104110,9643027,534812584
2016-08,217339431,94783562,6040319,318163312
2016-09,2451347,95301370,2608272,100360988
2016-10,1874780,97960000,2605743,102440523
2016-11,3270,98013699,2605451,100622420
2016-12,0,104584658,2605432,107190089
2017-01,0,103752329,2605432,106357760
2017-02,0,91786301,2605432,94391733
2017-03,0,99051370,2605432,101656801
2017-04,0,95648845,2605432,98254277
2017-05,19452629,98775342,2645800,120873772
2017-06,150672188,98712329,3788909,253173425
2017-07,274358035,97020091,5642253,377020380
2017-08,167514417,94146575,4130899,265791891
2017-09,23201116,92794521,2864700,118860336
2017-10,251667,96142466,2605629,98999762
2017-11,9,93246575,2605444,95852029
2017-12,0,100813699,2605432,103419130
2018-01,0,101985753,2605432,104591185
2018-02,0,91556164,2605432,94161596
2018-03,0,100185205,2605432,102790637
2018-04,0,97150685,2605432,99756116
2018-05,3681010,99386849,2607799,105675659
2018-06,169413337,97849315,4110453,271373105
2018-07,312020351,94726941,6961108,413708399
2018-08,229772387,91980822,5352977,327106186
2018-09,15660545,89945205,2635983,108241734
2018-10,22584,96269863,2605432,98897878
2018-11,4143,95726027,2605451,98335622
2018-12,0,100410274,2605432,103015706
2019-01,0,100898630,2605432,103504062
2019-02,0,89600000,2605432,92205432
2019-03,0,98662100,2605432,101267532
2019-04,14057388,94821918,2607688,111486994
2019-05,169786462,103276712,3367863,276431037
2019-06,345399049,92027397,7046909,444473355
2019-07,515658454,85610959,12829616,614099029
2019-08,204901873,84818265,5964976,295685114
2019-09,15104828,83013699,2644138,100762665
2019-10,2730236,88696804,2605876,94032916
2019-11,0,89260274,2605432,91865706
2019-12,0,96878539,2605432,99483970
2020-01,0,99058447,2605432,101663879
2020-02,0,91012329,2605432,93617760
2020-03,0,97557991,2605432,100163422
2020-04,3398588,93000000,2606476,99005063
2020-05,23684997,97586301,2609174,123880473
2020-06,169096556,91808219,3972848,264877624
2020-07,353990554,88781735,7663803,450436092
2020-08,139985014,87946575,3567365,231498954
2020-09,5887587,86657534,2617993,95163115
2020-10,9937875,95845205,2606722,108389802
2020-11,1,95397260,2605432,98002693
2020-12,0,100941096,2605432,103546527
