# Official name: Fimbulgletsjer, Foreign name: Fimbulgletsjer, Mouginot/Mankoff name: Fimbulgetlscher, Mouginot region: SE, Mankoff discharge gate (2021): 286, closest NSIDC/MEASUREs ID: 189, distance to closest NSIDC/MEASUREs ID: 6208m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,246895,21161716,7442,21416052
2010-02,2945,18403938,7442,18414325
2010-03,1123,19619178,7442,19627743
2010-04,7,17835616,7442,17843066
2010-05,2491660,21912329,22226,24426215
2010-06,31197200,19232877,773293,51203370
2010-07,66987669,15882192,957113,83826974
2010-08,74006589,18515068,820780,93342438
2010-09,48503537,17589041,613843,66706422
2010-10,2748099,18175342,101372,21024814
2010-11,27831,17589041,7447,17624319
2010-12,35983,18175342,7448,18218774
2011-01,2922,18175342,7452,18185716
2011-02,90504,16416438,7451,16514394
2011-03,21753,18175342,7452,18204547
2011-04,18739,17589041,7451,17615231
2011-05,1572,18260274,7452,18269297
2011-06,7964488,17835616,360893,26160996
2011-07,70443805,18515068,1006689,89965562
2011-08,38590815,18260274,543051,57394140
2011-09,3082655,17342466,71616,20496737
2011-10,109013,17495890,7456,17612359
2011-11,211498,16467278,7453,16686228
2011-12,95394,16533304,7452,16636150
2012-01,25254,16052055,7453,16084762
2012-02,48272,14498845,7448,14554565
2012-03,115461,15202740,7449,15325649
2012-04,29717,21287671,10044,21327432
2012-05,977579,18939726,7442,19924747
2012-06,42684860,17917808,657135,61259803
2012-07,83918464,14863014,884280,99665758
2012-08,59350856,22676712,702476,82730044
2012-09,2560201,22684932,50450,25295583
2012-10,26828,24205479,7449,24239756
2012-11,35224,20712329,7443,20754996
2012-12,11400,20028251,7448,20047099
2013-01,266652,19011431,7442,19285525
2013-02,1040,16263014,7442,16271496
2013-03,746,16986301,7442,16994489
2013-04,160,15863014,7442,15870616
2013-05,794,16646575,7445,16654814
2013-06,7913162,17671233,224537,25808932
2013-07,41926774,21572603,885973,64385349
2013-08,24980488,19364384,485360,44830232
2013-09,1405038,20876712,39635,22321386
2013-10,75066,20128767,7445,20211279
2013-11,14987,16356164,7445,16378596
2013-12,2390,16986301,7445,16996136
2014-01,367775,17071233,7443,17446450
2014-02,39400,15495890,7443,15542733
2014-03,317416,17410959,7442,17735817
2014-04,10732,17095890,7442,17114064
2014-05,455164,18345205,7442,18807811
2014-06,14216907,18739726,478463,33435096
2014-07,52525296,19619178,883786,73028260
2014-08,55498698,18939726,814534,75252958
2014-09,6884918,20178082,186850,27249850
2014-10,155523,20468493,7470,20631486
2014-11,95194,19561644,7496,19664335
2014-12,124007,20043836,7454,20175296
2015-01,694,19406849,7450,19414993
2015-02,287779,16569863,7449,16865091
2015-03,490514,21530137,7450,22028101
2015-04,126570,19993489,7449,20127509
2015-05,325213,19831507,7449,20164169
2015-06,6010017,19654951,214967,25879934
2015-07,45302911,20765753,805199,66873864
2015-08,32097404,20383562,511561,52992526
2015-09,9402208,16849315,278120,26529643
2015-10,517751,20468493,7505,20993749
2015-11,197497,18957692,7465,19162654
2015-12,28507,18005479,7443,18041430
2016-01,13989,16136986,7445,16158420
2016-02,7419,15228658,7445,15243522
2016-03,6293,16604110,7444,16617847
2016-04,5259,17411755,7479,17424492
2016-05,475355,19491781,7442,19974577
2016-06,30989211,19547505,700771,51237487
2016-07,68773917,20510959,880577,90165453
2016-08,50045800,19406849,659173,70111823
2016-09,4249570,14589041,113782,18952393
2016-10,1514532,17326027,7848,18848407
2016-11,13553,12082192,7446,12103191
2016-12,1532,12807671,7471,12816674
2017-01,62655,13521096,7689,13591440
2017-02,73462,11161644,7905,11243011
2017-03,370,14374658,7855,14382882
2017-04,312,16966876,7465,16974653
2017-05,2168680,19421005,7442,21597126
2017-06,11899710,13315068,490855,25705633
2017-07,44552201,17467580,834351,62854132
2017-08,42856546,22209589,594362,65660497
2017-09,7662592,19397260,162868,27222720
2017-10,332992,19534247,7826,19875065
2017-11,332711,10849315,7451,11189477
2017-12,104500,14799315,7566,14911380
2018-01,331,16323836,7442,16331608
2018-02,428,15553425,7442,15561294
2018-03,10847,12926575,7442,12944864
2018-04,198,10602740,7442,10610380
2018-05,144,13045479,7442,13053065
2018-06,6327740,16068493,207618,22603851
2018-07,52298995,16363470,909435,69571900
2018-08,49636652,16115753,593950,66346355
2018-09,1676575,9945205,31763,11653543
2018-10,17601,15287671,8691,15313963
2018-11,7589,10986301,7772,11001662
2018-12,24881,12952055,7494,12984430
2019-01,124884,10913699,7446,11046028
2019-02,6799,8016438,7697,8030935
2019-03,3120,9059361,7451,9069932
2019-04,51293,11424658,7452,11483403
2019-05,1780485,13461644,7442,15249570
2019-06,18304636,12054795,564901,30924332
2019-07,66797415,11975342,1066138,79838896
2019-08,37026925,11494064,537108,49058097
2019-09,3995815,7767123,110953,11873891
2019-10,488044,13022831,9391,13520266
2019-11,12017,10356164,8458,10376639
2019-12,267798,9597260,8118,9873176
2020-01,4189,10644749,7445,10656383
2020-02,23227,7230137,7445,7260809
2020-03,12235,11097717,7445,11117397
2020-04,7125,12287671,7445,12302241
2020-05,428721,15967123,7445,16403290
2020-06,10068392,15534247,330086,25932725
2020-07,49302778,13900457,871256,64074491
2020-08,49648158,13461644,631689,63741491
2020-09,1939817,13397260,51884,15388960
2020-10,248238,10786301,7626,11042165
2020-11,619623,11260274,7446,11887343
2020-12,233876,11508219,7445,11749540
