# Official name: Frederiksborg Gletsjer, Foreign name: Frederiksborg Gletsjer, Mouginot/Mankoff name: Frederiksborg Gletscher, Mouginot region: CE, Mankoff discharge gate (2021): 197, closest NSIDC/MEASUREs ID: 149, distance to closest NSIDC/MEASUREs ID: 5349m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,16544,20735230,1555023,22306797
2010-02,14945,18720167,1555021,20290133
2010-03,16546,20723288,1555023,22294856
2010-04,16012,21287671,1555022,22858706
2010-05,17640079,21232877,1897978,40770934
2010-06,301579179,21369863,9177980,332127023
2010-07,615282785,21063014,17976727,654322526
2010-08,440240441,20978082,13979950,475198473
2010-09,347524501,19726027,8709631,375960159
2010-10,7986506,20213699,1633200,29833405
2010-11,19595,19339561,1558012,20917168
2010-12,17741,19718214,1558783,21294738
2011-01,12464,19454880,1555069,21022414
2011-02,3752,17397131,1555063,18955947
2011-03,4168,19194521,1555090,20753779
2011-04,4092,20136986,1555067,21696145
2011-05,21964,21997260,1555069,23574294
2011-06,157423942,21534247,4968593,183926782
2011-07,507029386,22421918,13324102,542775405
2011-08,307050128,20128767,7103838,334282733
2011-09,87902225,21205479,2558845,111666549
2011-10,312920,21997260,1555069,23865250
2011-11,574515,21346448,1555067,23476031
2011-12,6754,22107397,1555069,23669221
2012-01,14861,22167123,1555006,23736990
2012-02,13903,20835778,1555006,22404688
2012-03,14862,22336986,1555006,23906854
2012-04,14382,20136986,1557010,21708378
2012-05,6931970,20808219,1621529,29361718
2012-06,435742775,20465753,11524813,467733341
2012-07,709736497,21402740,19873205,751012442
2012-08,527194273,20383562,14534941,562112776
2012-09,18286444,19479452,1855245,39621141
2012-10,17138,20383562,1555160,21955860
2012-11,12091,19890411,1555156,21457657
2012-12,12449,20731071,1555160,22298680
2013-01,8114,20915768,1555006,22478888
2013-02,7281,19024658,1555006,20586945
2013-03,8077,21147945,1555006,22711028
2013-04,7793,21123288,1555006,22686087
2013-05,708437,21402740,1555006,23666183
2013-06,171587919,21369863,5289698,198247480
2013-07,467905815,21317808,13237170,502460793
2013-08,305648098,20808219,8123560,334579876
2013-09,33735357,19808219,2006373,55549949
2013-10,26789420,20213699,1821992,48825111
2013-11,17066,19890411,1555006,21462483
2013-12,10350,20978082,1555006,22543438
2014-01,30491,21402740,1555006,22988237
2014-02,23486,19638356,1555006,21216849
2014-03,26003,20978082,1555006,22559092
2014-04,25942,19890411,1555006,21471359
2014-05,12058520,20383562,1651539,34093620
2014-06,298645012,20712329,8731519,328088860
2014-07,555627289,20043836,14717990,590389114
2014-08,402407559,19789041,11216945,433413545
2014-09,106191772,20013699,3043724,129249195
2014-10,11296006,20553425,1611385,33460816
2014-11,4061263,20136986,1555006,25753256
2014-12,185061,20723288,1555006,22463355
2015-01,1547,20553425,1555006,22109978
2015-02,1099,18295890,1555006,19851996
2015-03,1078,20893151,1555006,22449235
2015-04,1490,20154763,1555006,21711259
2015-05,358280,20680822,1555006,22594108
2015-06,140909749,19740094,4679697,165329540
2015-07,529599273,19916438,15356661,564872372
2015-08,331460456,18854795,8433919,358749169
2015-09,151722849,18246575,4495892,174465316
2015-10,8176136,19661644,1556562,29394343
2015-11,10556,18885621,1555093,20451270
2015-12,6294,19194521,1555034,20755848
2016-01,13453,18515068,1555010,20083532
2016-02,12910,17737664,1555010,19305583
2016-03,9921,19364384,1555010,20929314
2016-04,131172,18728498,1555010,20414680
2016-05,19067814,19321918,1811291,40201023
2016-06,352417932,18449903,10088789,380956624
2016-07,662364937,18642466,21159133,702166536
2016-08,380641724,18175342,10794537,409611603
2016-09,44324611,17753425,2024187,64102222
2016-10,38878958,17852603,1901367,58632928
2016-11,166206,16808219,1555010,18529435
2016-12,340,19211507,1555010,20766857
2017-01,86,18464110,1555008,20019203
2017-02,113,16550685,1555006,18105804
2017-03,47,18069178,1555006,19624231
2017-04,45,18254742,1555006,19809794
2017-05,49803238,19619178,2161314,71583730
2017-06,221737773,17547945,5209526,244495244
2017-07,439567676,18486758,11383270,469437704
2017-08,217513055,18600000,6294797,242407852
2017-09,192823805,18246575,4545796,215616177
2017-10,11769216,18005479,1620520,31395215
2017-11,146283,16602740,1555006,18304029
2017-12,42,17941781,1555006,19496829
2018-01,196568,17716712,1579171,19492451
2018-02,186017,15936986,1618111,17741114
2018-03,149606,17920548,1555006,19625160
2018-04,15831,17794521,1555006,19365358
2018-05,1513787,18566027,1555006,21634821
2018-06,163345449,18082192,4701980,186129621
2018-07,490659131,17863927,14172533,522695591
2018-08,274630706,17517123,7711444,299859274
2018-09,60851066,16739726,2159794,79750586
2018-10,137319,17878082,1555130,19570531
2018-11,315016,17150685,1555126,19020826
2018-12,268,17559589,1556417,19116274
2019-01,17034,18260274,1555007,19832316
2019-02,18233,15879452,1555007,17452693
2019-03,19589,17410959,1555007,18985555
2019-04,11990881,17726027,1611313,31328222
2019-05,47042793,18472603,2431185,67946580
2019-06,366927511,16931507,10917060,394776077
2019-07,849145282,16943836,25597713,891686830
2019-08,408526588,16136986,11187669,435851244
2019-09,134749322,17383562,3638291,155771175
2019-10,8449730,18062100,1629963,28141793
2019-11,76960,16890411,1556018,18523390
2019-12,5530,17467580,1555009,19028119
2020-01,121946,16929680,1555017,18606644
2020-02,8561,15532877,1555017,17096454
2020-03,9268,17326027,1555025,18890321
2020-04,10066,18739726,1555025,20304816
2020-05,13329494,19166210,1597558,34093262
2020-06,317819427,18616438,8575997,345011862
2020-07,461859525,18005479,12237877,492102881
2020-08,391616331,17665753,9702580,418984665
2020-09,10833840,17561644,1779824,30175308
2020-10,14525027,18642466,1807862,34975355
2020-11,668,17369863,1555019,18925550
2020-12,692,17878082,1555019,19433793
