# Official name: Gerard de Geer Gletsjer, Foreign name: Gerard de Geer Gletsjer, Mouginot/Mankoff name: Gerard De Geer, Mouginot region: NE, Mankoff discharge gate (2021): 120, closest NSIDC/MEASUREs ID: 114, distance to closest NSIDC/MEASUREs ID: 4351m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,35473182,21243,35494425
2010-02,0,31893097,21243,31914340
2010-03,0,35161644,21243,35182887
2010-04,0,33863014,21243,33884257
2010-05,18309517,34821918,21243,53152677
2010-06,257011402,33534247,29868,290575516
2010-07,529112964,34567123,73123,563753210
2010-08,182818417,34397260,81995,217297672
2010-09,7994590,33123288,21990,41139868
2010-10,0,34057534,21243,34078777
2010-11,0,32801603,21243,32822846
2010-12,0,33744766,21243,33766009
2011-01,0,33592292,21243,33613535
2011-02,0,30202054,21243,30223297
2011-03,0,33293151,21243,33314394
2011-04,0,32054795,21243,32076037
2011-05,0,32953425,21243,32974668
2011-06,142706181,31808219,25279,174539679
2011-07,429153131,32698630,63118,461914879
2011-08,129696816,32528767,70791,162296374
2011-09,37836,31315068,21243,31374147
2011-10,0,32189041,21243,32210284
2011-11,0,31003460,21243,31024703
2011-12,0,31900805,21243,31922048
2012-01,0,31764384,21243,31785626
2012-02,0,29595178,21243,29616421
2012-03,0,31509589,21243,31530832
2012-04,0,30328767,21243,30350010
2012-05,5048170,31169863,21243,36239276
2012-06,363886523,30000000,101373,393987896
2012-07,617891736,30830137,167360,648889233
2012-08,281969967,30745205,132588,312847761
2012-09,0,29589041,21243,29610284
2012-10,0,30405479,21243,30426722
2012-11,0,29260274,21243,29281517
2012-12,0,30381461,21243,30402703
2013-01,0,30705130,21243,30726373
2013-02,0,28000000,21243,28021243
2013-03,0,31169863,21243,31191106
2013-04,0,30410959,21243,30432202
2013-05,0,31594521,21243,31615763
2013-06,156390456,30821918,27077,187239450
2013-07,387922702,32104110,57177,420083989
2013-08,113396134,32358904,39163,145794201
2013-09,15293,31479452,21243,31515988
2013-10,0,32783562,21243,32804805
2013-11,0,31972603,21243,31993846
2013-12,0,33208219,21243,33229462
2014-01,0,33463014,21243,33484257
2014-02,0,30454795,21243,30476037
2014-03,0,33887671,21243,33908914
2014-04,0,33041096,21243,33062339
2014-05,0,34312329,21243,34333572
2014-06,149487348,33452055,34080,182973483
2014-07,375402209,34736986,90964,410230159
2014-08,139243953,34991781,28520,174264254
2014-09,2036,33945205,21243,33968484
2014-10,0,34821918,21243,34843161
2014-11,0,33452055,21243,33473298
2014-12,0,34312329,21243,34333572
2015-01,0,34142466,21243,34163709
2015-02,0,33715068,21243,33736311
2015-03,0,34184932,21243,34206174
2015-04,0,31698305,21243,31719547
2015-05,0,32189041,21243,32210284
2015-06,90445283,34077077,33195,124555555
2015-07,629877345,38091781,233448,668202574
2015-08,112697434,31382192,25458,144105084
2015-09,409690,31315068,21243,31746001
2015-10,0,32231507,21243,32252750
2015-11,0,31107487,21243,31128730
2015-12,0,32104110,21243,32125352
2016-01,0,32443836,21243,32465079
2016-02,0,31658379,21243,31679622
2016-03,0,35458904,21243,35480147
2016-04,0,35520949,21243,35542192
2016-05,0,37454795,21243,37476037
2016-06,113740335,36484067,22729,150247131
2016-07,482554847,37794521,71214,520420582
2016-08,85769241,36308219,26222,122103683
2016-09,165793,33287671,21243,33474707
2016-10,0,36231781,21243,36253024
2016-11,0,34684932,21243,34706174
2016-12,0,35603288,21243,35624531
2017-01,0,37420822,21243,37442065
2017-02,0,34232877,21243,34254120
2017-03,0,38389041,21243,38410284
2017-04,0,36715586,21243,36736829
2017-05,816433,37511416,21243,38349092
2017-06,83717841,37191781,21969,120931590
2017-07,269160947,39068493,31095,308260535
2017-08,118149834,36478082,27300,154655216
2017-09,563877,35506849,21243,36091969
2017-10,343,35841096,21243,35862682
2017-11,0,34890411,21243,34911654
2017-12,0,36605479,21243,36626722
2018-01,0,38440000,21243,38461243
2018-02,0,34865753,21243,34886996
2018-03,0,38694795,21243,38716037
2018-04,0,37520548,21243,37541791
2018-05,0,40172603,21243,40193846
2018-06,40249552,42986301,22177,83258030
2018-07,199193409,44362557,25082,243581049
2018-08,145151954,42571918,26688,187750560
2018-09,1579464,39561644,21243,41162351
2018-10,0,38750000,21243,38771243
2018-11,0,37726027,21243,37747270
2018-12,0,38219178,21243,38240421
2019-01,0,39535616,21243,39556859
2019-02,0,34635616,21243,34656859
2019-03,0,41361644,21243,41382887
2019-04,0,40246575,21243,40267818
2019-05,11859898,41998630,21243,53879771
2019-06,307512725,40821918,34799,348369442
2019-07,699208986,30447945,259693,729916624
2019-08,269251740,27432877,80286,296764903
2019-09,242524,25890411,21243,26154177
2019-10,0,29442922,21243,29464165
2019-11,0,29917808,21243,29939051
2019-12,0,32245662,21243,32266905
2020-01,0,33604566,21243,33625809
2020-02,0,31343836,21243,31365079
2020-03,0,34878539,21243,34899782
2020-04,0,35753425,21243,35774668
2020-05,1039422,36407306,21243,37467971
2020-06,97960832,37479452,23477,135463761
2020-07,416718205,36435616,58548,453212369
2020-08,111579589,38006849,25930,149612369
2020-09,92,33616438,21243,33637773
2020-10,0,40384932,21243,40406174
2020-11,0,38794521,21243,38815763
2020-12,0,40512329,21243,40533572
