# Official name: Graaulv, Foreign name: Graaulv, Mouginot/Mankoff name: Graulv, Mouginot region: SE, Mankoff discharge gate (2021): 272, closest NSIDC/MEASUREs ID: 187, distance to closest NSIDC/MEASUREs ID: 4372m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,45,388271865,4763865,393035776
2010-02,3061,348638855,4763512,353405427
2010-03,31,383041096,4763512,387804639
2010-04,32,356054795,4763512,360818338
2010-05,36458247,391704110,4768268,432930624
2010-06,173078279,407095890,7868348,588042518
2010-07,386482960,407501370,11461235,805445565
2010-08,362948138,405887671,11551933,780387741
2010-09,161088551,371013699,6827710,538929959
2010-10,18076007,362402740,4765118,385243864
2010-11,11332,352902929,4773665,357687926
2010-12,557648,370196020,4767446,375521115
2011-01,179,377846345,4763512,382610036
2011-02,472,348578247,4763512,353342231
2011-03,0,392298630,4763512,397062142
2011-04,0,385561644,4763512,390325155
2011-05,1067028,404358904,4763512,410189444
2011-06,106392206,393205479,6680443,506278129
2011-07,296502169,416758904,9867102,723128175
2011-08,180365323,395780822,6986096,583132240
2011-09,20679123,368301370,4800766,393781258
2011-10,59253,373019178,4763516,377841947
2011-11,289484,361259557,4763517,366312558
2011-12,4635,373905332,4763512,378673479
2012-01,3192,374547945,4763512,379314649
2012-02,90,351044550,4769891,355814532
2012-03,990,375652055,4763682,380416726
2012-04,22337,361726027,4763512,366511876
2012-05,21095660,369791781,4764253,395651694
2012-06,356822403,369616438,10831218,737270060
2012-07,503870957,370556164,14463534,888890656
2012-08,363817326,349747945,12741242,726306514
2012-09,18944880,360082192,4787159,383814230
2012-10,723624,370216438,4763516,375703579
2012-11,13040,358602740,4763512,363379291
2012-12,81992,370919110,4767505,375768608
2013-01,42567,371319286,4763512,376125364
2013-02,503331,335769863,4763512,341036706
2013-03,207618,372169863,4763512,377140993
2013-04,78457,359424658,4763512,364266626
2013-05,846728,388561644,4763512,394171883
2013-06,78908846,375945205,5406075,460260126
2013-07,248014599,388561644,9779169,646355412
2013-08,173757679,364271233,6913232,544942144
2013-09,16703961,358273973,4771910,379749844
2013-10,1601057,372254795,4763512,378619363
2013-11,34893,359424658,4763512,364223062
2013-12,10065,373189041,4763512,377962618
2014-01,2058,374887671,4763532,379653261
