# Official name: Gungner, Foreign name: Gungner, Mouginot/Mankoff name: Se Noname2, Mouginot region: SE, Mankoff discharge gate (2021): 289, closest NSIDC/MEASUREs ID: 221, distance to closest NSIDC/MEASUREs ID: 8218m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,34030136,14942,34045078
2010-02,0,30698801,14942,30713744
2010-03,0,33972603,14942,33987545
2010-04,0,32876712,14942,32891655
2010-05,14758476,33887671,26302,48672449
2010-06,63728337,32794521,403549,96926406
2010-07,95656639,33887671,1126462,130670772
2010-08,105010260,33802740,1045368,139858368
2010-09,89558184,32712329,797368,123067881
2010-10,18933296,33802740,41395,52777430
2010-11,5531,32694389,14942,32714862
2010-12,92,33741974,15138,33757204
2011-01,0,33690410,14953,33705362
2011-02,0,30391952,15416,30407368
2011-03,0,33632877,15820,33648697
2011-04,0,32547945,15286,32563231
2011-05,490168,33632877,15822,34138867
2011-06,26473904,32547945,80455,59102304
2011-07,96604693,33632877,1106119,131343688
2011-08,71382616,33547945,630422,105560983
2011-09,19215149,32465753,38968,51719870
2011-10,97091,33547945,14942,33659978
2011-11,613414,32444046,14942,33072403
2011-12,5261,33485444,14942,33505647
2012-01,12616,33463014,15188,33490818
2012-02,62,31304110,18394,31322566
2012-03,36,33463014,15153,33478203
2012-04,11,32383562,15913,32399486
2012-05,10316725,33378082,15379,43710187
2012-06,63265154,32301370,372521,95939045
2012-07,115630000,33378082,1061678,150069760
2012-08,87390499,33378082,829080,121597661
2012-09,16497963,32219178,35167,48752308
2012-10,877943,33293151,14942,34186036
2012-11,222399,32219178,14942,32456519
2012-12,6,33059381,15101,33074488
2013-01,116985,32529861,16020,32662866
2013-02,14757,28920548,14949,28950254
2013-03,45551,31679452,14943,31739946
2013-04,4979,30246575,14942,30266497
2013-05,323749,30830137,14942,31168828
2013-06,28139168,29506849,50139,57696157
2013-07,64118797,30065753,526848,94711398
2013-08,53449418,29641096,443465,83533979
2013-09,7906239,28273973,28654,36208866
2013-10,857170,28876712,14942,29748825
2013-11,295075,27534247,14942,27844264
2013-12,99191,28027397,14942,28141530
2014-01,1227,27687671,14942,27703841
2014-02,771,24624658,14942,24640371
2014-03,736,26923288,14942,26938966
2014-04,59,25726027,14942,25741029
2014-05,4529864,26243836,14942,30788642
2014-06,47679199,24986301,77276,72742776
2014-07,75710471,25479452,529918,101719841
2014-08,84439019,25054795,754165,110247978
2014-09,25034589,24000000,173815,49208404
2014-10,352125,24375342,23405,24750872
2014-11,57192,23260274,14942,23332408
2014-12,3128,23695890,14942,23713961
2015-01,13380,23356164,23898,23393442
2015-02,1075,22515068,14942,22531086
2015-03,7141,27645205,14942,27667289
2015-04,917,29244727,14942,29260587
2015-05,592083,31806849,14944,32413876
2015-06,23831073,31341614,50787,55223475
2015-07,66560391,32613699,510153,99684243
2015-08,61344316,28452055,519391,90315763
2015-09,30511644,28109589,239154,58860387
2015-10,994365,27687671,20089,28702126
2015-11,15028,28499828,16102,28530958
2015-12,0,31127397,14942,31142340
2016-01,5149,30830137,14942,30850228
2016-02,5990,28086197,14942,28107129
2016-03,9762,29471233,14942,29495937
2016-04,344,31057628,14942,31072915
2016-05,11329456,34609589,14942,45953988
2016-06,71114413,33524224,602888,105241525
2016-07,83461315,34652055,1057923,119171293
2016-08,71663752,30660274,753592,103077618
2016-09,19109948,30328767,54925,49493639
2016-10,15687366,27534795,25877,43248037
2016-11,5816,24986301,20243,25012361
2016-12,0,29267397,14942,29282340
2017-01,4098,30558356,14942,30577397
2017-02,165268,26350685,14942,26530895
2017-03,56355,28834247,14942,28905544
2017-04,50315,29469062,14942,29534320
2017-05,9463051,31990868,19759,41473678
2017-06,30343609,22849315,75422,53268346
2017-07,75327291,31821005,240825,107389121
2017-08,65839398,35076712,629202,101545312
2017-09,24938137,32547945,115461,57601543
2017-10,2473202,29258904,19714,31751820
2017-11,85904,23301370,19268,23406542
2017-12,243254,29195205,14942,29453402
2018-01,8,31033973,14978,31048959
2018-02,18,27846575,14942,27861535
2018-03,44,28910685,14942,28925672
2018-04,233,26383562,14942,26398737
2018-05,805185,27721644,14942,28541772
2018-06,20872366,25315068,51285,46238719
2018-07,67594070,27319635,533547,95447252
2018-08,76251944,25925342,715734,102893021
2018-09,15488705,25041096,31921,40561722
2018-10,79663,26689726,14942,26784331
2018-11,0,24849315,14942,24864258
2018-12,0,28897945,14942,28912888
2019-01,158034,29556164,14943,29729141
2019-02,8409,24663014,14943,24686366
2019-03,0,27914155,14943,27929098
2019-04,492707,20958904,14942,21466554
2019-05,8301724,22804110,14942,31120776
2019-06,46349705,22164384,84858,68598946
2019-07,92739858,24290411,469177,117499446
2019-08,57783944,22620091,511534,80915569
2019-09,20892919,25191781,32447,46117147
2019-10,6939098,24969863,18917,31927878
2019-11,401330,26671233,14942,27087505
2019-12,106301,28961644,14942,29082888
2020-01,32979,31934247,14942,31982168
2020-02,13282,27093151,14942,27121376
2020-03,3701,28905023,14942,28923666
2020-04,15427,26424658,14942,26455027
2020-05,6191416,30915068,14942,37121427
2020-06,39564594,23876712,70219,63511525
2020-07,79684248,24318721,729348,104732318
2020-08,77172028,28961644,624524,106758196
2020-09,7974288,27479452,23391,35477132
2020-10,2247783,29258904,14991,31521678
2020-11,31826,26876712,14954,26923492
2020-12,70175,31127397,14943,31212515
