# Official name: Hagen Brae, Foreign name: Hagen Brae, Mouginot/Mankoff name: Hagen Brae, Mouginot region: NO, Mankoff discharge gate (2021): 5, closest NSIDC/MEASUREs ID: 105, distance to closest NSIDC/MEASUREs ID: 2815m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,97351381,1527391,98878771
2010-02,0,87123180,1527391,88650571
2010-03,0,95632877,1527391,97160267
2010-04,0,91643836,1527391,93171226
2010-05,0,93849315,1527391,95376706
2010-06,125526808,89917808,1691392,217136008
2010-07,1040447835,92065753,6507037,1139020626
2010-08,176898335,91216438,1879262,269994035
2010-09,4589,87369863,1527391,88901843
2010-10,0,89432877,1527391,90960267
2010-11,0,85684126,1527391,87211517
2010-12,0,87669200,1527391,89196591
2011-01,0,86761955,1527391,88289345
2011-02,0,77539940,1527391,79067331
2011-03,0,85016438,1527391,86543829
2011-04,0,81369863,1527391,82897254
2011-05,0,83232877,1527391,84760267
2011-06,427956599,79643836,3016943,510617378
2011-07,1044710325,81449315,7520322,1133679962
2011-08,348461290,80515068,3280970,432257328
2011-09,6,77013699,1527391,78541095
2011-10,0,78731507,1527391,80258897
2011-11,0,75310696,1527391,76838087
2011-12,0,76925401,1527391,78452791
2012-01,0,76013699,1527391,77541089
2012-02,0,70291907,1527391,71819298
2012-03,0,74315068,1527391,75842459
2012-04,0,71013699,1527391,72541089
2012-05,0,72531507,1527391,74058897
2012-06,486569156,69287671,2619104,558475931
2012-07,1318153800,70747945,11345018,1400246763
2012-08,516668806,69813699,4806176,591288681
2012-09,397,66739726,1527391,68267514
2012-10,0,68030137,1527391,69557528
2012-11,0,65095890,1527391,66623281
2012-12,0,67954390,1527391,69481780
2013-01,0,69529426,1527391,71056817
2013-02,0,64208219,1527391,65735610
2013-03,0,72191781,1527391,73719171
2013-04,0,71013699,1527391,72541089
2013-05,0,74569863,1527391,76097254
2013-06,219038351,73397260,1847037,294282649
2013-07,768356276,77032877,5545022,850934175
2013-08,175496428,78221918,2401793,256120139
2013-09,243355,76849315,1527404,78620074
2013-10,0,80600000,1527404,82127404
2013-11,0,79232877,1527403,80760280
2013-12,0,82978082,1527404,84505486
2014-01,0,84252055,1527391,85779445
2014-02,0,77172603,1527391,78699993
2014-03,0,86545205,1527391,88072596
2014-04,0,84904110,1527391,86431500
2014-05,0,88923288,1527391,90450678
2014-06,176445997,87287671,2220352,265954020
2014-07,875663757,91301370,6980677,973945804
2014-08,366912104,92575342,3445312,462932758
2014-09,0,90164384,1527391,91691774
2014-10,0,92830137,1527391,94357528
2014-11,0,89506849,1527391,91034240
2014-12,0,92235616,1527391,93763007
2015-01,0,92660274,1527391,94187665
2015-02,0,83079452,1527391,84606843
2015-03,0,96991781,1527391,98519171
2015-04,0,91448392,1527391,92975783
2015-05,0,90239726,1527391,91767117
2015-06,68229374,83763412,1861613,153854400
2015-07,1485918697,81576712,12865037,1580360447
2015-08,233503705,69771233,2419798,305694737
2015-09,0,61315068,1527391,62842459
2015-10,0,60768493,1527391,62295884
2015-11,0,59502974,1527391,61030365
2015-12,0,62169863,1527391,63697254
2016-01,0,62000000,1527391,63527391
2016-02,0,57276474,1527391,58803865
2016-03,0,60641096,1527391,62168486
2016-04,0,60432345,1527391,61959736
2016-05,0,64165753,1527391,65693144
2016-06,527635271,59820527,3471961,590927760
2016-07,1491880255,58050685,11996931,1561927872
2016-08,266078701,54908219,2456973,323443893
2016-09,14795,42205479,1527394,43747668
2016-10,0,43281096,1527391,44808486
2016-11,0,40972603,1527391,42499993
2016-12,0,41752329,1527391,43279719
2017-01,0,41225753,1527391,42753144
2017-02,0,37052055,1527391,38579445
2017-03,0,40915753,1527391,42443144
2017-04,0,40197567,1527391,41724957
2017-05,0,42550685,1527391,44078076
2017-06,509625770,42041096,4003209,555670075
2017-07,1145855741,44136073,8183609,1198175423
2017-08,361098858,45013699,3847431,409959987
2017-09,1306144,43808219,1527393,46641756
2017-10,0,44928767,1527391,46456158
2017-11,0,43068493,1527391,44595884
2017-12,0,44589041,1527391,46116432
2018-01,0,44741918,1527391,46269308
2018-02,0,41328767,1527391,42856158
2018-03,0,46015890,1527391,47543281
2018-04,0,46232877,1527391,47760267
2018-05,0,49464110,1527391,50991500
2018-06,62999935,54452055,1538245,118990235
2018-07,524225886,66105023,2060166,592391075
2018-08,347437230,71915753,3651785,423004769
2018-09,33,74109589,1527391,75637013
2018-10,0,78497945,1527391,80025336
2018-11,0,76191781,1527391,77719171
2018-12,0,79835616,1527391,81363007
2019-01,0,80430137,1527391,81957528
2019-02,0,74871233,1527391,76398623
2019-03,0,85639269,1527391,87166660
2019-04,0,87808219,1527391,89335610
2019-05,0,90664384,1527391,92191774
2019-06,600340472,82739726,4259010,687339209
2019-07,1683856224,79878082,14687322,1778421628
2019-08,629283055,73663927,7316399,710263380
2019-09,292994,68013699,1527576,69834269
2019-10,0,74400000,1527391,75927391
2019-11,0,70027397,1527391,71554788
2019-12,0,73607306,1527391,75134697
2020-01,274,74230137,1527391,75757802
2020-02,257,70593151,1527391,72120798
2020-03,274,76834703,1527391,78362368
2020-04,266,76232877,1527391,77760533
2020-05,341,77853881,1527391,79381613
2020-06,383995964,72369863,2791887,459157714
2020-07,1331558229,71767123,11912496,1415237848
2020-08,449264843,68582192,3727345,521574379
2020-09,162961,60438356,1527391,62128708
2020-10,0,60046575,1527391,61573966
2020-11,0,57479452,1527391,59006843
2020-12,0,59154795,1527391,60682185
