# Official name: Harder Gletsjer, Foreign name: Harder Gletsjer, Mouginot/Mankoff name: Brikkerne Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 6, closest NSIDC/MEASUREs ID: 99, distance to closest NSIDC/MEASUREs ID: 4720m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6738356,4997,6743353
2010-02,0,6067209,4997,6072206
2010-03,0,6709589,4997,6714586
2010-04,0,6493151,4997,6498148
2010-05,109135,6709589,4997,6823721
2010-06,87988439,6493151,18796,94500385
2010-07,347898570,6624658,131759,354654986
2010-08,63282541,6624658,34207,69941406
2010-09,0,6410959,4997,6415956
2010-10,0,6624658,4997,6629655
2010-11,1,6401989,4997,6406987
2010-12,0,6594275,4997,6599272
2011-01,0,6568493,4997,6573490
2011-02,0,5913784,4997,5918781
2011-03,0,6539726,4997,6544723
2011-04,0,6328767,4997,6333764
2011-05,0,6539726,4997,6544723
2011-06,145952717,6246575,49924,152249217
2011-07,449998457,6454795,147934,456601186
2011-08,140509573,6454795,47016,147011383
2011-09,23,6246575,4997,6251595
2011-10,24,6454795,4997,6459815
2011-11,23,6224868,4997,6229888
2011-12,7,6392294,4997,6397298
2012-01,0,6369863,4997,6374860
2012-02,0,5958904,4997,5963901
2012-03,0,6369863,4997,6374860
2012-04,0,6164384,4997,6169381
2012-05,435285,6369863,4997,6810145
2012-06,183160032,6082192,79582,189321806
2012-07,482439256,6284932,150089,488874276
2012-08,213003925,6284932,68270,219357126
2012-09,0,6082192,4997,6087189
2012-10,0,6284932,4997,6289929
2012-11,0,6082192,4997,6087189
2012-12,0,6240566,4997,6245563
2013-01,0,6137210,4997,6142207
2013-02,0,5446575,4997,5451572
2013-03,0,5945205,4997,5950203
2013-04,0,5753425,4997,5758422
2013-05,0,5860274,4997,5865271
2013-06,53530751,5589041,33062,59152854
2013-07,189802374,5690411,105957,195598742
2013-08,51864605,5605479,27190,57497275
2013-09,1116,5424658,4997,5430771
2013-10,99,5520548,4997,5525644
2013-11,96,5260274,4997,5265367
2013-12,99,5350685,4997,5355781
2014-01,0,5265753,4997,5270751
2014-02,0,4756164,4997,4761162
2014-03,0,5180822,4997,5185819
2014-04,0,4931507,4997,4936504
2014-05,0,5010959,4997,5015956
2014-06,78060543,4849315,34879,82944737
2014-07,244572249,4926027,107142,249605418
2014-08,146366261,4841096,55628,151262985
2014-09,8,4684932,4997,4689937
2014-10,0,4926027,4997,4931025
2014-11,0,4767123,4997,4772120
2014-12,0,5010959,4997,5015956
2015-01,0,5095890,4997,5100888
2015-02,0,4295890,4997,4300888
2015-03,0,4458904,4997,4463901
2015-04,0,3969774,4997,3974771
2015-05,1,3906849,4997,3911848
2015-06,128748794,4061163,53719,132863676
2015-07,612998211,4671233,175082,617844526
2015-08,115644818,5095890,49936,120790644
2015-09,12686,5095890,4997,5113573
2015-10,0,5265753,4997,5270751
2015-11,0,5095890,4997,5100888
2015-12,0,5265753,4997,5270751
2016-01,0,5265753,4997,5270751
2016-02,0,4995920,4997,5000917
2016-03,0,5435616,4997,5440614
2016-04,0,5302018,4997,5307015
2016-05,0,5520548,4997,5525545
2016-06,206624257,5440149,84010,212148416
2016-07,504312610,5690411,152240,510155261
2016-08,73337087,5690411,30287,79057785
2016-09,1831,5547945,4997,5554774
2016-10,0,5690411,4997,5695408
2016-11,0,5506849,4997,5511846
2016-12,0,5775342,4997,5780340
2017-01,0,5775342,4997,5780340
2017-02,0,5273973,4997,5278970
2017-03,0,5775342,4997,5780340
2017-04,0,5486882,4997,5491879
2017-05,0,5605479,4997,5610477
2017-06,71334325,5589041,36995,76960361
2017-07,347057771,5916895,139019,353113685
2017-08,97442113,6115068,44122,103601304
2017-09,0,6000000,4997,6004997
2017-10,0,6030137,4997,6035134
2017-11,0,5712329,4997,5717326
2017-12,0,5839041,4997,5844038
2018-01,0,6149041,4997,6154038
2018-02,0,5561644,4997,5566641
2018-03,0,5758356,4997,5763353
2018-04,0,5260274,4997,5265271
2018-05,56206,5163836,4997,5225039
2018-06,57617670,5136986,21251,62775907
2018-07,199356023,5435616,100828,204892467
2018-08,201184274,5584247,65419,206833939
2018-09,1,5534247,4997,5539244
2018-10,0,5860274,4997,5865271
2018-11,0,5808219,4997,5813216
2018-12,0,6221233,4997,6226230
2019-01,0,6157534,4997,6162531
2019-02,0,4947945,4997,4952942
2019-03,0,5747032,4997,5752029
2019-04,0,5698630,4997,5703627
2019-05,1098084,4883562,4997,5986643
2019-06,220238225,5917808,70506,226226539
2019-07,636543231,7728767,175674,644447672
2019-08,250539728,7643836,55571,258239135
2019-09,260444,7191781,4997,7457222
2019-10,0,6143379,4997,6148376
2019-11,0,6123288,4997,6128285
2019-12,0,6539726,4997,6544723
2020-01,0,6086758,4997,6091755
2020-02,0,5482192,4997,5487189
2020-03,0,5860274,4997,5865271
2020-04,0,5753425,4997,5758422
2020-05,0,5945205,4997,5950203
2020-06,143336499,5835616,54217,149226333
2020-07,485565583,6030137,146042,491741761
2020-08,191175170,6115068,52027,197342266
2020-09,13,5945205,4997,5950216
2020-10,0,6327397,4997,6332394
2020-11,0,6356164,4997,6361162
2020-12,0,6582192,4997,6587189
