# Official name: Helheim Gletsjer, Foreign name: Helheim Gletsjer, Mouginot/Mankoff name: Helheimgletscher, Mouginot region: SE, Mankoff discharge gate (2021): 231, closest NSIDC/MEASUREs ID: 175, distance to closest NSIDC/MEASUREs ID: 3604m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,146331,2357511283,77043371,2434700985
2010-02,113267,2114513150,77043249,2191669666
2010-03,996462,2328057534,77043391,2406097387
2010-04,57738,2240794521,77043330,2317895589
2010-05,175733367,2262575342,79188371,2517497080
2010-06,993713908,2349041096,100201286,3442956290
2010-07,1778923719,2265038356,125660604,4169622679
2010-08,1347385264,2547945205,119137096,4014467565
2010-09,1403940906,2435917808,117612346,3957471060
2010-10,151400333,2501232877,79007539,2731640748
2010-11,816771,2407053028,77043235,2484913034
2010-12,2055046,2476135349,77043465,2555233860
2011-01,556474,2463204810,77042120,2540803404
2011-02,1074717,2208347615,77042119,2286464451
2011-03,2404795,2420632877,77042120,2500079792
2011-04,2144484,2263890411,77048675,2343083570
2011-05,9275918,2260706849,77046948,2347029715
2011-06,401715429,2117013699,81993205,2600722333
2011-07,1507044387,2336805479,119272811,3963122678
2011-08,729054048,2310221918,95516627,3134792593
2011-09,173194280,2156547945,79256001,2408998226
2011-10,915847,2197432877,77045554,2275394278
2011-11,27167515,2128027196,77238385,2232433096
2011-12,468473,2202185173,77053199,2279706846
2012-01,88054,2205501370,77042367,2282631790
2012-02,407528,2065713984,77042113,2143163625
2012-03,1225915,2210682192,77042948,2288951055
2012-04,506140,2142000000,77050485,2219556625
2012-05,97865103,2271408219,77491940,2446765262
2012-06,1080518376,2200684932,101962524,3383165831
2012-07,2304321338,2181041096,148136314,4633498748
2012-08,1357606764,2250939726,120309163,3728855653
2012-09,56636938,2167315068,77803982,2301755989
2012-10,5286505,2175860274,77197351,2258344130
2012-11,35735,2052246575,77088277,2129370588
2012-12,45968,2132955160,77097351,2210098479
2013-01,66672,2161073653,77042110,2238182435
2013-02,10707,1977030137,77042110,2054082954
2013-03,1653033,2208473973,77042110,2287169115
2013-04,154578,2084465753,77042110,2161662441
2013-05,42090945,2102394521,77139877,2221625343
2013-06,646974751,2233315068,89786022,2970075842
2013-07,1325258778,2292726027,114743741,3732728546
2013-08,645367559,2337230137,93013485,3075611181
2013-09,65566033,2239808219,77527828,2382902081
2013-10,63972346,2298161644,78700399,2440834389
2013-11,223308,2183342466,77042781,2260608554
2013-12,55572,2215353425,77044458,2292453454
2014-01,60136,2173057534,77043828,2250161498
2014-02,53699,1924175342,77052463,2001281505
2014-03,187972,2165923288,77075781,2243187040
2014-04,18368244,2001780822,77042896,2097191962
2014-05,142129902,2075216438,77512716,2294859056
2014-06,757660783,2035232877,91494476,2884388135
2014-07,1244981233,2140868493,111494054,3497343781
2014-08,1230189994,2122778082,106882119,3459850196
2014-09,194839207,2126301370,80123899,2401264476
2014-10,1088777,2270813699,77058891,2348961367
2014-11,7276147,2219013699,77074815,2303364661
2014-12,989363,2156198630,77053642,2234241635
2015-01,35782,2123202740,77044532,2200283054
2015-02,32337,2050290411,77042562,2127365310
2015-03,35801,2290475342,77230888,2367742032
2015-04,1323994,2283112901,77214368,2361651264
2015-05,23177830,2439105479,77046889,2539330198
2015-06,449587026,2415663793,83414192,2948665010
2015-07,1235659403,2540598630,109834489,3886092522
2015-08,693606538,2573169863,93741034,3360517435
2015-09,416642981,2253452055,87926598,2758021634
2015-10,14853169,2527179452,77158024,2619190645
2015-11,24990,2391462775,77054756,2468542520
2015-12,126694,2386447945,77045516,2463620155
2016-01,499866,2326826027,77042110,2404368004
2016-02,559514,2091124528,77042110,2168726152
2016-03,997634,2181763014,77042110,2259802757
2016-04,48953203,2130331421,77108868,2256393492
2016-05,209131361,2219982192,78523204,2507636757
2016-06,1125354630,2141407357,105970137,3372732123
2016-07,1877058545,2197008219,134944205,4209010968
2016-08,1038880564,2163332877,103430488,3305643929
2016-09,115250707,2256493151,78588015,2450331873
2016-10,60118074,2385980822,77223935,2523322831
2016-11,619949,2531342466,77068925,2609031340
2016-12,519287,2504324384,77059574,2581903245
2017-01,2050508,2507534795,77042302,2586627604
2017-02,486926,2268575342,77073999,2346136268
2017-03,67872,2518325342,77085689,2595478903
2017-04,64038,2433976680,77042275,2511082993
2017-05,351986886,2512047489,83328995,2947363369
2017-06,756680432,2450753425,97583681,3305017538
2017-07,1462515184,2692187215,117930887,4272633285
2017-08,737104329,2778491781,94289575,3609885685
2017-09,299045881,2422767123,85725620,2807538624
2017-10,19594145,2781846575,77062552,2878503272
2017-11,10762389,2681506849,77042344,2769311582
2017-12,2399033,2695428767,77042123,2774869923
