# Official name: Hisinger Gletsjer, Foreign name: Hisinger Gletsjer, Mouginot/Mankoff name: Hisinger Gletscher, Mouginot region: NE, Mankoff discharge gate (2021): 131, closest NSIDC/MEASUREs ID: 117, distance to closest NSIDC/MEASUREs ID: 4801m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,3426027,1476388,4902415
2010-02,0,3075428,1476388,4551816
2010-03,0,3397260,1476388,4873648
2010-04,0,3287671,1476388,4764059
2010-05,4285371,3397260,1476388,9159019
2010-06,150858101,3287671,1679366,155825138
2010-07,273640303,3397260,2456177,279493740
2010-08,124193785,3397260,1955822,129546867
2010-09,16732549,3287671,1586608,21606828
2010-10,0,3397260,1476388,4873648
2010-11,0,3278701,1476388,4755089
2010-12,0,3366878,1476388,4843266
2011-01,0,3341095,1476388,4817483
2011-02,0,2998716,1476388,4475104
2011-03,0,3312329,1476388,4788717
2011-04,0,3205479,1476388,4681868
2011-05,0,3312329,1476388,4788717
2011-06,76035868,3205479,1519528,80760875
2011-07,228933449,3312329,2158098,234403876
2011-08,83508215,3312329,1828248,88648793
2011-09,229621,3205479,1476388,4911489
2011-10,0,3312329,1476388,4788717
2011-11,0,3205479,1476388,4681868
2011-12,0,3312329,1476388,4788717
2012-01,0,3312329,1476388,4788717
2012-02,0,3056919,1476388,4533307
2012-03,0,3227397,1476388,4703785
2012-04,0,3123288,1476388,4599676
2012-05,4066516,3227397,1478326,8772240
2012-06,187481825,3123288,2079655,192684767
2012-07,249986480,3227397,3049614,256263491
2012-08,131491917,3227397,2320572,137039886
2012-09,0,3123288,1476388,4599676
2012-10,0,3227397,1476388,4703785
2012-11,0,3123288,1476388,4599676
2012-12,0,3227397,1476388,4703785
2013-01,0,3227397,1476388,4703785
2013-02,0,2915068,1476388,4391457
2013-03,0,3227397,1476388,4703785
2013-04,0,3123288,1476388,4599676
2013-05,0,3227397,1476388,4703785
2013-06,106091516,3123288,1506823,110721626
2013-07,208987704,3227397,2042214,214257315
2013-08,66211655,3227397,1650224,71089276
2013-09,0,3123288,1476388,4599676
2013-10,0,3227397,1476388,4703785
2013-11,0,3123288,1476388,4599676
2013-12,0,3312329,1476388,4788717
2014-01,0,3312329,1476388,4788717
2014-02,0,2991781,1476388,4468169
2014-03,0,3312329,1476388,4788717
2014-04,0,3205479,1476388,4681868
2014-05,0,3312329,1476388,4788717
2014-06,77673370,3205479,1749812,82628661
2014-07,195537527,3312329,1798481,200648337
2014-08,98501032,3312329,1625106,103438467
2014-09,0,3205479,1476388,4681868
2014-10,0,3312329,1476388,4788717
2014-11,0,3205479,1476388,4681868
2014-12,0,3312329,1476388,4788717
2015-01,0,3312329,1476388,4788717
2015-02,0,2991781,1476388,4468169
2015-03,0,3652055,1476388,5128443
2015-04,0,3908498,1476388,5384886
2015-05,0,4246575,1476388,5722964
2015-06,54146998,4040079,1786170,59973247
2015-07,259571476,3991781,2554615,266117872
2015-08,63187881,3312329,1598524,68098734
2015-09,214996,3698630,1476388,5390014
2015-10,0,3482192,1476388,4958580
2015-11,0,3394170,1476388,4870558
2015-12,0,3567123,1476388,5043511
2016-01,0,3736986,1476388,5213374
2016-02,0,3495890,1476388,4972279
2016-03,0,3736986,1476388,5213374
2016-04,0,3742757,1476388,5219146
2016-05,0,3991781,1476388,5468169
2016-06,76105424,3791990,1737326,81634741
2016-07,256450961,3736986,2550044,262737990
2016-08,90175026,3142466,1673032,94990525
2016-09,495629,3041096,1476582,5013307
2016-10,0,3295342,1476388,4771731
2016-11,0,3082192,1476388,4558580
2016-12,0,3397260,1476388,4873648
2017-01,0,3295342,1476388,4771731
2017-02,0,3356164,1476388,4832553
2017-03,0,3376027,1476388,4852416
2017-04,0,3544323,1476388,5020712
2017-05,82557,3935160,1476388,5494105
2017-06,54284045,3534247,1484160,59302451
2017-07,147258598,3736986,1848272,152843857
2017-08,83979729,3482192,1576452,89038373
2017-09,2026683,3534247,1476831,7037761
2017-10,0,3652055,1476388,5128443
2017-11,0,3410959,1476388,4887347
2017-12,0,3524658,1476388,5001046
2018-01,0,3125479,1476388,4601868
2018-02,0,2934247,1476388,4410635
2018-03,0,3736986,1476388,5213374
2018-04,0,3657534,1476388,5133922
2018-05,0,3448219,1476388,4924607
2018-06,30533861,3863014,1548422,35945297
2018-07,103734841,3793607,2013721,109542170
2018-08,73466080,3482192,1684665,78632936
2018-09,5135663,3506849,1476388,10118900
2018-10,8,3885616,1476388,5362012
2018-11,0,3643836,1476388,5120224
2018-12,0,3524658,1476388,5001046
2019-01,0,3821918,1476388,5298306
2019-02,0,3490411,1476388,4966799
2019-03,0,3680365,1476388,5156753
2019-04,0,3726027,1476388,5202416
2019-05,2331118,3821918,1476388,7629424
2019-06,174637689,3397260,2068874,180103824
2019-07,325973612,2887671,2801864,331663147
2019-08,118187650,2972603,2129889,123290141
2019-09,97352,2835616,1476388,4409357
2019-10,0,3057534,1476388,4533923
2019-11,1,3082192,1476388,4558581
2019-12,0,3199087,1476388,4675475
2020-01,0,2944292,1476388,4420680
2020-02,0,2900000,1476388,4376388
2020-03,0,3142466,1476388,4618854
2020-04,0,3123288,1476388,4599676
2020-05,33028,3397260,1476388,4906677
2020-06,81768403,3287671,1585891,86641965
2020-07,210149702,3255708,1985161,215390570
2020-08,62781373,3397260,1515143,67693776
2020-09,0,3123288,1476388,4599676
2020-10,0,3482192,1476388,4958580
2020-11,0,3424658,1476388,4901046
2020-12,0,3397260,1476388,4873648
