# Official name: Illullip Sermia, Foreign name: Illullip Sermia, Mouginot/Mankoff name: Illullip Sermia, Mouginot region: NW, Mankoff discharge gate (2021): 117, closest NSIDC/MEASUREs ID: 34, distance to closest NSIDC/MEASUREs ID: 4009m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,467077444,15572415,482649860
2010-02,0,424802181,15572415,440374596
2010-03,0,473153425,15572415,488725840
2010-04,0,460849315,15572415,476421730
2010-05,71826933,461772603,16230351,549829887
2010-06,1009768613,474246575,29460176,1513475364
2010-07,1402500640,424232877,36920985,1863654502
2010-08,1178430389,423978082,32715089,1635123561
2010-09,22343362,410054795,15819932,448218088
2010-10,992685,428819178,15572778,445384641
2010-11,6945273,420054191,15601299,442600763
2010-12,23883,439109612,15572490,454705985
2011-01,0,444319862,15572415,459892277
2011-02,0,406019040,15572415,421591456
2011-03,0,454213699,15572415,469786114
2011-04,0,444575342,15572415,460147758
2011-05,0,464405479,15572415,479977895
2011-06,509989292,436684932,22144241,968818464
2011-07,1967374927,493536986,45024113,2505936027
2011-08,655709620,449202740,24680773,1129593133
2011-09,6612809,462739726,15625612,484978146
2011-10,3,474512329,15572415,490084747
2011-11,2,455611933,15572415,471184351
2011-12,0,467235949,15572415,482808364
2012-01,0,463556164,15572415,479128580
2012-02,0,430207059,15572415,445779474
2012-03,0,456421918,15572415,471994333
2012-04,0,438082192,15572415,453654607
2012-05,60638792,436378082,16343508,513360382
2012-06,1206968108,464136986,33453148,1704558242
2012-07,2120791851,435358904,55477723,2611628478
2012-08,971960241,431706849,32010338,1435677429
2012-09,6077988,421561644,15616621,443256253
2012-10,2991653,439350685,15590006,457932344
2012-11,0,428383562,15572415,443955977
2012-12,0,441904583,15572415,457476999
2013-01,0,440161716,15572415,455734131
2013-02,0,395989041,15572415,411561456
2013-03,0,437142466,15572415,452714881
2013-04,0,437013699,15572415,452586114
2013-05,0,440115068,15572415,455687484
2013-06,446276382,447534247,20366125,914176754
2013-07,1003412017,466698630,30143205,1500253852
2013-08,268111767,419221918,18693330,706027015
2013-09,14644843,399452055,15724595,429821494
2013-10,0,419731507,15572415,435303922
2013-11,0,413095890,15572415,428668306
2013-12,0,433830137,15572415,449402552
2014-01,0,440964384,15572415,456536799
2014-02,0,404734247,15572415,420306662
2014-03,0,454553425,15572415,470125840
2014-04,0,424931507,15572415,440503922
2014-05,1522,429328767,15577570,444907859
2014-06,581508793,455260274,22867313,1059636380
2014-07,1559663598,427290411,41600143,2028554153
2014-08,661220670,427375342,23765789,1112361802
2014-09,2123572,421767123,15602025,439492720
2014-10,488097,433405479,15572415,449465992
2014-11,0,421890411,15572415,437462826
2014-12,0,438458904,15572415,454031319
2015-01,0,441091781,15572415,456664196
2015-02,0,400400000,15572415,415972415
2015-03,0,439180822,15572415,454753237
2015-04,0,426697953,15572415,442270368
2015-05,821410,442578082,15593536,458993028
2015-06,560426876,418448483,22796183,1001671542
2015-07,2081978451,422704110,52449746,2557132306
2015-08,263749588,424317808,18921820,706989216
2015-09,14608676,429616438,15661949,459887063
2015-10,0,406227397,15572415,421799813
2015-11,0,403588931,15572415,419161346
2015-12,0,433193151,15572415,448765566
2016-01,0,444106849,15572415,459679265
2016-02,0,411396837,15572415,426969252
2016-03,0,433830137,15572415,449402552
2016-04,81849,415412868,15572769,431067486
2016-05,5462962,426908219,15573401,447944582
2016-06,323827667,421242460,19919622,764989748
2016-07,1657705473,443257534,44807107,2145770114
2016-08,664283469,421939726,23756244,1109979439
2016-09,1152593,421849315,15578005,438579913
2016-10,0,434951233,15572415,450523648
2016-11,0,438410959,15572415,453983374
2016-12,0,456218082,15572415,471790497
2017-01,0,458935890,15572415,474508306
2017-02,0,410180822,15572415,425753237
2017-03,0,449032877,15572415,464605292
2017-04,0,435249718,15572415,450822133
2017-05,200004,450448402,15574531,466222937
2017-06,297808554,427068493,17961761,742838808
2017-07,1047748533,454751598,29627244,1532127375
2017-08,638724464,423213699,22525351,1084463513
2017-09,7051634,425835616,15624679,448511930
2017-10,22611,416334247,15572415,431929272
2017-11,105,410465753,15572415,426038273
2017-12,0,436526712,15572415,452099128
2018-01,0,418865205,15572415,434437621
2018-02,0,386323288,15572415,401895703
2018-03,0,429141918,15572415,444714333
2018-04,0,425753425,15572415,441325840
2018-05,1658385,430670685,15604997,447934067
2018-06,349253695,417082192,19598015,785933902
2018-07,437268462,440115068,21166068,898549598
2018-08,826464132,411089726,27317007,1264870865
2018-09,10534096,363506849,15642159,389683104
2018-10,0,397352055,15572415,412924470
2018-11,0,402383562,15572415,417955977
2018-12,0,373189041,15572415,388761456
2019-01,0,376543836,15572415,392116251
2019-02,0,358093151,15572415,373665566
2019-03,0,400197260,15572415,415769676
2019-04,2243046,399424658,15581678,417249382
2019-05,222768590,414041096,16512333,653322019
2019-06,752988756,410136986,25023306,1188149048
2019-07,2040835025,398668493,50009485,2489513003
2019-08,834755644,371292237,27861483,1233909365
2019-09,35357509,357123288,15822843,408303639
2019-10,1652389,378171689,15576695,395400773
2019-11,0,383465753,15572415,399038169
2019-12,0,410389041,15572415,425961456
2020-01,0,419136986,15572415,434709402
2020-02,0,393963014,15572415,409535429
2020-03,0,419136986,15572415,434709402
2020-04,0,403520548,15572415,419092963
2020-05,1036871,417608219,15593315,434238405
2020-06,356174789,409027397,20053410,785255597
2020-07,1176401167,414522374,33976134,1624899675
2020-08,528877309,401046575,23144460,953068344
2020-09,1632000,384931507,15599843,402163350
2020-10,5923247,396163014,15607215,417693476
2020-11,0,387506849,15572415,403079265
2020-12,0,412087671,15572415,427660086
