# Official name: Innaqqissorsuup Oqquani Sermeq, Foreign name: Gade Gletsjer, Mouginot/Mankoff name: Gade-Morell, Mouginot region: NW, Mankoff discharge gate (2021): 59, closest NSIDC/MEASUREs ID: 62, distance to closest NSIDC/MEASUREs ID: 3676m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,301,224558664,2064937,226623902
2010-02,247,203427429,2064937,205492613
2010-03,274,225832877,2064937,227898088
2010-04,265,219205479,2064937,221270681
2010-05,8205406,206213699,2064937,216484042
2010-06,163306995,224465753,2945789,390718538
2010-07,264935251,180649315,3499452,449084018
2010-08,248460389,217084932,3500027,469045347
2010-09,5531082,213945205,2079774,221556062
2010-10,461,224983562,2064937,227048959
2010-11,57917,221598561,2064937,223721415
2010-12,504,232835348,2064937,234900789
2011-01,3537,236809842,2064937,238878316
2011-02,215,217496473,2064937,219561625
2011-03,222,244432877,2064937,246498035
2011-04,215,240493151,2064937,242558302
2011-05,222,252331507,2064937,254396665
2011-06,116577732,248054795,2804058,367436584
2011-07,515922532,263202740,5381358,784506631
2011-08,191293111,261079452,3194394,455566958
2011-09,75681,250602740,2065398,252743819
2011-10,15000,256917808,2065197,258998005
2011-11,14478,246558376,2064937,248637792
2011-12,16277,252690079,2064970,254771325
2012-01,7396,250547945,2064937,252620278
2012-02,222,232411308,2064937,234476466
2012-03,237,246471233,2064937,248536407
2012-04,229,236465753,2064937,238530919
2012-05,6354982,242309589,2073368,250737939
2012-06,213043512,241808219,3223090,458074821
2012-07,625504382,231863014,5697557,863064952
2012-08,272515740,197805479,3670403,473991623
2012-09,655253,194136986,2064937,196857176
2012-10,45225,203326027,2064937,205436189
2012-11,293033,198986301,2064937,201344271
2012-12,35,207124406,2064937,209189378
2013-01,13267,208394256,2064975,210472498
2013-02,11442,189326027,2064962,191402431
2013-03,12988,210715068,2064988,212793044
2013-04,12557,205068493,2064987,207146038
2013-05,12838,210630137,2064984,212707959
2013-06,57687911,209506849,2479543,269674304
2013-07,246528899,225068493,3383989,474981382
2013-08,112453354,215386301,2713925,330553581
2013-09,19342,199150685,2109033,201279060
2013-10,13371,207317808,2064937,209396117
2013-11,12894,202027397,2064937,204105228
2013-12,13324,210290411,2064937,212368671
2014-01,16503,211819178,2064937,213900618
2014-02,14906,192701370,2064937,194781212
2014-03,16503,214706849,2064937,216788289
2014-04,15970,213123288,2064937,215204195
2014-05,16503,213687671,2064937,215769111
2014-06,67092593,222657534,2366112,292116239
2014-07,371606664,231183562,4241436,607031662
2014-08,200047594,201712329,3083851,404843775
2014-09,630677,195739726,2064937,198435340
2014-10,588991,199843836,2064937,202497764
2014-11,10903,192904110,2064937,194979949
2014-12,9028,198824658,2064937,200898622
2015-01,3239,198315068,2064937,200383244
2015-02,2925,185797260,2064937,187865122
2015-03,3239,216532877,2064937,218601052
2015-04,3134,207512865,2064937,209580936
2015-05,3740,211946575,2064937,214015252
2015-06,91206966,204596559,2491453,298294978
2015-07,558807682,210715068,5881358,775404108
2015-08,79964831,187868493,2371850,270205174
2015-09,96420,204657534,2064937,206818892
2015-10,14692,199419178,2064937,201498807
2015-11,11247,197744319,2065011,199820578
2015-12,11620,209016438,2064937,211092995
2016-01,8268,208421918,2064937,210495122
2016-02,7309,193093579,2064937,195165825
2016-03,7813,204217808,2064937,206290558
2016-04,7561,196011944,2064937,198084442
2016-05,7813,201712329,2064937,203785078
2016-06,50175248,205711015,2448711,258334974
2016-07,398754574,222902740,4194291,625851605
2016-08,197877063,203538356,3294433,404709852
2016-09,69325,203465753,2064939,205600017
2016-10,7731,201083836,2064937,203156504
2016-11,7442,199438356,2064937,201510735
2016-12,7690,210494247,2064937,212566873
2017-01,26490,215793973,2064937,217885399
2017-02,23923,193391781,2064937,195480640
2017-03,26490,200480822,2064937,202572249
2017-04,25631,196933069,2064937,199023637
2017-05,26569,209157991,2064937,211249497
2017-06,30996308,209671233,2188602,242856144
2017-07,232209681,215414612,3200003,450824295
2017-08,115209276,204047945,2557999,321815220
2017-09,482154,203671233,2064937,206218324
2017-10,69658,201839726,2064937,203974321
2017-11,7,198493151,2064937,200558094
2017-12,14,206001370,2064937,208066321
2018-01,445,211071781,2064937,213137163
2018-02,402,189556164,2064937,191621503
2018-03,386,207080000,2064937,209145323
2018-04,334,196068493,2064937,198133764
2018-05,785,204260274,2064937,206325996
2018-06,53594828,203753425,2211551,259559803
2018-07,89491186,212498630,2475678,304465495
2018-08,201652794,215874658,2979459,420506910
2018-09,2602468,203150685,2064937,207818090
2018-10,2186,201096575,2064937,203163698
2018-11,529,197917808,2064937,199983274
2018-12,262,208782877,2064937,210848076
2019-01,2177,209738356,2064937,211805470
2019-02,1966,187600000,2064937,189666903
2019-03,2177,212158904,2064937,214226018
2019-04,97065,204849315,2064937,207011317
2019-05,15334986,211224658,2064937,228624581
2019-06,149385243,204000000,2838730,356223972
2019-07,532943303,210375342,5183889,748502534
2019-08,290957211,209950685,3986306,504894202
2019-09,10799817,202808219,2095943,215703980
2019-10,305553,209186301,2064937,211556792
2019-11,2340,202027397,2064937,204094674
2019-12,2419,208336986,2064937,210404342
2020-01,4785,205307763,2064937,207377484
2020-02,4476,189771233,2064937,191840646
2020-03,4785,200693151,2064937,202762872
2020-04,4617,194013699,2064937,196083253
2020-05,1311835,200240183,2064937,203616954
2020-06,64596283,193520548,2544010,260660842
2020-07,321074606,199758904,4197948,525031458
2020-08,128180233,199504110,2691551,330375894
2020-09,145883,192821918,2064938,195032739
2020-10,824553,199036986,2064945,201926484
2020-11,1921,191643836,2064938,193710694
2020-12,1928,206256164,2064937,208323030
