# Official name: Issuusarsuit Sermiat, Foreign name: Issuusarsuit Sermiat, Mouginot/Mankoff name: Issuuarsuit Sermia, Mouginot region: NW, Mankoff discharge gate (2021): 71, closest NSIDC/MEASUREs ID: 54, distance to closest NSIDC/MEASUREs ID: 4482m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,480849,91644292,2836181,94961323
2010-02,43,83893383,2836181,86729607
2010-03,0,94019178,2836181,96855359
2010-04,0,92219178,2836181,95055359
2010-05,6134610,88838356,2918111,97891077
2010-06,193947293,98383562,4938574,297269429
2010-07,302383631,94189041,6045498,402618170
2010-08,277199403,94104110,5927321,377230834
2010-09,6928971,90246575,2876466,100052012
2010-10,933,92405479,2836181,95242594
2010-11,1435576,88564545,2836181,92836303
2010-12,14713,90648914,2836181,93499807
2011-01,6,89752138,2836181,92588325
2011-02,5,80263611,2836181,83099797
2011-03,6,88073973,2836181,90910159
2011-04,6,84410959,2836181,87247146
2011-05,6,84931507,2836181,87767694
2011-06,114064207,91068493,4120072,209252773
2011-07,537106577,98945205,8305389,644357171
2011-08,177738540,80005479,4938086,262682105
2011-09,129940,77835616,2836510,80802067
2011-10,2745,80769863,2836793,83609401
2011-11,2423,78539772,2838439,81380634
2011-12,2503,81552773,2836181,84391457
2012-01,7536,81958904,2836181,84802621
2012-02,7050,77037546,2836181,79880776
2012-03,7536,82723288,2836181,85567004
2012-04,7293,80465753,2837186,83310232
2012-05,9313660,83487671,2928876,95730207
2012-06,227132449,90986301,5052452,323171202
2012-07,587743321,98520548,10646895,696910765
2012-08,319553926,84591781,6153472,410299179
2012-09,1861663,78328767,2836512,83026942
2012-10,288294,84761644,2836181,87886119
2012-11,110513,85150685,2836181,88097379
2012-12,4195,87881646,2836181,90722021
2013-01,20586,87636347,2836181,90493115
2013-02,18594,78936986,2836181,81791761
2013-03,14396,87224658,2836181,90075235
2013-04,12714,84246575,2836181,87095470
2013-05,9015,90282192,2836181,93127388
2013-06,89122397,90904110,3539309,183565815
2013-07,275430514,106249315,5367269,387047098
2013-08,131802164,101832877,3726465,237361506
2013-09,2239849,90328767,2836397,95405013
2013-10,9319,94273973,2836824,97120116
2013-11,8709,92136986,2838332,94984027
2013-12,8999,96142466,2836227,98987692
2014-01,3862,97161644,2836181,100001687
2014-02,3488,88602740,2836181,91442409
2014-03,3862,98945205,2836181,101785248
2014-04,3737,99945205,2836181,102785124
2014-05,3862,107523288,2836181,110363330
2014-06,105514156,107095890,3678227,216288273
2014-07,370049498,103446575,7254548,480750622
2014-08,217718315,91980822,4596091,314295228
2014-09,1363642,88602740,2836214,92802595
2014-10,133960,87224658,2836388,90195006
2014-11,11038,84575342,2836214,87422594
2014-12,11406,87649315,2836215,90496936
2015-01,2509,87904110,2836181,90742799
2015-02,2266,87106849,2836181,89945296
2015-03,2533,97373973,2836181,100212686
2015-04,2428,95488696,2836181,98327305
2015-05,187006,100006849,2836181,103030036
2015-06,145199223,98352066,3854297,247405586
2015-07,597054934,102554795,9567141,709176869
2015-08,106398139,97416438,3653885,207468462
2015-09,2854872,81698630,2836181,87389683
2015-10,5355,97586301,2836181,100427837
2015-11,6124,87797896,2836181,90640201
2015-12,2984,83869863,2836181,86709028
2016-01,1302,83487671,2836226,86325199
2016-02,1218,80192459,2836223,83029900
2016-03,1302,89008219,2836226,91845747
2016-04,1244,88332936,2836226,91170405
2016-05,1236,93891781,2836228,96729245
2016-06,68867403,97471873,3486763,169826039
2016-07,473949837,105569863,7137016,586656716
2016-08,251256344,98478082,4984040,354718466
2016-09,1277479,97808219,2836226,101921925
2016-10,6486,97025753,2836224,99868463
2016-11,4900,102328767,2836302,105169969
2016-12,5082,105128219,2836224,107969524
2017-01,2816,100983562,2838405,103824783
2017-02,2544,93800000,2836207,96638751
2017-03,2816,106695205,2836207,109534229
2017-04,2725,106342005,2836206,109180937
2017-05,2817,113185388,2836207,116024412
2017-06,61980597,113383562,3317617,178681776
2017-07,293292317,118252968,5182227,416727512
2017-08,188131310,119626027,4229420,311986758
2017-09,3913223,115397260,2836846,122147330
2017-10,2439,115931507,2836204,118770150
2017-11,2359,118191781,2836203,121030343
2017-12,2437,121260959,2836204,124099600
2018-01,4429,123847123,2836181,126687733
2018-02,4000,108452055,2836181,111292236
2018-03,4429,122692055,2836181,125532664
2018-04,4286,119671233,2836181,122511700
2018-05,4723,122709041,2836181,125549945
2018-06,71235241,124068493,3393532,198697266
2018-07,125927895,134786301,3774094,264488290
2018-08,192374301,131728767,4799026,328902095
