# Official name: Jaettegletsjer, Foreign name: Jaettegletsjer, Mouginot/Mankoff name: Jaettegletscher, Mouginot region: NE, Mankoff discharge gate (2021): 124, closest NSIDC/MEASUREs ID: 115, distance to closest NSIDC/MEASUREs ID: 4814m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,5837554,4831468,10669022
2010-02,0,5203523,4831468,10034991
2010-03,0,5690411,4831468,10521879
2010-04,0,5424658,4831468,10256125
2010-05,3033115,5605479,4831468,13470062
2010-06,130975547,5342466,5298270,141616283
2010-07,308692994,5435616,8988998,323117609
2010-08,117059386,5435616,7231193,129726195
2010-09,3646005,5178082,4883584,13707671
2010-10,0,5265753,4831468,10097221
2010-11,0,5037309,4831468,9868777
2010-12,0,5158411,4831468,9989879
2011-01,0,5114046,4831468,9945514
2011-02,0,4575250,4831468,9406718
2011-03,0,5010959,4831468,9842427
2011-04,0,4767123,4831468,9598591
2011-05,0,4841096,4831468,9672564
2011-06,75832715,4602740,5284054,85719509
2011-07,274230054,4756164,8228765,287214984
2011-08,78648083,4671233,6477838,89797153
2011-09,24985,4438356,4831468,9294808
2011-10,0,4501370,4831468,9332837
2011-11,0,4292825,4831468,9124292
2011-12,0,4381955,4831468,9213422
2012-01,0,4331507,4831468,9162974
2012-02,0,4013578,4831468,8845046
2012-03,0,4246575,4831468,9078043
2012-04,0,4027397,4831468,8858865
2012-05,3476454,4076712,4832081,12385247
2012-06,216061030,3945205,7464249,227470485
2012-07,320313554,3991781,12085757,336391092
2012-08,168137778,3906849,8973642,181018269
2012-09,111,3698630,4831468,8530209
2012-10,0,3821918,4831468,8653385
2012-11,0,3616438,4831468,8447906
2012-12,0,3747880,4831468,8579348
2013-01,0,3778175,4831468,8609643
2013-02,0,3452055,4831468,8283522
2013-03,0,3906849,4831468,8738317
2013-04,0,3780822,4831468,8612290
2013-05,0,3906849,4831468,8738317
2013-06,90351460,3863014,5027732,99242206
2013-07,233554218,3991781,7272639,244818638
2013-08,72154087,3991781,5863550,82009418
2013-09,542,3945205,4831468,8777215
2013-10,68,4076712,4831468,8908248
2013-11,65,3945205,4831468,8776739
2013-12,41,4161644,4831468,8993152
2014-01,916,4161644,4831468,8994028
2014-02,828,3835616,4831468,8667912
2014-03,916,4246575,4831468,9078959
2014-04,887,4109589,4831468,8941944
2014-05,916,4246575,4831468,9078959
2014-06,73732247,4191781,5489717,83413745
2014-07,241418247,4331507,7423388,253173142
2014-08,104516988,4331507,5634074,114482569
2014-09,667,4232877,4831468,9065011
2014-10,282,4331507,4831468,9163257
2014-11,272,4191781,4831468,9023520
2014-12,281,4331507,4831468,9163255
2015-01,428,4246575,4831468,9078471
2015-02,386,4027397,4831468,8859251
2015-03,428,5180822,4831468,10012717
2015-04,414,5108586,4831468,9940468
2015-05,428,5350685,4831468,10182580
2015-06,53183929,5389329,5534250,64107508
2015-07,349743095,5775342,12679600,368198038
2015-08,64224846,5860274,5121551,75206671
2015-09,13939,4849315,4831468,9694722
2015-10,638,5945205,4831468,10777311
2015-11,411,5469684,4831468,10301562
2015-12,425,5265753,4831468,10097646
2016-01,0,5095890,4831468,9927358
2016-02,0,4767123,4831468,9598591
2016-03,0,5095890,4831468,9927358
2016-04,0,5067810,4831468,9899278
2016-05,0,5435616,4831468,10267084
2016-06,54235205,5396625,5037974,64669805
2016-07,322557604,5647945,7279088,335484638
2016-08,71535413,5520548,5040080,82096041
2016-09,71804,5095890,4831469,9999163
2016-10,0,5401644,4831468,10233111
2016-11,0,5219178,4831468,10050646
2016-12,0,5316712,4831468,10148180
2017-01,0,5078904,4831468,9910372
2017-02,0,4621918,4831468,9453385
2017-03,0,5286986,4831468,10118454
2017-04,0,5195048,4831468,10026515
2017-05,19919,5463927,4831468,10315314
2017-06,32084715,5712329,4839300,42636344
2017-07,104372330,5775342,5245702,115393374
2017-08,62206404,5690411,4983250,72880065
2017-09,144478,4356164,4831468,9332110
2017-10,10,3736986,4831468,8568464
2017-11,0,4068493,4831468,8899961
2017-12,0,4246575,4831468,9078043
2018-01,0,4297534,4831468,9129002
2018-02,0,3893151,4831468,8724618
2018-03,0,5095890,4831468,9927358
2018-04,0,5219178,4831468,10050646
2018-05,0,5333699,4831468,10165166
2018-06,27598807,6904110,4843304,39346221
2018-07,98312936,7898630,5327090,111538656
2018-08,80989704,7580137,5275731,93845571
2018-09,174457,8273973,4831468,13279897
2018-10,0,8259589,4831468,13091057
2018-11,0,8082192,4831468,12913659
2018-12,0,8153425,4831468,12984892
2019-01,0,8110959,4831468,12942427
2019-02,0,7249315,4831468,12080783
2019-03,0,8181735,4831468,13013203
2019-04,0,7835616,4831468,12667084
2019-05,41752,8620548,4831468,13493767
2019-06,178223135,8136986,5914520,192274642
2019-07,367189097,7601370,14575109,389365576
2019-08,150127728,7219178,7960871,165307777
2019-09,38438,7273973,4831468,12143879
2019-10,30,7021005,4831468,11852503
2019-11,0,7191781,4831468,12023248
2019-12,0,8096804,4831468,12928271
2020-01,0,7445662,4831468,12277130
2020-02,0,6753425,4831468,11584892
2020-03,0,7247489,4831468,12078956
2020-04,0,6739726,4831468,11571194
2020-05,6075,6709589,4831468,11547131
2020-06,56637994,5876712,5191408,67706115
2020-07,220155247,5124201,7956300,233235747
2020-08,48894300,5010959,5294219,59199478
2020-09,1,4246575,4831468,9078044
2020-10,0,4034247,4831468,8865714
2020-11,0,3945205,4831468,8776673
2020-12,0,4204110,4831468,9035577
