# Official name: K.J.V. Steenstrup Nordre Brae, Foreign name: K.J.V. Steenstrup Nordre Brae, Mouginot/Mankoff name: Kiv Steenstrup Nodre Brae, Mouginot region: CE, Mankoff discharge gate (2021): 224, closest NSIDC/MEASUREs ID: 164, distance to closest NSIDC/MEASUREs ID: 4255m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,67,424585270,4327574,428912912
2010-02,58,393610713,4327574,397938345
2010-03,64,439860274,4327574,444187912
2010-04,62,418109589,4327574,422437225
2010-05,99521392,446400000,6909760,552831152
2010-06,586141218,424931507,23407231,1034479956
2010-07,963386871,418372603,32709158,1414468632
2010-08,770899103,412257534,25941415,1209098052
2010-09,539188375,365671233,17614317,922473925
2010-10,46042651,384060274,4661405,434764330
2010-11,662182,377881608,4327574,382871365
2010-12,135105,396695686,4327574,401158365
2011-01,482,403120364,4327574,407448420
2011-02,559,369903272,4327574,374231405
2011-03,468,415315068,4327574,419643111
2011-04,478,408082192,4327574,412410244
2011-05,718533,444446575,4327574,449492683
2011-06,234893731,399041096,9857666,643792492
2011-07,755176481,427715068,26329355,1209220904
2011-08,484238133,374547945,19133055,877919133
2011-09,112159242,364438356,5726038,482323636
2011-10,354935,378539726,4328202,383222864
2011-11,3210342,368283321,4327775,375821437
2011-12,3655,382519009,4327574,386850239
2012-01,3446,384569863,4327574,388900884
2012-02,3224,362213665,4327574,366544463
2012-03,3433,388646575,4327574,392977582
2012-04,3294,375452055,4327574,379782923
2012-05,23107693,413956164,4524138,441587995
2012-06,637724521,385643836,24652039,1048020395
2012-07,1171199404,406567123,43311021,1621077548
2012-08,797865918,365375342,28321556,1191562816
2012-09,42464784,345863014,4984946,393312743
2012-10,1415347,369876712,4328009,375620068
2012-11,1594,368383562,4327825,372712981
2012-12,1644,392737825,4327833,397067302
2013-01,248,406158351,4329520,410488119
2013-02,226,378728767,4327596,383056590
2013-03,92,430432877,4327599,434760567
2013-04,0,356958904,4327598,361286502
2013-05,1350710,387202740,4327599,392881049
2013-06,292894655,377506849,11500227,681901731
2013-07,759080899,362742466,26928020,1148751385
2013-08,417039800,369621918,14293446,800955163
2013-09,47707713,360739726,4923432,413370871
2013-10,47879956,408435616,5249015,461564588
2013-11,156,390904110,4327598,395231864
2013-12,0,399517808,4327600,403845408
2014-01,2368,395101370,4327574,399431313
2014-02,2133,352800000,4327574,357129707
2014-03,2361,386608219,4327574,390938155
2014-04,2847,375205479,4327574,379535901
2014-05,15428303,367498630,4412101,387339035
2014-06,441615072,390410959,17027033,849053063
2014-07,754193949,411068493,28998440,1194260883
2014-08,627145590,415484932,22499512,1065130033
2014-09,117807624,363000000,6612632,487420256
2014-10,3581739,367668493,4334606,375584838
2014-11,1454762,372164384,4327574,377946720
2014-12,176,397946575,4327574,402274326
2015-01,0,388306849,4327574,392634424
2015-02,0,352147945,4327574,356475520
2015-03,180446,393700000,4327574,398208020
2015-04,201,381434006,4327574,385761782
2015-05,96532,394549315,4327574,398973421
2015-06,223799083,386512085,11153720,621464888
2015-07,658258808,403636986,24809089,1086704884
2015-08,403639867,389071233,14919302,807630402
2015-09,188404570,383095890,8964489,580464950
2015-10,1148641,381300000,4327574,386776215
2015-11,120227,363633691,4327574,368081492
2015-12,91584,373613699,4327574,378032857
2016-01,95,393997260,4327582,398324938
2016-02,89,365783170,4327582,370110841
2016-03,51,387882192,4327582,392209825
2016-04,76859,374655856,4327582,379060297
2016-05,34782551,386863014,4801561,426447125
2016-06,660414780,376194135,22848112,1059457026
2016-07,947714532,390515068,35173276,1373402877
2016-08,564470590,379941096,21229134,965640819
2016-09,77751295,378575342,5279489,461606126
2016-10,33143665,394184110,4429452,431757226
2016-11,412,389506849,4327582,393834844
2016-12,385,418321644,4327582,422649611
2017-01,0,423910137,4327574,428237712
2017-02,1,385249315,4327574,389576891
2017-03,0,425655479,4327574,429983054
2017-04,0,409387154,4327574,413714728
2017-05,94604142,421147032,6102888,521854062
2017-06,285982718,413876712,11618224,711477655
2017-07,652345713,435273973,23511938,1111131624
2017-08,411214722,424657534,15092362,850964618
2017-09,236771273,424356164,10714606,671842044
2017-10,9754730,431664384,4396657,445815770
2017-11,5357,431260274,4327574,435593205
2017-12,3975,445295890,4327574,449627440
2018-01,0,454213699,4327574,458541273
2018-02,0,406671233,4327574,410998807
2018-03,0,452498082,4327574,456825657
2018-04,12,446835616,4327574,451163203
2018-05,11,458766027,4327574,463093613
2018-06,240815719,429739726,10645092,681200537
2018-07,713040432,465764384,29186364,1207991179
2018-08,365985978,472049315,14727691,852762985
2018-09,94768212,445205479,5264107,545237799
2018-10,13987,499291096,4327593,503632677
2018-11,5682,498520548,4327593,502853822
2018-12,3757,541863014,4327593,546194364
2019-01,14,549124658,4327574,553452246
2019-02,0,501660274,4327574,505987849
2019-03,26,553866667,4327574,558194268
2019-04,18943229,540986301,4453794,564383324
2019-05,85249805,555452055,5304802,646006662
2019-06,556517651,545287671,20423755,1122229078
2019-07,1112084938,565261644,42785285,1720131868
2019-08,523270317,544552511,20876937,1088699765
2019-09,91605575,553068493,5685346,650359414
2019-10,8233863,610147945,4335876,622717684
2019-11,906,635054795,4327574,639383275
2019-12,876,709263014,4327574,713591465
2020-01,269,747878539,4327587,752206395
2020-02,190,716419178,4327586,720746955
2020-03,181,782870320,4327587,787198087
2020-04,202,766972603,4327587,771300391
2020-05,9777004,798837443,4462958,813077405
2020-06,371099414,780452055,12670663,1164222132
2020-07,664503861,810473059,24357056,1499333976
2020-08,496555274,826765753,17888702,1341209730
2020-09,12386066,807972603,4565741,824924410
2020-10,5968242,850758904,4374362,861101508
2020-11,182,834931507,4327587,839259276
2020-12,235,888171233,4327587,892499055
