# Official name: Kakiffaat Sermiat, Foreign name: Kakiffaat Sermiat, Mouginot/Mankoff name: Kakivfaat Sermiat, Mouginot region: NW, Mankoff discharge gate (2021): 129, closest NSIDC/MEASUREs ID: 27, distance to closest NSIDC/MEASUREs ID: 5657m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,356411940,12431442,368843382
2010-02,0,325076106,12431442,337507548
2010-03,0,363676712,12431442,376108154
2010-04,0,360657534,12431442,373088976
2010-05,57050159,352126027,12707297,421883484
2010-06,871162908,381369863,24120646,1276653417
2010-07,1248676462,351361644,30663398,1630701504
2010-08,1023149141,344906849,29003441,1397059430
2010-09,26642931,342575342,12680432,381898705
2010-10,2029980,362827397,12433981,377291358
2010-11,10831385,359958226,12460213,383249824
2010-12,7746,380791517,12431520,393230782
2011-01,0,389924420,12431442,402355862
2011-02,0,360445965,12431442,372877407
2011-03,0,407331507,12431442,419762949
2011-04,0,403068493,12431442,415499935
2011-05,0,425421918,12431442,437853360
2011-06,408953269,420575342,17816656,847345268
2011-07,1681453801,443512329,36374005,2161340135
2011-08,605693563,424827397,20814805,1051335766
2011-09,5663567,413178082,12474724,431316373
2011-10,28,429073973,12431442,441505443
2011-11,1,417316301,12431442,429747744
2011-12,0,433292537,12431442,445723979
2012-01,277,435443836,12431442,447875555
2012-02,224,409407572,12431442,421839238
2012-03,240,439690411,12431442,452122093
2012-04,232,427561644,12431442,439993318
2012-05,29754371,447589041,12730625,490074037
2012-06,1158939401,467178082,29520164,1655637648
2012-07,1939457270,442408219,45802130,2427667619
2012-08,871134093,443342466,26392665,1340869223
2012-09,6134798,436767123,12467270,455369191
2012-10,1984626,459054795,12435202,473474623
2012-11,0,450739726,12431442,463171168
2012-12,0,465409457,12431442,477840899
2013-01,0,464582613,12431442,477014055
2013-02,0,418849315,12431442,431280757
2013-03,0,463046575,12431442,475478017
2013-04,0,447369863,12431442,459801305
2013-05,0,464150685,12431442,476582127
2013-06,357407740,463150685,16005758,836564182
2013-07,921497333,507805479,25484275,1454787087
2013-08,285382235,484873973,15841526,786097733
2013-09,17519858,452958904,12564492,483043254
2013-10,0,466443836,12431442,478875278
2013-11,0,449671233,12431442,462102675
2013-12,0,463046575,12431442,475478017
2014-01,0,461432877,12431442,473864319
2014-02,0,415550685,12431442,427982127
2014-03,0,458800000,12431442,471231442
2014-04,0,474821918,12431442,487253360
2014-05,0,455147945,12431442,467579387
2014-06,413018656,482465753,18214310,913698719
2014-07,1371120599,491668493,35275770,1898064862
2014-08,631748876,464915068,21222626,1117886570
2014-09,3463596,466315068,12482269,482260933
2014-10,23846,475956164,12431442,488411453
2014-11,2,477616438,12431442,490047883
2014-12,0,510863014,12431442,523294456
2015-01,0,522158904,12431442,534590346
2015-02,0,464224658,12431442,476656100
2015-03,0,515831507,12431442,528262949
2015-04,0,495254837,12431442,507686279
2015-05,319159,507890411,12432558,520642128
2015-06,418268043,499528110,17922581,935718734
2015-07,1745102037,524069863,41140588,2310312489
2015-08,224018174,504705479,14791563,743515216
2015-09,9362936,515753425,12497915,537614276
2015-10,0,505342466,12431442,517773908
2015-11,0,502915140,12431442,515346582
2015-12,0,533327397,12431442,545758839
2016-01,0,530694521,12431442,543125963
2016-02,0,487980669,12431442,500412111
2016-03,0,514897260,12431442,527328702
2016-04,699550,498061031,12434149,511194730
2016-05,3346254,514430137,12431491,530207882
2016-06,253497769,481536159,16373362,751407290
2016-07,1374832839,481773973,36434736,1893041547
2016-08,599182491,484449315,21136688,1104768495
2016-09,1010817,463232877,12439433,476683127
2016-10,0,460023014,12431442,472454456
2016-11,0,457890411,12431442,470321853
2016-12,0,481595616,12431442,494027059
2017-01,0,494488219,12431442,506919661
2017-02,0,455287671,12431442,467719113
2017-03,0,502284932,12431442,514716374
2017-04,0,484924164,12431442,497355606
2017-05,0,499821918,12431442,512253360
2017-06,209285411,481068493,14745544,705099448
2017-07,847645712,502171689,22741724,1372559125
2017-08,523982871,505682192,17339237,1047004301
2017-09,8193330,486000000,12550318,506743648
2017-10,0,499269863,12431442,511701305
2017-11,0,483780822,12431442,496212264
2017-12,0,494173973,12431442,506605415
2018-01,0,499516164,12431442,511947606
2018-02,0,446178082,12431442,458609524
2018-03,0,487608767,12431442,500040209
2018-04,0,470712329,12431442,483143771
2018-05,1020955,483532055,12432899,496985909
2018-06,221933124,458506849,14483363,694923337
2018-07,393885206,477711416,17056056,888652677
2018-08,734648917,478100685,22109501,1234859103
2018-09,9008192,446356164,12494054,467858410
2018-10,0,471497260,12431442,483928702
2018-11,0,457890411,12431442,470321853
2018-12,0,481795205,12431442,494226648
2019-01,0,484491781,12431442,496923223
2019-02,0,433424658,12431442,445856100
2019-03,0,476522374,12431442,488953817
2019-04,843174,465150685,12444825,478438683
2019-05,125115937,475106849,13398426,613621212
2019-06,582346236,461479452,19611409,1063437097
2019-07,1804360372,460456164,42738488,2307555025
2019-08,697622256,444474886,23147531,1165244673
2019-09,30029363,433931507,12736987,476697857
2019-10,1639537,465537900,12437667,479615103
2019-11,0,464671233,12431442,477102675
2019-12,0,477796347,12431442,490227789
2020-01,0,484619178,12431442,497050620
2020-02,0,461417808,12431442,473849250
2020-03,0,483854795,12431442,496286237
2020-04,0,462657534,12431442,475088976
2020-05,770162,477484932,12450541,490705635
2020-06,235024319,460479452,15186426,710690197
2020-07,940457059,488412785,25813400,1454683245
2020-08,389252005,462282192,17811874,869346070
2020-09,815177,445726027,12447204,458988409
2020-10,5660419,469628767,12470781,487759967
2020-11,0,464082192,12431442,476513634
2020-12,0,487082192,12431442,499513634
