# Official name: Kangerluarsuup Sermia, Foreign name: Bowdoin Gletsjer, Mouginot/Mankoff name: Bowdoin, Mouginot region: NW, Mankoff discharge gate (2021): 35, closest NSIDC/MEASUREs ID: 85, distance to closest NSIDC/MEASUREs ID: 5352m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,15461297,273171,15734467
2010-02,0,14286967,273171,14560137
2010-03,0,16136986,273171,16410157
2010-04,0,15945205,273171,16218376
2010-05,12543781,16901370,273171,29718322
2010-06,200198874,16684932,1135002,218018808
2010-07,290347209,17410959,3693481,311451649
2010-08,138717210,17580822,1265581,157563613
2010-09,1780092,17178082,275801,19233976
2010-10,0,17920548,273171,18193719
2010-11,0,17512075,273171,17785245
2010-12,0,18265458,273171,18538628
2011-01,0,18440291,273171,18713462
2011-02,0,16812765,273171,17085935
2011-03,0,18769863,273171,19043034
2011-04,0,18328767,273171,18601938
2011-05,115315,19109589,273171,19498075
2011-06,219362559,18657534,1354062,239374155
2011-07,525100661,15287671,7721664,548109996
2011-08,195338334,15287671,2888452,213514457
2011-09,119227,14712329,273175,15104730
2011-10,0,15202740,273171,15475910
2011-11,0,14679557,273171,14952727
2011-12,0,15099377,273171,15372547
2012-01,0,15032877,273171,15306047
2012-02,0,14010545,273171,14283716
2012-03,0,14947945,273171,15221116
2012-04,0,14465753,273171,14738924
2012-05,12301892,14863014,318092,27482997
2012-06,276590440,14383562,2739462,293713464
2012-07,580456804,10871233,9177912,600505948
2012-08,201676733,10956164,3044770,215677668
2012-09,42697,10684932,273171,11000799
2012-10,2,11126027,273171,11399200
2012-11,0,10767123,273171,11040294
2012-12,0,11170393,273171,11443564
2013-01,0,11273749,273171,11546919
2013-02,0,10279452,273171,10552623
2013-03,0,11465753,273171,11738924
2013-04,132,8794521,273171,9067823
2013-05,0,7389041,273171,7662212
2013-06,96554254,9041096,493755,106089105
2013-07,258216835,15372603,2797475,276386913
2013-08,103124818,12145205,1042805,116312828
2013-09,13210,8219178,273171,8505558
2013-10,0,9172603,273171,9445773
2013-11,0,9534247,273171,9807417
2013-12,0,10446575,273171,10719746
2014-01,0,11126027,273171,11399198
2014-02,0,10663014,273171,10936184
2014-03,0,12400000,273171,12673171
2014-04,0,13643836,273171,13917006
2014-05,0,11720548,273171,11993719
2014-06,155938304,14465753,681236,171085293
2014-07,387799728,14523288,5326809,407649824
2014-08,204709761,14183562,2069813,220963136
2014-09,54133,12000000,273171,12327303
2014-10,18721,11975342,273171,12267234
2014-11,260,11917808,273171,12191239
2014-12,0,12569863,273171,12843034
2015-01,0,12909589,273171,13182760
2015-02,0,12350685,273171,12623856
2015-03,0,13589041,273171,13862212
2015-04,0,12272449,273171,12545619
2015-05,495426,11890411,273171,12659007
2015-06,153886317,12896359,691107,167473783
2015-07,610595212,14693151,9680228,634968591
2015-08,87192183,13546575,689605,101428362
2015-09,6011,12246575,273171,12525757
2015-10,0,12527397,273171,12800568
2015-11,40,12733830,273171,13007040
2015-12,0,13758904,273171,14032075
2016-01,5,12697260,273171,12970436
2016-02,5,11891292,273171,12164468
2016-03,5,12739726,273171,13012902
2016-04,2,12399588,273171,12672760
2016-05,4484,12867123,273171,13144778
2016-06,166564423,12452055,756657,179773135
2016-07,438642929,12867123,5559747,457069799
2016-08,203845654,12739726,1505710,218091090
2016-09,231412,10068493,273171,10573076
2016-10,8848,9325479,273171,9607498
2016-11,3616,8794521,273171,9071307
2016-12,210,9750137,273171,10023518
2017-01,0,10259726,273171,10532897
2017-02,0,8821918,273171,9095088
2017-03,0,8684247,273171,8957417
2017-04,0,7937092,273171,8210263
2017-05,187039,8011872,273171,8472082
2017-06,110868686,9164384,431086,120464155
2017-07,311323933,12852968,1324204,325501105
2017-08,160331557,14183562,871906,175387025
2017-09,39478,11506849,273171,11819498
2017-10,0,12230137,273171,12503308
2017-11,0,10684932,273171,10958102
2017-12,0,10807534,273171,11080705
2018-01,1629,11193973,273171,11468772
2018-02,1471,10413699,273171,10688340
2018-03,1629,9903014,273171,10177813
2018-04,1576,10191781,273171,10466528
2018-05,65270,10157808,273171,10496249
2018-06,130160931,11958904,439437,142559272
2018-07,143136223,13079452,679119,156894794
2018-08,150683957,12527397,992653,164204007
2018-09,181222,11150685,273171,11605078
2018-10,1629,11678082,273171,11952882
2018-11,1576,12027397,273171,12302144
2018-12,1629,13249315,273171,13524115
2019-01,0,13206849,273171,13480020
2019-02,0,12005479,273171,12278650
2019-03,0,12598174,273171,12871344
2019-04,0,12767123,273171,13040294
2019-05,39385098,10743836,273171,50402104
2019-06,175793979,11260274,872867,187927121
2019-07,490143710,9300000,6474083,505917793
2019-08,265372078,8464840,3437318,277274236
2019-09,12091642,8917808,278211,21287662
2019-10,2409362,9200913,273171,11883446
2019-11,1015,9164384,273171,9438569
2019-12,1287,9795434,273171,10069891
2020-01,0,9682192,273171,9955362
2020-02,0,9375342,273171,9648513
2020-03,0,8804566,273171,9077737
2020-04,0,8712329,273171,8985499
2020-05,0,8747945,273171,9021116
2020-06,193467550,7890411,884708,202242668
2020-07,491820198,9172603,6381942,507374743
2020-08,167600401,7856164,1776006,177232571
2020-09,503,6821918,273175,7095596
2020-10,1472,8195890,273171,8470533
2020-11,379,7452055,273171,7725604
2020-12,18676,7176712,273171,7468559
