# Official name: Kangerlussuaq Gletsjer, Foreign name: Kangerlussuaq Gletsjer, Mouginot/Mankoff name: Kangerlussuaq, Mouginot region: CE, Mankoff discharge gate (2021): 190, closest NSIDC/MEASUREs ID: 153, distance to closest NSIDC/MEASUREs ID: 1462m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,155,2115745783,59532841,2175278779
2010-02,142,1903050274,59532819,1962583235
2010-03,156,2104093151,59532841,2163626148
2010-04,152,2129095890,59532834,2188628876
2010-05,74501763,2065194521,59874330,2199570614
2010-06,853739956,2131808219,75458050,3061006226
2010-07,1834038798,2216797260,108818023,4159654081
2010-08,1002250091,2108849315,85682202,3196781608
2010-09,513828831,2102219178,70407066,2686455074
2010-10,4624932,2184523288,59532997,2248681217
2010-11,41185,2123811887,59532834,2183385907
2010-12,2787,2202016500,59532841,2261552127
2011-01,2337,2210958338,59532616,2270493291
2011-02,2114,2009654194,59532616,2069188924
2011-03,563,2245164384,59532616,2304697562
2011-04,143,2287150685,59532616,2346683444
2011-05,1878685,2430654795,59532616,2492066096
2011-06,488305016,2309013699,70451502,2867770217
2011-07,1420239319,2436430137,99391510,3956060967
2011-08,795825916,2360501370,80254239,3236581525
2011-09,111337082,2179643836,60445519,2351426436
2011-10,403605,2252553425,59532616,2312489646
2011-11,278686,2180141644,59532616,2239952947
2011-12,3635,2253085001,59532616,2312621253
2012-01,224,2253487671,59532616,2313020511
2012-02,209,2108661295,59532616,2168194121
2012-03,224,2255441096,59532616,2314973936
2012-04,221,2214575342,59532616,2274108180
2012-05,42767132,2273191781,60100217,2376059129
2012-06,1213356081,2241041096,90752628,3545149805
2012-07,1897312048,2330265753,125312536,4352890337
2012-08,1196121198,2113265753,100318090,3409705040
2012-09,21282638,2119315068,59635709,2200233415
2012-10,19610,2290432877,59532616,2349985102
2012-11,221,2300712329,59532616,2360245166
2012-12,228,2375279733,59532616,2434812577
2013-01,5,2370475018,59532616,2430007640
2013-02,0,2136898630,59532616,2196431246
2013-03,0,2362794521,59532616,2422327137
2013-04,0,2244164384,59532616,2303697000
2013-05,2384542,2237605479,59532616,2299522637
2013-06,382413444,2210383562,66608734,2659405740
