# Official name: Kangerlussuup Sermia, Foreign name: Kangerlussuup Sermia, Mouginot/Mankoff name: Kangerlussuup Sermersua, Mouginot region: CW, Mankoff discharge gate (2021): 145, closest NSIDC/MEASUREs ID: 16, distance to closest NSIDC/MEASUREs ID: 6357m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,160906208,5439436,166345644
2010-02,0,144102861,5439436,149542297
2010-03,0,158227397,5439436,163666833
2010-04,0,151643836,5439436,157083272
2010-05,40193181,188463014,6157755,234813949
2010-06,458044558,168657534,17346285,644048378
2010-07,738791071,148460274,26443894,913695239
2010-08,460387114,141580822,19131945,621099881
2010-09,80463676,130602740,8086695,219153111
2010-10,4551549,134786301,5477904,144815754
2010-11,92713,130256822,5439439,135788974
2010-12,716,134409449,5439439,139849604
2011-01,62,134211860,5439436,139651358
2011-02,56,121048791,5439436,126488283
2011-03,62,133852055,5439436,139291553
2011-04,60,129369863,5439436,134809359
2011-05,62,174619178,5439436,180058676
2011-06,248475768,166520548,10157721,425154037
2011-07,932847369,148120548,30251054,1111218971
2011-08,295983362,95972603,12571052,404527016
2011-09,433297,151315068,5439455,157187821
2011-10,263,162134247,5439436,167573946
2011-11,189,162661663,5439436,168101288
2011-12,195,173835552,5439436,179275183
2012-01,0,179800000,5439436,185239436
2012-02,0,173815466,5439436,179254902
2012-03,0,191435616,5439436,196875053
2012-04,0,191095890,5439436,196535326
2012-05,40988613,155339726,6250085,202578424
2012-06,745813816,135369863,26014380,907198059
2012-07,1143417686,97841096,40407274,1281666057
2012-08,495020777,92660274,20012726,607693777
2012-09,3969024,99780822,5447079,109196925
2012-10,0,123235616,5439436,128675053
2012-11,1,136109589,5439436,141549026
2012-12,0,153443536,5439436,158882972
2013-01,0,164874345,5439436,170313782
2013-02,0,159024658,5439436,164464094
2013-03,0,186339726,5439436,191779162
2013-04,0,156082192,5439436,161521628
2013-05,0,161879452,5439436,167318888
2013-06,162090357,140219178,7973570,310283105
2013-07,469297713,133512329,17857343,620667385
2013-08,210198355,145912329,10820719,366931403
2013-09,10040260,153205479,5646119,168891858
2013-10,0,149734247,5439436,155173683
2013-11,0,148602740,5439436,154042176
2013-12,0,157293151,5439436,162732587
2014-01,230,161030137,5439436,166469803
2014-02,208,148821918,5439436,154261562
2014-03,230,159501370,5439436,164941036
2014-04,223,161671233,5439436,167110892
2014-05,232,167060274,5439436,172499942
2014-06,250225402,160602740,11213243,422041384
2014-07,614081889,155764384,23363995,793210267
2014-08,370111817,135465753,15462319,521039890
2014-09,6809713,130643836,5502263,142955812
2014-10,33,132153425,5439436,137592894
2014-11,8,126000000,5439436,131439444
2014-12,0,128289041,5439436,133728477
2015-01,0,139542466,5439436,144981902
2015-02,0,138197260,5439436,143636696
2015-03,0,144213699,5439436,149653135
2015-04,0,145646012,5439436,151085448
2015-05,0,156486301,5439436,161925737
2015-06,289821636,144548724,11916004,446286364
2015-07,941669163,141750685,30318330,1113738178
2015-08,130831714,140689041,8467791,279988547
2015-09,2450358,155589041,5493016,163532415
2015-10,0,164554795,5439436,169994231
2015-11,0,163901475,5439436,169340912
2015-12,0,172113699,5439436,177553135
2016-01,48,164936986,5439436,170376470
2016-02,45,155693229,5439436,161132710
2016-03,48,167782192,5439436,173221676
2016-04,9841092,162239895,5440896,177521883
2016-05,594735,167272603,5439436,173306774
2016-06,266790944,149862955,12199274,428853172
2016-07,918125036,143279452,31448731,1092853219
2016-08,352958669,144595890,14272258,511826818
2016-09,326738,142972603,5441642,148740983
2016-10,235,150294795,5439436,155734466
2016-11,0,156164384,5439436,161603820
2016-12,0,163747945,5439436,169187381
2017-01,0,168130411,5439436,173569847
2017-02,0,153367123,5439436,158806559
2017-03,0,172262329,5439436,177701765
2017-04,0,165275883,5439436,170715319
2017-05,1523508,167683105,5439436,174646049
2017-06,154032394,156698630,7375361,318106385
2017-07,416098038,153726027,13647796,583471861
2017-08,212693330,147823288,9082119,369598736
2017-09,20123960,147452055,5879173,173455188
2017-10,0,149267123,5439436,154706559
2017-11,0,159164384,5439436,164603820
2017-12,0,155552055,5439436,160991491
2018-01,0,156511781,5439436,161951217
2018-02,0,141438356,5439436,146877792
2018-03,0,158346301,5439436,163785737
2018-04,0,158219178,5439436,163658614
2018-05,0,161947397,5439436,167386833
2018-06,148698830,154726027,7682505,311107363
2018-07,409449355,151263014,17360232,578072600
2018-08,303668752,140837671,13111310,457617734
2018-09,8067742,133260274,5475858,146803874
2018-10,0,149691781,5439436,155131217
2018-11,0,154465753,5439436,159905189
2018-12,0,166274658,5439436,171714094
2019-01,0,167782192,5439436,173221628
2019-02,0,151123288,5439436,156562724
2019-03,0,173854795,5439436,179294231
2019-04,1162684,169123288,5439436,175725408
2019-05,173172139,162219178,6403129,341794446
2019-06,468658247,134931507,16034526,619624280
2019-07,1235039268,139924658,42722663,1417686589
2019-08,435094137,135012785,18333199,588440122
2019-09,6554459,132904110,5466768,144925337
2019-10,152808,150894977,5439436,156487222
2019-11,696,148767123,5439437,154207256
2019-12,719,160718721,5439436,166158876
2020-01,0,161568037,5439436,167007473
2020-02,0,156639726,5439436,162079162
2020-03,0,161936073,5439436,167375509
2020-04,0,153000000,5439436,158439436
