# Official name: Kangertivala Apusiiala Qeqqarterpaartaa, Foreign name: Brueckner Gletsjer, Mouginot/Mankoff name: Brckner Gletscher, Mouginot region: SE, Mankoff discharge gate (2021): 236, closest NSIDC/MEASUREs ID: 175, distance to closest NSIDC/MEASUREs ID: 53418m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,12503087,164488,12667575
2010-02,741,11249223,165834,11415798
2010-03,224843,12400000,161366,12786209
2010-04,200,11917808,159191,12077199
2010-05,11646619,12230137,599670,24476426
2010-06,63674331,11835616,2212982,77722930
2010-07,105051277,12145205,4143018,121339500
2010-08,99691874,12060274,3555594,115307743
2010-09,121049590,11589041,3284338,135922969
2010-10,13842585,11975342,538204,26356132
2010-11,4870,11565520,158405,11728795
2010-12,8421,11890901,158406,12057728
2011-01,5260,11805989,158402,11969651
2011-02,8632,10579704,158402,10746738
2011-03,11886,11635616,158402,11805904
2011-04,18735,11178082,158402,11355219
2011-05,16962,11550685,158402,11726049
2011-06,24867608,11095890,907160,36870658
2011-07,111448836,11380822,4132829,126962487
2011-08,54098036,11295890,2200719,67594645
2011-09,16781220,10931507,656697,28369425
2011-10,4966,11210959,158429,11374354
2011-11,3581391,10790538,189706,14561635
2011-12,406,11100822,166348,11267576
2012-01,884,11041096,158403,11200383
2012-02,29364,10229975,158402,10417741
2012-03,52091,10871233,158647,11081971
2012-04,0,10520548,158729,10679277
2012-05,4092533,10786301,207497,15086332
2012-06,54695414,10356164,2208064,67259643
2012-07,132305852,10701370,4881144,147888365
2012-08,91306736,10616438,3567019,105490193
2012-09,5362835,10191781,300463,15855078
2012-10,163973,10531507,159486,10854966
2012-11,0,10109589,158402,10267991
2012-12,0,10341510,158402,10499913
2013-01,339158,10219920,158402,10717481
2013-02,169302,9128767,158402,9456471
2013-03,3452,10021918,158402,10183772
2013-04,3143,9534247,158402,9695792
2013-05,54062,9767123,158402,9979588
2013-06,36863526,9369863,1283662,47517051
2013-07,86659160,9597260,2826317,99082737
2013-08,46691887,9427397,1932002,58051285
2013-09,2654605,9041096,205039,11900740
2013-10,4229296,9257534,367010,13853841
2013-11,12630,8794521,158402,8965553
2013-12,74534,9002740,158402,9235675
2014-01,3707,8917808,158402,9079917
2014-02,2729,7901370,158402,8062501
2014-03,9224,8663014,159422,8831660
2014-04,2692,8301370,158402,8462464
2014-05,7650959,8493151,166506,16310616
2014-06,47139632,8054795,1521682,56716108
2014-07,93119759,8238356,3056077,104414192
2014-08,101750634,8153425,3920464,113824523
2014-09,19681069,7849315,761946,28292330
2014-10,8606,8408219,159944,8576770
2014-11,39479,8383562,164120,8587161
2014-12,10571,8832877,159288,9002735
2015-01,363,9087671,164679,9252714
2015-02,168,4947945,179620,5127734
2015-03,166,7558904,160586,7719656
2015-04,223,9967553,163388,10131164
2015-05,557,11847945,166494,12014996
2015-06,19958076,10181510,889843,31029428
2015-07,59077045,9257534,2582232,70916811
2015-08,53219463,11168493,1916230,66304186
2015-09,46239157,7643836,1769145,55652138
2015-10,154839,8195890,158930,8509659
2015-11,28111,7468337,158422,7654870
2015-12,26,7261644,158554,7420224
2016-01,765,7389041,159321,7549127
2016-02,1599,7496437,159258,7657294
2016-03,1796,8578082,159318,8739196
2016-04,3393916,8449686,207751,12051353
2016-05,10344018,8790411,484282,19618712
2016-06,74541953,7454190,2771474,84767618
2016-07,114434164,6667123,4446571,125547858
2016-08,85524763,9300000,3045544,97870307
2016-09,9542894,7520548,553811,17617253
2016-10,5119954,9206575,266133,14592662
2016-11,393,8342466,159169,8502028
2016-12,789,8883836,159176,9043801
2017-01,12294,9699178,179610,9891082
2017-02,15309,8630137,167533,8812979
2017-03,40783,9023973,160893,9225649
2017-04,2764,8809515,159058,8971336
2017-05,17786540,9314155,809422,27910117
2017-06,36451179,9945205,1410700,47807085
2017-07,89127238,10871233,3616761,103615232
2017-08,62046048,9767123,2353186,74166357
2017-09,22524767,8958904,1116181,32599852
2017-10,787684,8408219,158402,9354306
2017-11,26623,8958904,158402,9143929
2017-12,3494,9639726,158402,9801622
2018-01,5022,9427397,164773,9597192
2018-02,8980,9378082,159372,9546434
2018-03,5722,10905205,158402,11069330
2018-04,13406,9863014,158402,10034821
2018-05,12357,9376438,158402,9547197
2018-06,24799304,11424658,1085554,37309515
2018-07,61835051,11041096,3078656,75954802
2018-08,55558753,9767123,2299817,67625692
2018-09,22893880,9315068,656573,32865522
2018-10,344045,9427397,159644,9931085
2018-11,6959,9041096,172529,9220584
2018-12,3310,9002740,165652,9171702
2019-01,2497,10276712,158402,10437611
2019-02,3,9320548,158402,9478953
2019-03,3,9540639,158402,9699044
2019-04,696232,8767123,158402,9621758
2019-05,21213814,9724658,793131,31731603
2019-06,64878868,10328767,1658076,76865711
2019-07,135966294,10276712,4821787,151064793
2019-08,57543437,10757991,2239957,70541384
2019-09,21969140,7767123,768004,30504267
2019-10,3517543,7898630,225857,11642031
2019-11,46098,7849315,158402,8053815
2019-12,9712,8351598,158402,8519713
2020-01,50994,10276712,158402,10486109
2020-02,49934,8978082,158402,9186419
2020-03,8715,9399087,158402,9566204
2020-04,885,9205479,158402,9364766
2020-05,7931023,11097717,243507,19272247
2020-06,46544057,11301370,1621750,59467177
2020-07,91170149,11267580,2983257,105420986
2020-08,77562434,10956164,2909110,91427708
2020-09,3114139,8027397,250097,11391633
2020-10,1402467,8705479,158976,10266922
2020-11,505,8164384,159838,8324727
2020-12,183,9257534,159342,9417059
