# Official name: Kangertsivala Apusiia, Foreign name: Heim Gletsjer, Mouginot/Mankoff name: Heim Gletscher, Mouginot region: SE, Mankoff discharge gate (2021): 235, closest NSIDC/MEASUREs ID: 175, distance to closest NSIDC/MEASUREs ID: 42202m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,4649,24161639,882201,25048490
2010-02,5465,21166327,882974,22054766
2010-03,108967,22761644,880410,23751021
2010-04,742,21287671,879163,22167575
2010-05,12949951,22082192,1351521,36383663
2010-06,91067218,29424658,3899560,124391435
2010-07,221048175,31934247,8470820,261453241
2010-08,204650762,28876712,7614746,241142220
2010-09,253401796,23178082,7152591,283732469
2010-10,17153995,22252055,1270845,40676895
2010-11,81746,21894084,878790,22854620
2010-12,11590,23532834,878812,24423236
2011-01,253,24791757,878710,25670721
2011-02,614,23595696,878710,24475020
2011-03,232,27178082,878710,28057025
2011-04,233,27287671,878710,28166615
2011-05,402319,27263014,878710,28544043
2011-06,26582368,27123288,1920529,55626185
2011-07,226498854,31849315,8237866,266586035
2011-08,99156812,25309589,3492327,127958728
2011-09,18775488,23260274,1360982,43396743
2011-10,230866,29980822,878913,31090601
2011-11,3106280,29879214,899160,33884654
2011-12,38688,31310191,883456,32232335
2012-01,166835,31764384,878726,32809945
2012-02,58011,30290997,878715,31227723
2012-03,2734765,32953425,878863,36567052
2012-04,373,32465753,879235,33345362
2012-05,4256349,31509589,910783,36676721
2012-06,95847947,28191781,3959253,127998981
2012-07,300694591,16391781,10020055,327106427
2012-08,195430854,23441096,6788335,225660285
2012-09,5649699,36246575,979376,42875651
2012-10,142574,33123288,879332,34145193
2012-11,31796,28356164,878710,29266671
2012-12,75570,27359119,878710,28313399
2013-01,156850,25900228,878710,26935788
2013-02,78178,22093151,878710,23050039
2013-03,1596,23016438,878710,23896744
2013-04,1207,17424658,878710,18304574
2013-05,101858,26158904,878710,27139472
2013-06,40126014,32136986,2528205,74791205
2013-07,148108414,22931507,5724614,176764535
2013-08,75853761,32953425,3363125,112170310
2013-09,2833839,20054795,932100,23820733
2013-10,6411941,26753425,1111252,34276618
2013-11,8071,25726027,878710,26612808
2013-12,34521,26413699,878710,27326930
2014-01,20204,26243836,878711,27142750
2014-02,1519,23473973,878710,24354202
2014-03,276814,25819178,886449,26982441
2014-04,1993,24821918,878710,25702621
2014-05,6718266,25479452,884004,33081722
2014-06,57638855,25643836,2855067,86137757
2014-07,153358124,30150685,5486298,188995106
2014-08,150314424,27008219,4882993,182205636
2014-09,23605709,23589041,1525522,48720273
2014-10,72916,26413699,893499,27380114
2014-11,412268,28520548,916018,29848834
2014-12,273930,27815068,892127,28981126
2015-01,21093,26116438,882669,27020200
2015-02,14671,23128767,890892,24034330
2015-03,15460,25394521,879963,26289944
2015-04,16643,23932407,881570,24830621
2015-05,14663,24247945,883352,25145961
2015-06,25791177,24792104,1650434,52233715
2015-07,108922617,26923288,4988481,140834385
2015-08,67542144,25989041,3651869,97183054
2015-09,47652841,25232877,3108513,75994231
2015-10,162803,25606849,893426,26663078
2015-11,16916,25517683,879266,26413865
2015-12,56005,27093151,882952,28032107
2016-01,1076,27008219,879237,27888532
2016-02,1007,25328321,879201,26208529
2016-03,1076,27135616,879235,28015928
2016-04,1477885,25860264,907022,28245170
2016-05,10942320,26328767,1090573,38361661
2016-06,109057761,25984728,5060014,140102504
2016-07,261100254,27347945,9395176,297843375
2016-08,158642391,24884932,5880076,189407398
2016-09,10853022,23547945,1307746,35708713
2016-10,5537674,24749041,952722,31239436
2016-11,183,23671233,884529,24555945
2016-12,1542,24545205,884582,25431330
2017-01,453632,24205479,891138,25550250
2017-02,2422,22035616,894159,22932197
2017-03,408,25012329,894000,25906736
2017-04,203,24542372,879311,25421886
2017-05,24582344,25507763,1753244,51843351
2017-06,42220048,23753425,3025888,68999361
2017-07,166040859,25932420,6646217,198619497
2017-08,103546638,26328767,3798709,133674115
2017-09,33176804,25479452,2212723,60868979
2017-10,621142,25394521,878710,26894373
2017-11,92366,23630137,878710,24601213
2017-12,69041,23759589,878710,24707340
2018-01,466506,23780822,882365,25129693
2018-02,1863107,22150685,879266,24893058
2018-03,35591,24001644,878710,24915945
2018-04,253116,22191781,878710,23323607
2018-05,278622,24630137,878710,25787469
2018-06,29767950,23958904,2207734,55934588
2018-07,119207605,23922374,5521806,148651785
2018-08,94526377,24502740,4199440,123228557
2018-09,23853749,22383562,1493056,47730366
2018-10,215960,24014384,879422,25109766
2018-11,17098,23095890,886815,23999803
2018-12,2969,23780822,882869,24666660
2019-01,27206,22804110,878710,23710026
2019-02,12258,21326027,878710,22216996
2019-03,26500,23894064,878710,24799274
2019-04,478404,22739726,878710,24096840
2019-05,29484560,23271233,1370957,54126750
2019-06,73858668,23698630,3548625,101105923
2019-07,259032565,24460274,10273062,293765900
2019-08,123319092,24148858,4319240,151787191
2019-09,23162113,23465753,1535542,48163409
2019-10,3771299,23441096,922778,28135173
2019-11,394143,23013699,878710,24286552
2019-12,221359,23242922,878710,24342992
2020-01,613975,23497717,878710,24990402
2020-02,248224,21293151,878710,22420085
2020-03,65812,23242922,878710,24187444
2020-04,121611,22890411,878710,23890732
2020-05,8107324,24063927,934308,33105559
2020-06,58921227,23753425,3100167,85774819
2020-07,165960681,23610959,7103709,196675349
2020-08,141307266,24417808,5410106,171135180
2020-09,3290162,22958904,969832,27218898
2020-10,1562469,23738356,879046,26179871
2020-11,230816,22520548,918778,23670141
2020-12,36501,23568493,904929,24509924
