# Official name: Kangiata Nunaata Sermia, Foreign name: Kangiata Nunaata Sermia, Mouginot/Mankoff name: Kangiata Nunaata Sermia, Mouginot region: SW, Mankoff discharge gate (2021): 275, closest NSIDC/MEASUREs ID: 207, distance to closest NSIDC/MEASUREs ID: 5046m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,61,466373000,31756162,498129223
2010-02,55,423565991,31756162,455322208
2010-03,61,471624658,31756162,503380880
2010-04,216812,459698630,31760050,491675492
2010-05,428351780,480712329,35646839,944710948
2010-06,1005120957,491917808,48350099,1545388864
2010-07,2021323283,433660274,92713321,2547696878
2010-08,2033016233,419646575,91182576,2543845385
2010-09,300200047,402739726,38148603,741088376
2010-10,20354863,438501370,31880435,490736668
2010-11,33445410,438490525,31894391,503830326
2010-12,104439,464467502,31758302,496330244
2011-01,0,474588438,31756162,506344600
2011-02,0,437461825,31756162,469217986
2011-03,0,493876712,31756162,525632874
2011-04,0,488876712,31756162,520632874
2011-05,0,484873973,31758191,516632164
2011-06,886383855,446054795,51875428,1384314077
2011-07,2062462388,476550685,85031819,2624044892
2011-08,1237253804,489800000,65692707,1792746512
2011-09,64665756,437013699,32216373,533895827
2011-10,32055,448693151,31756162,480481368
2011-11,3196425,431330374,31767188,466293987
2011-12,0,442832780,31756162,474588941
2012-01,0,439945205,31756162,471701367
2012-02,1456253,408994082,31767480,442217815
2012-03,0,434679452,31756162,466435614
2012-04,41783096,418027397,32074838,491885331
2012-05,256523462,473153425,34687286,764364173
2012-06,2159055969,473917808,95755685,2728729462
2012-07,4373517433,477994521,191584689,5043096642
2012-08,1627049172,440284932,85384253,2152718356
2012-09,209439385,415561644,33751748,658752777
2012-10,36863423,437652055,32190193,506705671
2012-11,17190412,420986301,31805981,469982695
2012-12,934,438216579,31756162,469973674
2013-01,0,445549422,31756162,477305583
2013-02,0,409030137,31756162,440786299
2013-03,870235,458120548,31756162,490746945
2013-04,3872808,448931507,31761971,484566285
2013-05,18256226,475276712,31806303,525339242
2013-06,498244113,460438356,37241135,995923605
2013-07,1212309569,473408219,55362066,1741079855
2013-08,740387304,462367123,46490313,1249244741
2013-09,99803049,442931507,32866406,575600962
2013-10,22606536,432726027,31856076,487188640
2013-11,234818,431095890,31756162,463086870
2013-12,0,438586301,31756162,470342463
2014-01,0,431452055,31756162,463208216
2014-02,0,383101370,31756162,414857532
2014-03,0,417013699,31756162,448769860
2014-04,0,442438356,31756162,474194518
2014-05,42650235,446909589,32071983,521631807
2014-06,832044763,451479452,45640982,1329165197
2014-07,1572336050,432810959,70666051,2075813060
2014-08,1611700886,384739726,78877152,2075317764
2014-09,179693207,369780822,35283298,584757327
2014-10,589765,378624658,31756168,410970591
2014-11,0,393780822,31756162,425536984
2014-12,0,396375342,31756162,428131504
2015-01,0,385673973,31756162,417430134
2015-02,377500,343939726,31756162,376073388
2015-03,0,387500000,31756162,419256162
2015-04,0,380505352,31756162,412261514
2015-05,3899565,399772603,31757737,435429904
2015-06,473144817,404926995,38256418,916328230
2015-07,1125724122,431919178,56337177,1613980476
2015-08,544995480,416079452,40083698,1001158630
2015-09,249038111,393041096,36758259,678837465
2015-10,27219882,399475342,31939267,458634492
2015-11,0,382232100,31756162,413988261
2015-12,0,392468493,31756162,424224655
2016-01,0,391789041,31756162,423545203
2016-02,0,367992346,31756162,399748508
2016-03,0,396884932,31756162,428641093
2016-04,108247159,397907203,32517007,538671369
2016-05,250657449,422704110,33946714,707308272
2016-06,1208431850,404453648,60385000,1673270498
2016-07,1567409523,406142466,75191336,2048743324
2016-08,1268096341,367413699,72948097,1708458136
2016-09,41648542,362835616,32175709,436659868
2016-10,10778358,371422466,31811492,414012316
2016-11,2244972,364849315,31775880,398870167
2016-12,0,386744110,31756162,418500271
2017-01,0,396324384,31756162,428080545
2017-02,0,350210959,31756162,381967121
2017-03,0,401428767,31756162,433184929
2017-04,0,399208812,31756162,430964974
2017-05,154811395,424063014,33522252,612396661
2017-06,549280361,429328767,37510256,1016119384
2017-07,986687578,444956164,52541160,1484184902
2017-08,1262162063,433490411,62651252,1758303726
2017-09,251356973,421315068,38745147,711417189
2017-10,89737596,444446575,32688986,566873157
2017-11,6446945,418438356,31785143,456670444
2017-12,44,426207534,31756162,457963740
2018-01,0,426220274,31756162,457976436
2018-02,0,383810959,31756162,415567121
2018-03,0,419272877,31756162,451029038
2018-04,724252,392301370,31761817,424787438
2018-05,1007772,406787945,31764634,439560351
2018-06,456099766,411904110,38294271,906298147
2018-07,1395841909,414578995,71696338,1882117242
2018-08,749740793,386438356,48512486,1184691635
2018-09,36227126,369698630,31930593,437856350
2018-10,65575,399305479,31756196,431127250
2018-11,24,385369863,31756162,417126048
2018-12,1718027,405505479,31770607,438994113
2019-01,0,413701370,31756162,445457532
2019-02,0,372515068,31756162,404271230
2019-03,0,411747945,31756162,443504107
2019-04,14354217,399506849,31831511,445692577
2019-05,305219371,429498630,33141528,767859530
2019-06,1227943639,422630137,58023313,1708597089
2019-07,2255098860,427630137,100669925,2783398921
2019-08,1216533962,360760731,69109166,1646403858
2019-09,111444029,352643836,32839436,496927300
2019-10,3840736,391534247,31769230,427144213
2019-11,0,385972603,31756162,417728764
2019-12,0,400621918,31756162,432378079
2020-01,0,423326941,31756162,455083102
2020-02,0,392493151,31756162,424249312
2020-03,816754,409709589,31756162,442282505
2020-04,2069515,386178082,31763113,420010710
2020-05,105884344,422817352,32353480,561055175
2020-06,981250671,415479452,55124127,1451854251
2020-07,2182230022,423383562,102098454,2707712038
2020-08,1166175218,403509589,60870792,1630555599
2020-09,168727666,388493151,34381068,591601885
2020-10,22888029,421600000,31916340,476404369
2020-11,193676,416273973,31756162,448223810
2020-12,130479,434297260,31756162,466183901
