# Official name: Kangilernata Sermia, Foreign name: Kangilernata Sermia, Mouginot/Mankoff name: Kangilerngata Sermia, Mouginot region: CW, Mankoff discharge gate (2021): 177, closest NSIDC/MEASUREs ID: 6, distance to closest NSIDC/MEASUREs ID: 5344m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,32274,94998133,5290032,100320439
2010-02,1449,91736635,5290032,97028116
2010-03,1605,106758904,5290032,112050541
2010-04,1553,108164384,5290032,113455968
2010-05,328570527,121197260,6752572,456520359
2010-06,1375531572,96739726,14089745,1486361043
2010-07,1988021832,92830137,19916171,2100768140
2010-08,1305036234,80600000,15498349,1401134584
2010-09,327572257,60164384,7471696,395208337
2010-10,51315200,69304110,5496798,126116108
2010-11,23590511,74187603,5346293,103124407
2010-12,201172,83772630,5290327,89264129
2011-01,0,91113786,5290032,96403818
2011-02,0,88918963,5290032,94208995
2011-03,0,105060274,5290032,110350306
2011-04,0,108739726,5290032,114029758
2011-05,93527,114487671,5290817,119872015
2011-06,867019993,117698630,10537859,995256482
2011-07,2497742721,76438356,22875038,2597056115
2011-08,805715330,63783562,10398896,879897788
2011-09,21299008,49315068,5326720,75940797
2011-10,0,58347945,5290032,63637978
2011-11,1056021,63840758,5293399,70190178
2011-12,0,73335208,5290032,78625241
2012-01,17,80939726,5290032,86229776
2012-02,0,82814880,5290032,88104912
2012-03,0,95632877,5290032,100922909
2012-04,2753733,99945205,5310825,108009763
2012-05,202783793,113893151,6121413,322798357
2012-06,1967589952,105945205,17728736,2091263893
2012-07,2863542989,79156164,28602162,2971301315
2012-08,1304592252,57328767,15190075,1377111094
2012-09,69670826,67479452,5448201,142598478
2012-10,12202425,83487671,5316593,101006689
2012-11,10646,92301370,5290041,97602056
2012-12,511,96654487,5290041,101945039
2013-01,664,97296379,5290032,102587075
2013-02,600,88449315,5290032,93739947
2013-03,241502,98690411,5290043,104221956
2013-04,19831,109232877,5290470,114543178
2013-05,358866,109816438,5291315,115466619
2013-06,755613677,119506849,9110002,884230528
2013-07,1279199178,94868493,14365565,1388433236
2013-08,569952408,92320548,9093975,671366931
2013-09,63224059,78986301,5521691,147732051
2013-10,854476,93339726,5290586,99484788
2013-11,698,96328767,5290032,101619497
2013-12,697,105484932,5290032,110775661
2014-01,148,111600000,5290032,116890181
2014-02,134,106323288,5290032,111613454
2014-03,148,117800000,5290032,123090181
2014-04,144,112520548,5290032,117810724
2014-05,1549040,117630137,5298343,124477520
2014-06,837648904,121643836,10132316,969425056
2014-07,1533431257,98520548,15782845,1647734651
2014-08,1184987906,89857534,13236278,1288081718
2014-09,67738831,75287671,5577331,148603833
2014-10,8004,75758904,5290032,81056940
2014-11,15454,75287671,5290050,80593176
2014-12,1256,79878082,5290032,85169370
2015-01,2885,88838356,5290032,94131274
2015-02,2606,86723288,5290032,92015926
2015-03,2885,95760274,5290032,101053191
2015-04,2792,94860763,5290032,100153588
2015-05,16264647,100176712,5308441,121749800
2015-06,878580224,96063999,9929578,984573802
2015-07,2212939463,96694521,21109535,2330743519
2015-08,392334295,80557534,7449854,480341683
2015-09,84927118,90739726,5831240,181498085
2015-10,635,84252055,5290032,89542722
2015-11,0,86750572,5290032,92040604
2015-12,0,95887671,5290032,101177703
2016-01,0,97416438,5290032,102706470
2016-02,0,93367781,5290032,98657813
2016-03,0,102342466,5290032,107632498
2016-04,32627117,102074085,5430733,140131935
2016-05,83051496,107268493,5636348,195956337
2016-06,1045977756,97186498,12240637,1155404891
2016-07,2184107750,87224658,21773945,2293106353
2016-08,1074415494,68242466,13151662,1155809622
2016-09,11998412,73356164,5318146,90672722
2016-10,8742392,72786301,5306136,86834829
2016-11,164930,75698630,5290649,81154209
2016-12,55,82043836,5290032,87333923
2017-01,0,86409315,5290032,91699347
2017-02,0,80816438,5290032,86106470
2017-03,0,90579452,5290032,95869484
2017-04,0,89264872,5290032,94554904
2017-05,63381384,94019178,5569175,162969737
2017-06,556687418,92712329,7876763,657276510
2017-07,1044654121,89942466,10971208,1145567795
2017-08,575494611,70365753,8046472,653906836
2017-09,88016267,70767123,5872126,164655516
2017-10,2640520,66756164,5296167,74692852
2017-11,23172,67397260,5290425,72710857
2017-12,0,74569863,5290032,79859895
2018-01,0,79207123,5290032,84497155
2018-02,0,73452055,5290032,78742087
2018-03,0,83283836,5290032,88573868
2018-04,0,81616438,5290032,86906470
2018-05,37557652,87513425,5363432,130434509
2018-06,645311307,90945205,8819602,745076115
2018-07,1284772441,82581735,14284200,1381638377
2018-08,877405036,71236301,11060276,959701613
2018-09,60699533,65863014,5503943,132066490
2018-10,337633,73147260,5290036,78774929
2018-11,173669,74109589,5290637,79573895
2018-12,0,81343151,5290032,86633183
2019-01,0,84761644,5290032,90051676
2019-02,0,77287671,5290032,82577703
2019-03,0,88272146,5290032,93562178
2019-04,62630282,89917808,5495268,158043358
2019-05,576745339,99964384,7483365,684193087
2019-06,1475845688,92602740,14572488,1583020916
2019-07,3174296007,93806849,29707018,3297809874
2019-08,1102948402,88272146,13229527,1204450075
2019-09,56448722,88726027,5494460,150669210
2019-10,13787843,96227397,5312492,115327732
2019-11,3,99123288,5290032,104413323
2019-12,3,105569863,5290032,110859898
2020-01,29,105145205,5290032,110435267
2020-02,0,97010959,5290032,102300991
2020-03,0,102710502,5290032,108000534
2020-04,19756060,99123288,5322393,124201741
2020-05,115388441,102568950,5591982,223549373
2020-06,778248540,102863014,9592381,890703935
2020-07,1563547019,96057534,16905464,1676510017
2020-08,449352233,90579452,7489004,547420689
2020-09,24175685,87561644,5357543,117094872
2020-10,40296200,91343836,5351727,136991762
2020-11,2164,88876712,5290032,94168908
2020-12,0,97034247,5290032,102324279
