# Official name: Kangilliup Sermia, Foreign name: Rink Isbrae, Mouginot/Mankoff name: Rink Isbrae, Mouginot region: CW, Mankoff discharge gate (2021): 143, closest NSIDC/MEASUREs ID: 17, distance to closest NSIDC/MEASUREs ID: 6326m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,38,1082221716,29964307,1112186060
2010-02,34,960617220,29964305,990581559
2010-03,38,1048819178,29964305,1078783520
2010-04,36,1001342466,29964305,1031306807
2010-05,56422170,1122709589,30294371,1209426130
2010-06,685181268,1092246575,46145227,1823573070
2010-07,1073175503,1126956164,65645633,2265777300
2010-08,602829496,1151331507,50069809,1804230812
2010-09,113575539,1046219178,33930992,1193725709
2010-10,1427675,1078035616,29968317,1109431609
2010-11,17,1040203510,29964305,1070167832
2010-12,19,1071820095,29964639,1101784753
2011-01,0,1068662735,29964305,1098627040
2011-02,0,962394620,29964305,992358925
2011-03,0,1062663014,29964305,1092627318
2011-04,0,1025342466,29964305,1055306770
2011-05,0,1096975342,29964305,1126939647
2011-06,425062793,1006273973,36127829,1467464595
2011-07,1330408982,1114895890,66380816,2511685688
2011-08,435415139,1098164384,39842056,1573421578
2011-09,40872,1116000000,29965892,1146006764
2011-10,87,1141139726,29964305,1171104119
2011-11,0,1092296833,29964323,1122261157
2011-12,0,1116701216,29964305,1146665520
2012-01,703,1104364384,29964305,1134329392
2012-02,658,1021676727,29964305,1051641690
2012-03,703,1080753425,29964305,1110718433
2012-04,681,1034136986,29964305,1064101972
2012-05,51678790,1056802740,30283573,1138765102
2012-06,1012069088,1082219178,58166132,2152454399
2012-07,1566038183,1171800000,87181214,2825019397
2012-08,702669829,1129504110,52277570,1884451509
2012-09,2518518,1008410959,29964307,1040893784
2012-10,689,1070052055,29964305,1100017049
2012-11,671,1059123288,29964305,1089088264
2012-12,694,1116076933,29964305,1146041932
2013-01,234,1137387036,29964319,1167351589
2013-02,211,1046126027,29964318,1076090557
2013-03,535,1176556164,29964319,1206521019
2013-04,209,1064136986,29964317,1094101512
2013-05,234,1027331507,29964310,1057296051
2013-06,223803984,1018438356,32543542,1274785882
2013-07,700823689,1093578082,47351658,1841753430
2013-08,290558480,1136128767,38672298,1465359545
2013-09,13630805,1025835616,30108169,1069574591
2013-10,129,1089076712,29964306,1119041148
2013-11,125,1047698630,29964306,1077663061
2013-12,129,1076421918,29964306,1106386353
2014-01,540,1069882192,29964305,1099847036
2014-02,487,960515068,29964305,990479861
2014-03,540,1051367123,29964305,1081331968
2014-04,522,1005945205,29964305,1035910032
2014-05,540,1051452055,29964305,1081416899
2014-06,372846058,1018767123,36483568,1428096749
2014-07,925046409,1026991781,56732758,2008770948
2014-08,532562246,1086019178,43898584,1662480008
2014-09,5763836,1062123288,29964305,1097851429
2014-10,5861,1078884932,29964305,1108855097
2014-11,2342,1054027397,29964305,1083994044
2014-12,242,1099268493,29964305,1129233040
2015-01,11677,1105128767,29964305,1135104749
2015-02,10547,1000520548,29964305,1030495400
2015-03,11678,1099141096,29964305,1129117078
2015-04,11301,1042004258,29964305,1071979864
2015-05,11677,1061176712,29964305,1091152694
2015-06,429591157,1039429740,37870307,1506891203
2015-07,1387781033,1086358904,71711159,2545851096
2015-08,223595633,1080795890,33432302,1337823826
2015-09,4554761,1083945205,30074262,1118574228
2015-10,162422,1122030137,29964305,1152156863
2015-11,11093,1097483106,29964305,1127458504
2015-12,45466,1144027397,29964305,1174037168
2016-01,14,1120289041,29964305,1150253360
2016-02,13,1031317570,29964305,1061281888
2016-03,14,1089119178,29964305,1119083497
2016-04,20951986,1041275547,30011732,1092239265
2016-05,14,1069330137,29964305,1099294455
2016-06,359163925,1047911966,38466104,1445541995
2016-07,1198946450,1105298630,74110590,2378355670
