# Official name: Kattilersorpia, Foreign name: Glacier de France, Mouginot/Mankoff name: Glacierdefrance, Mouginot region: SE, Mankoff discharge gate (2021): 227, closest NSIDC/MEASUREs ID: 169, distance to closest NSIDC/MEASUREs ID: 6047m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,21841798,25592,21867390
2010-02,0,20071772,25592,20097364
2010-03,0,22336986,25592,22362578
2010-04,0,19890411,25592,19916003
2010-05,56891656,18175342,694791,75761790
2010-06,360283830,23835616,7442597,391562043
2010-07,425290452,14523288,11326172,451139912
2010-08,372266825,14268493,9194761,395730080
2010-09,280207838,15452055,6171414,301831307
2010-10,32911051,16221918,236844,49369814
2010-11,33696,15965026,25594,16024316
2010-12,1000,16771255,25594,16797850
2011-01,0,17056201,25598,17081799
2011-02,0,15658911,25598,15684508
2011-03,0,17580822,25625,17606447
2011-04,0,17260274,25601,17285875
2011-05,69,19704110,25602,19729780
2011-06,129157511,20794521,1933075,151885106
2011-07,411532329,19619178,9667365,440818872
2011-08,236223384,17495890,5138452,258857727
2011-09,61020962,16191781,676091,77888833
2011-10,267,16052055,25596,16077918
2011-11,866872,14825087,25596,15717555
2011-12,0,14593972,25596,14619568
2012-01,186,13843836,25592,13869614
2012-02,174,12255377,25592,12281144
2012-03,186,12400000,25592,12425779
2012-04,180,11260274,25613,11286067
2012-05,9418898,28791781,66344,38277023
2012-06,299915002,31643836,7161230,338720068
2012-07,533180847,29471233,11869221,574521301
2012-08,325572667,13079452,7939890,346592009
2012-09,15622390,20547945,193317,36363653
2012-10,442,20128767,25593,20154802
2012-11,181,18575342,25592,18601115
2012-12,187,20034826,25592,20060605
2013-01,0,21958418,25611,21984029
2013-02,0,21556164,25609,21581773
2013-03,0,25224658,25611,25250268
2013-04,0,22602740,25610,22628350
2013-05,767881,28876712,25908,29670501
2013-06,212468709,23671233,3765117,239905059
2013-07,381078405,18005479,9342697,408426582
2013-08,220548943,25139726,4469229,250157898
2013-09,15658772,23917808,136616,39713196
2013-10,31126878,31000000,566980,62693857
2013-11,29,26712329,25610,26737968
2013-12,0,24375342,25611,24400953
2014-01,454,21063014,25592,21089060
2014-02,410,15956164,25592,15982167
2014-03,454,16136986,25592,16163033
2014-04,493140,22191781,26546,22711467
2014-05,18471172,24290411,49815,42811398
2014-06,307954072,24904110,6200565,339058746
2014-07,394829014,18005479,10477376,423311869
2014-08,320210927,14863014,7488005,342561946
2014-09,66857645,17547945,999675,85405265
2014-10,758140,17156164,25592,17939897
2014-11,1,17424658,25592,17450250
2014-12,0,18854795,25592,18880387
2015-01,0,19704110,25592,19729702
2015-02,0,17950685,25592,17976277
2015-03,0,18854795,25592,18880387
2015-04,0,20267680,25592,20293272
2015-05,104,22931507,25592,22957202
2015-06,117158321,20112578,2081287,139352186
2015-07,298378146,18302740,7288235,323969121
2015-08,239070692,17708219,4215480,260994391
2015-09,120779445,17013699,2055111,139848255
2015-10,665683,18472603,25592,19163878
2015-11,115,18689926,25592,18715633
2015-12,42,19746575,25592,19772210
2016-01,0,19534247,25592,19559839
2016-02,0,18104120,25592,18129712
2016-03,2,19236986,25592,19262581
2016-04,609179,18578706,25592,19213477
2016-05,31850345,19152055,86194,51088594
2016-06,328903481,17314695,7015871,353234047
2016-07,428499950,16731507,11598593,456830049
2016-08,293458878,17368493,7193626,318020998
2016-09,35080106,17753425,429531,53263062
2016-10,5931673,18345205,25592,24302470
2016-11,0,19191781,25592,19217373
2016-12,0,20655342,25592,20680935
2017-01,0,21878356,25592,21903948
2017-02,0,20002740,25592,20028332
2017-03,0,22952740,25592,22978332
2017-04,0,22421204,25592,22446796
2017-05,70725420,23242922,1077360,95045702
2017-06,203302079,19315068,3286398,225903546
2017-07,364186131,18175342,8439148,390800621
2017-08,241870449,18387671,4918081,265176201
2017-09,111007943,20547945,2631601,134187490
2017-10,825192,18600000,25594,19450786
2017-11,83408,18821918,25592,18930918
2017-12,9199,19704110,25592,19738901
2018-01,0,21657534,25592,21683126
2018-02,0,20980822,25592,21006414
2018-03,0,24460274,25592,24485866
2018-04,0,24616438,25592,24642030
2018-05,38,25462466,25592,25488096
2018-06,133350499,23342466,2128244,158821209
2018-07,353643444,20411872,9007922,383063238
2018-08,211834220,21466438,4583028,237883686
2018-09,52835454,22520548,524583,75880585
2018-10,0,28536986,25592,28562578
2018-11,0,30547945,25592,30573537
2018-12,0,32125342,25592,32150935
2019-01,1,34821918,25592,34847511
2019-02,0,32449315,25592,32474907
2019-03,1,36577169,25592,36602762
2019-04,4641902,38191781,25964,42859646
2019-05,77092037,39365753,519714,116977505
2019-06,329325569,32602740,6288227,368216535
2019-07,561157879,29895890,14263531,605317300
2019-08,232311995,30858447,5943090,269113533
2019-09,62067252,35219178,672395,97958825
2019-10,1402730,36662100,25592,38090423
2019-11,14,39205479,25592,39231086
2019-12,0,41220091,25592,41245683
2020-01,0,40653881,25592,40679473
2020-02,0,38772603,25592,38798195
2020-03,0,41305023,25592,41330615
2020-04,1,40068493,25592,40094086
2020-05,7378970,39238356,26991,46644317
2020-06,242829370,34438356,3683753,280951479
2020-07,382061526,31934247,8730667,422726439
2020-08,267672998,33505479,5515803,306694281
2020-09,9936348,35232877,107677,45276902
2020-10,2572342,41234247,25592,43832180
2020-11,0,39342466,25592,39368058
2020-12,0,41276712,25592,41302304
