# Official name: Kista Dan Gletsjer, Foreign name: Kista Dan Gletsjer, Mouginot/Mankoff name: Geikie Unnamed Vestford S, Mouginot region: CE, Mankoff discharge gate (2021): 158, closest NSIDC/MEASUREs ID: 126, distance to closest NSIDC/MEASUREs ID: 4335m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,16,26106423,20435,26126873
2010-02,15,23978942,20355,23999312
2010-03,16,26923288,20355,26943659
2010-04,16,26465753,20355,26486124
2010-05,14909820,24375342,20355,39305517
2010-06,150837119,27123288,23971,177984378
2010-07,235904485,26668493,362394,262935373
2010-08,144785263,21232877,190513,166208652
2010-09,43403798,23013699,65854,66483350
2010-10,197,23950685,20355,23971237
2010-11,162,23295245,20355,23315762
2010-12,156,24165370,20355,24185881
2011-01,4928,24254099,20355,24279382
2011-02,5122,21994705,20355,22020182
2011-03,4928,24460274,20355,24485557
2011-04,4769,23835616,20355,23860740
2011-05,4631,25479452,20355,25504438
2011-06,49871413,21698630,20355,71590399
2011-07,145988655,19449315,20355,165458326
2011-08,100934433,22421918,114480,123470831
2011-09,5393415,21698630,20355,27112401
2011-10,0,23101370,20355,23121725
2011-11,0,23003772,20355,23024127
2011-12,0,24402153,20355,24422508
2012-01,0,25054795,20355,25075150
2012-02,0,24051405,20355,24071760
2012-03,0,26328767,20355,26349122
2012-04,0,26136986,20355,26157341
2012-05,11963643,25819178,20355,37803176
2012-06,145428944,26219178,85367,171733489
2012-07,262472981,20978082,449911,283900974
2012-08,201293303,18005479,290522,219589304
2012-09,1270187,16438356,20614,17729157
2012-10,15849,20978082,20623,21014554
2012-11,16803,23589041,20542,23626386
2012-12,20453,24600402,20355,24641209
2013-01,5374,24712072,20355,24737801
2013-02,4854,22400000,20355,22425209
2013-03,5374,24884932,20355,24910661
2013-04,5201,23095890,20355,23121446
2013-05,5744,25989041,20355,26015140
2013-06,87289368,20630137,20358,107939863
2013-07,206473094,25649315,215618,232338027
2013-08,87157977,21572603,74087,108804667
2013-09,9479232,22520548,20355,32020135
2013-10,10083,22676712,20361,22707156
2013-11,84160,22767123,20669,22871953
2013-12,22773,24290411,20567,24333751
2014-01,679,25139726,20355,25160760
2014-02,676,23473973,20355,23495004
2014-03,759,26668493,20355,26689607
2014-04,732,24739726,20355,24760813
2014-05,854,22846575,20355,22867784
2014-06,74364477,24000000,46678,98411155
2014-07,139165095,27602740,190713,166958548
2014-08,101033203,19704110,74738,120812051
2014-09,7107204,22150685,21310,29279199
2014-10,734,22421918,20449,22443101
2014-11,711,22356164,22065,22378940
2014-12,734,23695890,20378,23717002
2015-01,203,24290411,20355,24310969
2015-02,184,20597260,20355,20617799
2015-03,207,26838356,20355,26858918
2015-04,203,24667306,20355,24687863
2015-05,207,24205479,20355,24226041
2015-06,61065157,23487817,20355,84573329
2015-07,164060975,24332877,227866,188621718
2015-08,80178969,22634247,46763,102859978
2015-09,24234379,24246575,20355,48501310
2015-10,729366,24630137,20355,25379858
2015-11,72,23521568,20355,23541995
2015-12,8,24035616,20355,24055980
2016-01,0,23780822,21076,23801898
2016-02,0,22784402,20356,22804759
2016-03,1,25309589,20356,25329946
2016-04,0,25759208,20356,25779564
2016-05,3289195,27432877,20356,30742428
2016-06,122830258,25043600,68670,147942528
2016-07,254966390,23526027,442106,278934523
2016-08,96511618,21869863,20813,118402294
2016-09,5140767,22315068,20356,27476192
2016-10,119312,22965479,20356,23105148
2016-11,277661,22438356,20356,22736373
2016-12,63278,24528219,20356,24611853
2017-01,6758,23678904,20355,23706017
2017-02,0,23320548,20355,23340903
2017-03,1,25224658,20355,25245013
2017-04,0,23549158,20355,23569513
2017-05,23210083,23809132,20355,47039571
2017-06,65980347,25684932,20355,91685633
2017-07,148441257,22874886,20355,171336497
2017-08,102730925,22039726,44647,124815298
2017-09,24311351,25808219,107502,50227072
2017-10,573372,25267123,20383,25860879
2017-11,8106,24821918,20440,24850464
2017-12,2,25670548,20355,25690905
2018-01,0,25292603,20398,25313000
2018-02,0,23186301,20355,23206656
2018-03,0,25649315,20355,25669670
2018-04,0,25767123,20355,25787478
2018-05,0,25343562,20355,25363917
2018-06,79718810,26547945,20355,106287111
2018-07,157914717,24375342,231630,182521689
2018-08,87688882,22188356,85303,109962542
2018-09,12313761,22356164,20683,34690609
2018-10,23752,25267123,20355,25311230
2018-11,3696,24410959,20355,24435009
2018-12,3819,25033562,20355,25057736
2019-01,140,25989041,20355,26009536
2019-02,127,23397260,20355,23417742
2019-03,140,26158904,20355,26179399
2019-04,850870,25835616,20355,26706841
2019-05,25964972,28706849,20355,54692176
2019-06,161148852,23780822,64416,184994091
2019-07,272198873,21190411,450410,293839694
2019-08,133248672,18939726,146880,152335278
2019-09,5908059,18205479,20380,24133918
2019-10,91423,20326941,20378,20438742
2019-11,21601,22068493,20378,22110472
2019-12,86,22818265,20378,22838729
2020-01,2540,22053881,20355,22076777
2020-02,0,21968493,20355,21988848
2020-03,0,23667580,20355,23687935
2020-04,20278,23465753,20355,23506386
2020-05,431153,25592694,20355,26044202
2020-06,84362570,24821918,20355,109204843
2020-07,133129517,19477626,20355,152627497
2020-08,100239138,19534247,20355,119793740
2020-09,844087,19479452,20355,20343894
2020-10,90990,23313699,20355,23425043
2020-11,0,21808219,20355,21828574
2020-12,0,23271233,20355,23291588
