# Official name: Kjer Gletsjer, Foreign name: Kjer Gletsjer, Mouginot/Mankoff name: Hayes Gletscher N Nn, Mouginot region: NW, Mankoff discharge gate (2021): 102, closest NSIDC/MEASUREs ID: 41, distance to closest NSIDC/MEASUREs ID: 7689m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,88727879,1315189,90043068
2010-02,0,86630324,1315189,87945512
2010-03,0,101578082,1315189,102893271
2010-04,0,103561644,1315189,104876833
2010-05,840363,82553425,1350589,84744377
2010-06,16344847,92794521,2699508,111838875
2010-07,22370335,107098630,3331081,132800046
2010-08,22616006,98180822,3331037,124127865
2010-09,620548,86383562,1342063,88346173
2010-10,0,86205479,1315189,87520668
2010-11,479065,80379952,1315778,82174795
2010-12,965,80021883,1315193,81338040
2011-01,0,76887051,1315189,78202240
2011-02,0,66614986,1315189,67930175
2011-03,0,70917808,1315189,72232997
2011-04,0,65589041,1315189,66904230
2011-05,0,64717808,1315189,66032997
2011-06,8326205,82767123,2052586,93145914
2011-07,36400626,99200000,4413014,140013640
2011-08,13219375,72361644,2443538,88024557
2011-09,126290,89342466,1319546,90788302
2011-10,0,87054795,1315189,88369983
2011-11,0,79045668,1315189,80360857
2011-12,0,76513027,1315189,77828216
2012-01,0,71172603,1315189,72487792
2012-02,0,61572522,1315189,62887711
2012-03,0,60810959,1315189,62126148
2012-04,0,53671233,1315189,54986422
2012-05,1262703,60810959,1355885,63429547
2012-06,21331812,79726027,2937509,103995348
2012-07,30478222,86715068,4995133,122188424
2012-08,22930580,68369863,3146050,94446493
2012-09,815138,63369863,1318908,65503909
2012-10,31844,62594521,1315189,63941553
2012-11,0,58191781,1315189,59506970
2012-12,0,61812118,1315189,63127307
2013-01,0,65659303,1315189,66974491
2013-02,0,62750685,1315189,64065874
2013-03,0,72191781,1315189,73506970
2013-04,0,72739726,1315189,74054915
2013-05,0,60471233,1315189,61786422
2013-06,8501733,76602740,1803884,86908357
2013-07,22722053,83997260,3084798,109804111
2013-08,11102660,76438356,1713597,89254613
2013-09,843804,77835616,1315189,79994609
2013-10,0,79071233,1315189,80386422
2013-11,0,75041096,1315189,76356285
2013-12,0,76183562,1315189,77498750
2014-01,0,74654795,1315189,75969983
2014-02,0,66126027,1315189,67441216
2014-03,0,71936986,1315189,73252175
2014-04,0,70438356,1315189,71753545
2014-05,0,72106849,1315189,73422038
2014-06,12541630,73890411,2026852,88458893
2014-07,23289577,88583562,3862834,115735972
2014-08,20316570,62084932,2406488,84807989
2014-09,82384,49232877,1315189,50630449
2014-10,5571,49260274,1315189,50581034
2014-11,0,48739726,1315189,50054915
2014-12,0,51510959,1315189,52826148
2015-01,0,52615068,1315189,53930257
2015-02,0,49019178,1315189,50334367
2015-03,0,58942466,1315189,60257655
2015-04,0,57041096,1315189,58356285
2015-05,527,58942466,1315189,60258181
2015-06,10851560,63504421,2071181,76427163
2015-07,29481662,71979452,4893194,106354308
2015-08,10162049,61617808,1794493,73574350
2015-09,613260,55397260,1323648,57334168
2015-10,0,52487671,1315193,53802864
2015-11,0,51179649,1315193,52494842
2015-12,0,53889041,1315193,55204234
2016-01,0,57456164,1315189,58771353
2016-02,0,52164275,1315189,53479463
2016-03,0,54228767,1315189,55543956
2016-04,0,53832861,1315189,55148050
2016-05,180,58263014,1315189,59578382
2016-06,4031082,60497262,1722047,66250390
2016-07,25577478,65821918,4050495,95449891
2016-08,17264865,66501370,2408447,86174682
2016-09,43744,55520548,1315456,56879748
2016-10,0,52283836,1315206,53599042
2016-11,0,51945205,1315190,53260395
2016-12,0,57566575,1315189,58881764
2017-01,0,59214247,1315189,60529435
2017-02,0,54427397,1315189,55742586
2017-03,0,63104110,1315189,64419298
2017-04,0,63190745,1315189,64505934
2017-05,0,67520548,1315189,68835737
2017-06,3442249,68917808,1656134,74016191
2017-07,25955223,71568950,2819525,100343698
2017-08,18019620,70450685,2272895,90743199
2017-09,960512,71589041,1316073,73865627
2017-10,1688,68964384,1315189,70281260
2017-11,0,72328767,1315189,73643956
2017-12,0,71236301,1315189,72551490
2018-01,0,73788493,1315189,75103682
2018-02,0,69463014,1315189,70778202
2018-03,0,77678356,1315189,78993545
2018-04,0,77178082,1315189,78493271
2018-05,16237,79156164,1315189,80487590
2018-06,11358886,74383562,1711772,87454220
2018-07,16831789,80316895,2016860,99165544
2018-08,17607884,79304795,2619118,99531797
2018-09,664835,74328767,1326981,76320583
2018-10,0,80621233,1315189,81936422
2018-11,0,78876712,1315189,80191901
2018-12,0,85250000,1315189,86565189
2019-01,0,83445205,1315189,84760394
2019-02,0,78131507,1315189,79446696
2019-03,0,87904110,1315189,89219298
2019-04,1338,87013699,1316329,88331365
2019-05,2621894,92745205,1428331,96795430
2019-06,16488994,81698630,2279308,100466933
2019-07,35778468,84252055,4842595,124873118
2019-08,16732481,75390868,2896402,95019750
2019-09,2688915,63904110,1377646,67970671
2019-10,4111,53308676,1315189,54627976
2019-11,0,53958904,1315189,55274093
2019-12,0,62509589,1315189,63824778
2020-01,0,60216438,1315189,61531627
2020-02,0,60423288,1315189,61738476
2020-03,0,65935160,1315189,67250349
2020-04,0,64191781,1315189,65506970
2020-05,2617,62764384,1315189,64082189
2020-06,5127788,60493151,1730856,67351795
2020-07,22603633,62934247,3248236,88786116
2020-08,15649256,60471233,2215211,78335700
2020-09,67331,57835616,1316594,59219541
2020-10,299099,62042466,1318255,63659820
2020-11,0,59890411,1315189,61205600
2020-12,0,63698630,1315189,65013819
