# Official name: Kjer Gletsjer, Foreign name: Kjer Gletsjer, Mouginot/Mankoff name: Kjer Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 95, closest NSIDC/MEASUREs ID: 42, distance to closest NSIDC/MEASUREs ID: 8199m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,182389804,3016599,185406403
2010-02,0,165835643,3016599,168852242
2010-03,0,184726027,3016599,187742627
2010-04,0,180000000,3016599,183016599
2010-05,38295578,201202740,3128188,242626505
2010-06,626874271,195945205,7714356,830533833
2010-07,833978658,199334247,9379327,1042692232
2010-08,784426372,194323288,8999446,987749105
2010-09,19240843,183205479,3091041,205537363
2010-10,0,191435616,3016599,194452216
2010-11,10125814,187343934,3021485,200491232
2010-12,40195,195650807,3016655,198707658
2011-01,0,197768661,3016599,200785260
2011-02,0,180539343,3016599,183555942
2011-03,0,201797260,3016599,204813859
2011-04,0,197342466,3016599,200359065
2011-05,0,205958904,3016599,208975503
2011-06,330319270,203342466,5378094,539039830
2011-07,1173165739,210969863,12494130,1396629732
2011-08,437723546,206213699,6390188,650327432
2011-09,3966067,194136986,3029985,201133038
2011-10,0,205279452,3016599,208296051
2011-11,0,203384458,3016599,206401057
2011-12,0,214916059,3016599,217932658
2012-01,0,219802740,3016599,222819339
2012-02,0,210131491,3016599,213148090
2012-03,0,229145205,3016599,232161805
2012-04,0,226520548,3016599,229537147
2012-05,37110095,233136986,3198323,273445405
2012-06,697217017,219205479,8450060,924872556
2012-07,1243744498,222860274,14186643,1480791414
2012-08,723973092,225493151,8720358,958186601
2012-09,10547377,220767123,3034060,234348560
2012-10,1170642,230673973,3017637,234862252
2012-11,1,225369863,3016599,228386463
2012-12,1,237139896,3016599,240156496
2013-01,0,243268359,3016599,246284958
2013-02,0,225150685,3016599,228167284
2013-03,0,253945205,3016599,256961805
2013-04,0,250767123,3016599,253783723
2013-05,0,262947945,3016599,265964545
2013-06,285698414,266465753,4812525,556976692
2013-07,684359282,280868493,8745627,973973402
2013-08,241056851,270591781,4350025,515998657
2013-09,10341564,274849315,3027107,288217986
2013-10,0,287578082,3016599,290594682
2013-11,0,281835616,3016599,284852216
2013-12,0,294797260,3016599,297813860
2014-01,0,298364384,3016599,301380983
2014-02,0,272712329,3016599,275728928
2014-03,0,305073973,3016599,308090572
2014-04,0,299753425,3016599,302770024
2014-05,0,299298630,3016599,302315229
2014-06,336001737,300000000,5154520,641156258
2014-07,882008099,323419178,10818864,1216246142
2014-08,503048250,325797260,6166713,835012223
2014-09,3692071,312328767,3021312,319042151
2014-10,740656,323589041,3016726,327346424
2014-11,0,311835616,3016599,314852216
2014-12,0,320913699,3016599,323930298
2015-01,0,319597260,3016599,322613859
2015-02,0,286942466,3016599,289959065
2015-03,0,310339726,3016599,313356325
2015-04,0,303065646,3016599,306082245
2015-05,48095,318195890,3016756,321260741
2015-06,327675636,313153967,5370961,646200565
2015-07,1245199966,329958904,13478883,1588637753
2015-08,226210571,338452055,4328837,568991463
2015-09,9780380,368054795,3033863,380869038
2015-10,0,351021918,3016600,354038518
2015-11,0,356520119,3016600,359536719
2015-12,0,384952055,3016600,387968655
2016-01,0,382319178,3016599,385335777
2016-02,0,358918944,3016599,361935543
2016-03,0,385843836,3016599,388860435
2016-04,0,375117854,3016599,378134453
2016-05,0,390175342,3016787,393192130
2016-06,150635197,389632717,4279493,544547406
2016-07,924663041,412724658,11464269,1348851968
2016-08,494666065,395313699,6257831,896237594
2016-09,2201977,410465753,3020928,415688659
2016-10,0,434781370,3016604,437797974
2016-11,0,432616438,3016599,435633038
2016-12,0,456642740,3016599,459659339
2017-01,0,459360548,3016599,462377147
2017-02,0,420019178,3016599,423035777
2017-03,0,473811644,3016599,476828243
2017-04,0,476168059,3016599,479184658
2017-05,0,503926941,3016599,506943540
2017-06,172563804,484191781,4115140,660870725
2017-07,732309473,515222831,8094335,1255626639
2017-08,495436197,496552055,5927796,997916048
2017-09,11063862,498328767,3029540,512422169
2017-10,144525,522073973,3016977,525235474
2017-11,0,514520548,3016599,517537147
2017-12,0,535174658,3016599,538191257
2018-01,0,536886027,3016599,539902627
2018-02,0,477764384,3016599,480780983
2018-03,0,525335342,3016599,528351942
2018-04,0,509712329,3016599,512728928
2018-05,603531,510370411,3017758,513991699
2018-06,220179997,483616438,4188606,707985041
2018-07,332975830,500331507,5325324,838632662
2018-08,563287927,501414384,7438893,1072141203
2018-09,10564584,470000000,3046376,483610961
2018-10,0,510969178,3016599,513985777
2018-11,0,499561644,3016599,502578243
2018-12,0,512880137,3016599,515896736
2019-01,0,506701370,3016599,509717969
2019-02,0,447884932,3016599,450901531
2019-03,0,487025571,3016599,490042170
2019-04,234336,468410959,3018303,471663598
2019-05,76038460,478291781,3408812,557739053
2019-06,474956786,470109589,6025444,951091819
2019-07,1267345222,463768493,13055487,1744169202
2019-08,564525840,451042922,7570479,1023139242
2019-09,38847421,445438356,3195148,487480925
2019-10,243052,500699543,3016982,503959577
2019-11,0,518712329,3016599,521728928
2019-12,0,544637443,3016599,547654042
2020-01,0,534955251,3016599,537971850
2020-02,0,498601370,3016599,501617969
2020-03,0,522442009,3016599,525458608
2020-04,0,509219178,3016599,512235777
2020-05,1970565,517968950,3016599,522956114
2020-06,235875228,498780822,4313330,738969380
2020-07,792799535,540051142,9065364,1341916040
2020-08,387598488,509546575,5517015,902662078
2020-09,2539231,488630137,3024060,494193429
2020-10,7632926,526532877,3025487,537191290
2020-11,0,521506849,3016599,524523448
2020-12,0,549506849,3016599,552523448
