# Official name: Kronborg Gletsjer, Foreign name: Kronborg Gletsjer, Mouginot/Mankoff name: Kronborg, Mouginot region: CE, Mankoff discharge gate (2021): 183, closest NSIDC/MEASUREs ID: 143, distance to closest NSIDC/MEASUREs ID: 6181m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,40441981,270602,40712583
2010-02,0,36751264,270592,37021856
2010-03,0,40767123,270602,41037725
2010-04,0,38794521,270598,39065119
2010-05,17538736,40087671,403990,58030397
2010-06,422182890,38383562,7940465,468506917
2010-07,738248364,38983562,20505120,797737046
2010-08,520820130,38389041,14024762,573233933
2010-09,307060957,35178082,5363870,347602909
2010-10,5131018,36690411,272076,42093505
2010-11,1085,35838453,270498,36110036
2010-12,0,37357380,270498,37627878
2011-01,33,37695824,270499,37966355
2011-02,0,34366546,270499,34637044
2011-03,0,38389041,270499,38659540
2011-04,0,37561644,270499,37832142
2011-05,35,40002740,270498,40273273
2011-06,196522650,43643836,3398323,243564809
2011-07,629596920,45438356,15530185,690565462
2011-08,350314488,45608219,9261338,405184046
2011-09,72470927,43808219,957318,117236465
2011-10,354062,44928767,270522,45553350
2011-11,2311703,43170181,270521,45752405
2011-12,36,44312896,270522,44583454
2012-01,142414,43994521,270498,44407433
2012-02,857441,40749652,270498,41877591
2012-03,0,43315068,270498,43585566
2012-04,0,42246575,270498,42517073
2012-05,4644725,43994521,291737,48930983
2012-06,451434091,42904110,10611138,504949339
2012-07,752024730,35671233,19758272,807454234
2012-08,549132945,36520548,16657303,602310795
2012-09,12490313,35260274,385862,48136449
2012-10,1,35586301,270498,35856800
2012-11,0,33698630,270498,33969128
2012-12,0,34504355,270498,34774853
2013-01,0,34284984,270498,34555482
2013-02,0,30761644,270498,31032142
2013-03,0,33802740,270498,34073238
2013-04,0,35835616,270498,36106114
2013-05,2918868,37369863,270498,40559229
2013-06,250234499,36575342,4300810,291110652
2013-07,645806207,38304110,15708456,699818772
2013-08,354587328,34906849,7094678,396588856
2013-09,27033507,38219178,591097,65843782
2013-10,28227755,42550685,518289,71296729
2013-11,0,39616438,270498,39886936
2013-12,0,39238356,270498,39508854
2014-01,0,37539726,270498,37810224
2014-02,0,32449315,270498,32719813
2014-03,0,38898630,270498,39169128
2014-04,17233,40027397,270498,40315128
2014-05,7512920,39408219,270498,47191638
2014-06,433587214,35178082,9108370,477873666
2014-07,650272734,38049315,16139300,704461349
2014-08,459613441,36690411,11907377,508211229
2014-09,118151405,38753425,1812011,158716841
2014-10,4453553,39493151,270499,44217202
2014-11,7387828,38876712,270498,46535038
2014-12,0,40427397,270498,40697895
2015-01,1397,40682192,270498,40954087
2015-02,1276,36630137,270498,36901911
2015-03,1397,39408219,270498,39680114
2015-04,1423,37898218,270498,38170139
2015-05,895240,38941096,270498,40106834
2015-06,149980333,36806987,3808741,190596060
2015-07,575616227,36690411,16401670,628708307
2015-08,329983464,35076712,6739695,371799871
2015-09,179542102,37890411,2831380,220263893
2015-10,7397350,38558904,270499,46226754
2015-11,1,37252017,270498,37522515
2015-12,0,38473973,270498,38744471
2016-01,0,38856164,270498,39126662
2016-02,0,36245036,270498,36515534
2016-03,0,38643836,270498,38914334
2016-04,0,38176228,270498,38446726
2016-05,13419207,40215068,387942,54022217
2016-06,465630501,36349321,13224827,515204650
2016-07,801514084,35034247,25093402,861641732
2016-08,400670037,35161644,9978726,445810407
2016-09,29636652,37356164,490433,67483249
2016-10,29503152,37862466,357857,67723475
2016-11,914417,36123288,270498,37308203
2016-12,178,38236164,270498,38506840
2017-01,0,37709589,270498,37980087
2017-02,0,32698630,270498,32969128
2017-03,0,37115068,270498,37385566
2017-04,0,36200003,271281,36471284
2017-05,53428328,37511416,748758,91688502
2017-06,269710099,33493151,3776522,306979772
2017-07,523030197,33208219,13696252,569934668
2017-08,278122076,34015068,5599380,317736525
2017-09,181663705,34767123,3017536,219448364
2017-10,8823709,35713699,303141,44840549
2017-11,2431,33452055,270723,33725209
2017-12,1,33866438,270498,34136937
2018-01,4,35008767,270498,35279269
2018-02,0,33964384,270498,34234882
2018-03,0,35297534,270498,35568032
2018-04,0,37479452,270498,37749950
2018-05,1634841,34974795,270525,36880160
2018-06,241568401,33698630,4328693,279595725
2018-07,578555815,35671233,16173426,630400473
2018-08,332852953,31976712,7874567,372704232
2018-09,48346670,30520548,902325,79769544
2018-10,699970,35055479,270498,36025948
2018-11,2321135,34630137,270498,37221770
2018-12,16103,36095890,270498,36382492
2019-01,232596,36095890,270498,36598984
2019-02,0,32487671,270498,32758169
2019-03,0,37115068,270498,37385566
2019-04,9267114,34794521,270498,44332133
2019-05,44770722,35161644,732138,80664504
2019-06,456257145,31424658,10342070,498023873
2019-07,1054604743,28239726,29520533,1112365002
2019-08,479124735,27263014,12726042,519113791
2019-09,129854431,29835616,2565899,162255946
2019-10,7057492,29952511,307535,37317539
2019-11,6,29794521,270498,30065025
2019-12,403019,31283105,270498,31956622
2020-01,0,32528767,271076,32799843
2020-02,0,30589041,271039,30860080
2020-03,0,32557078,271076,32828154
2020-04,180970,32465753,271057,32917781
2020-05,6627781,32358904,271076,39257762
2020-06,341069836,31356164,6306986,378732987
2020-07,588078308,27546119,13478034,629102461
2020-08,440525934,28027397,8292608,476845939
2020-09,13764937,28794521,402260,42961718
2020-10,12301720,30702740,339239,43343698
2020-11,0,31479452,271058,31750510
2020-12,0,34312329,271077,34583406
