# Official name: Laube Gletsjer, Foreign name: Laube Gletsjer, Mouginot/Mankoff name: Laube Gletscher, Mouginot region: CE, Mankoff discharge gate (2021): 215, closest NSIDC/MEASUREs ID: 217, distance to closest NSIDC/MEASUREs ID: 23736m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,6,31606969,35772,31642747
2010-02,0,29809632,35772,29845404
2010-03,0,33463014,35778,33498792
2010-04,0,23013699,35773,23049472
2010-05,6941567,25479452,35772,32456792
2010-06,31289660,28356164,973627,60619451
2010-07,47180830,18684932,1657609,67523371
2010-08,39918784,28367123,1380503,69666410
2010-09,41929814,22356164,867340,65153319
2010-10,6267494,24460274,35772,30763540
2010-11,1295,24995810,35772,25032877
2010-12,23,27131456,35772,27167251
2011-01,67,28473310,35772,28509149
2011-02,61,26943446,35772,26979279
2011-03,58,31084932,35772,31120762
2011-04,208,31479452,35772,31515432
2011-05,163538,27772603,35772,27971913
2011-06,13095575,23835616,35772,36966964
2011-07,43964817,26328767,1379574,71673158
2011-08,28955317,21827397,630765,51413479
2011-09,13244086,20794521,36881,34075487
2011-10,290665,21147945,35772,21474382
2011-11,515164,20132406,35773,20683342
2011-12,232,20472975,35772,20508980
2012-01,587,20128767,35772,20165127
2012-02,539,18501035,35772,18537346
2012-03,575,19449315,35772,19485662
2012-04,553,18493151,37293,18530997
2012-05,2593527,27347945,35772,29977244
2012-06,26499752,29835616,914782,57250150
2012-07,51654325,30575342,1998413,84228080
2012-08,38289121,21317808,1158116,60765044
2012-09,5610452,27452055,35772,33098279
2012-10,238234,27347945,35772,27621952
2012-11,551,25643836,35772,25680158
2012-12,568,25495945,35772,25532285
2013-01,4366,24344152,35772,24384291
2013-02,19890,20942466,35772,20998128
2013-03,7801,22167123,35772,22210696
2013-04,21094,27369863,35772,27426729
2013-05,369201,22591781,35772,22996754
2013-06,15312224,17506849,43646,32862719
2013-07,42500372,25989041,1438711,69928124
2013-08,27455311,27772603,422221,55650135
2013-09,5549731,23753425,35814,29338970
2013-10,3376296,30065753,35816,33477865
2013-11,235,28849315,35814,28885365
2013-12,214,29556164,35816,29592194
2014-01,0,29301370,35908,29337278
2014-02,0,26158904,35835,26194739
2014-03,0,28791781,35863,28827643
2014-04,0,23260274,36160,23296434
2014-05,2584884,18939726,35772,21560383
2014-06,19237200,23424658,100046,42761903
2014-07,46284447,26073973,1401153,73759573
2014-08,40279424,22421918,796232,63497574
2014-09,11599931,24205479,39400,35844810
2014-10,1029685,26753425,35772,27818882
2014-11,217607,25726027,35772,25979406
2014-12,906,24247945,35772,24284623
2015-01,1895,21869863,35919,21907677
2015-02,419,23435616,35792,23471827
2015-03,950,27093151,35818,27129920
2015-04,38,24748900,35904,24784841
2015-05,77,23610959,36201,23647236
2015-06,13702805,21864632,35775,35603212
2015-07,35825160,22124658,990249,58940067
2015-08,32771876,22804110,599958,56175944
2015-09,18909648,21041096,265628,40216372
2015-10,289353,24417808,36013,24743174
2015-11,677,21630085,35829,21666591
2015-12,1256,20383562,35782,20420599
2016-01,2562,21572603,35772,21610937
2016-02,4,19714854,35772,19750630
2016-03,4,20510959,35772,20546736
2016-04,577068,19711615,35772,20324454
2016-05,7381291,20213699,35772,27630762
2016-06,29377678,18277456,507131,48162265
2016-07,48073993,17750685,1742614,67567292
2016-08,34654713,20383562,544657,55582932
2016-09,11695091,21452055,35772,33182918
2016-10,7464027,23033425,37286,30534738
2016-11,721,20013699,36547,20050967
2016-12,681,20349589,35772,20386042
2017-01,549,20672329,35772,20708651
2017-02,65,18065753,41131,18106950
2017-03,55,20128767,75695,20204517
2017-04,53,20214140,35806,20249999
2017-05,6391050,22280365,35772,28707187
2017-06,14898197,24000000,35772,38933970
2017-07,37967278,22874886,1017522,61859686
2017-08,28957290,20935616,656115,50549022
2017-09,21984515,22438356,369434,44792305
2017-10,2443193,20086301,39724,22569218
2017-11,1709,21123288,35839,21160836
2017-12,1558,23356164,35772,23393494
2018-01,12,23407123,36376,23443511
2018-02,12,20194521,35799,20230331
2018-03,581,20706301,35772,20742655
2018-04,0,23547945,35772,23583718
2018-05,26,24205479,35772,24241278
2018-06,12630247,23136986,35772,35803005
2018-07,33804241,23242922,832433,57879596
2018-08,23156920,23186301,616376,46959598
2018-09,11796028,21945205,35772,33777006
2018-10,13397,21169178,35772,21218348
2018-11,1145,20493151,35772,20530068
2018-12,93,24417808,35772,24453674
2019-01,2286,24545205,37169,24584661
2019-02,736,17797260,35772,17833769
2019-03,807,20100457,36052,20137315
2019-04,5363218,23397260,35772,28796251
2019-05,7813958,24842466,35772,32692196
2019-06,29848376,22383562,517012,52748950
2019-07,61555269,21402740,2144804,85102813
2019-08,28657298,21770776,776166,51204240
2019-09,11748629,22726027,35772,34510429
2019-10,1877297,22082192,35772,23995261
2019-11,827,21041096,35772,21077695
2019-12,942,21714155,35772,21750869
2020-01,0,22308676,35772,22344448
2020-02,0,18710959,35772,18746731
2020-03,0,21374429,35772,21410202
2020-04,0,23383562,35772,23419334
2020-05,4698283,25281279,35772,30015334
2020-06,23840403,22397260,35772,46273435
2020-07,42686789,21997260,1134347,65818396
2020-08,35793951,22931507,620057,59345515
2020-09,2340468,22246575,35772,24622816
2020-10,1837360,24375342,35772,26248475
2020-11,817,21260274,35772,21296864
2020-12,838,22761644,35772,22798255
