# Official name: Magga Dan Gletsjer, Foreign name: Magga Dan Gletsjer, Mouginot/Mankoff name: Magga Dan Gletscher, Mouginot region: CE, Mankoff discharge gate (2021): 156, closest NSIDC/MEASUREs ID: 127, distance to closest NSIDC/MEASUREs ID: 3063m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,1217,206221728,3800969,210023914
2010-02,1099,186779309,3800712,190581120
2010-03,1217,207402740,3800712,211204668
2010-04,1177,201452055,3800712,205253944
2010-05,7922428,215726027,3855506,227503962
2010-06,229245019,204904110,5505446,439654575
2010-07,355389736,204005479,9173110,568568326
2010-08,212687207,205364384,8715457,426767047
2010-09,77287670,194136986,4645540,276070197
2010-10,3726,200438356,3802700,204244782
2010-11,2037,193726597,3801631,197530265
2010-12,2108,199875264,3802369,203679740
2011-01,0,199562772,3800712,203363484
2011-02,675,180039932,3800712,183841319
2011-03,0,199249315,3800712,203050027
2011-04,0,198821918,3800815,202622733
2011-05,1025,203071233,3800712,206872970
2011-06,65252899,204986301,3905847,274145048
2011-07,285135042,209016438,6571694,500723174
2011-08,140143165,215131507,5077216,360351888
2011-09,5585636,208027397,3800840,217413873
2011-10,109948,214027397,3800780,217938125
2011-11,950,206182674,3800713,209984337
2011-12,0,212111944,3800712,215912656
2012-01,214,211139726,3800712,214940652
2012-02,192,196609848,3800712,200410752
2012-03,262,209271233,3800712,213072206
2012-04,199,201616438,3800712,205417349
2012-05,8917637,204515068,3800712,217233417
2012-06,223402588,197589041,6148628,427140257
2012-07,394299963,207742466,13047003,615089432
2012-08,308811506,188547945,10539600,507899051
2012-09,1042007,192657534,3801549,197501089
2012-10,327430,194578082,3801579,198707091
2012-11,27700,184520548,3801318,188349566
2012-12,10624,192326423,3800712,196137759
2013-01,1007,196109140,3800712,199910858
2013-02,909,180504110,3800712,184305730
2013-03,1007,202476712,3800712,206278430
2013-04,974,197178082,3800712,200979768
2013-05,1050,200608219,3800712,204409981
2013-06,166030560,185342466,5063887,356436913
2013-07,347581005,198739726,8959817,555280548
2013-08,131890921,198739726,5538854,336169501
2013-09,10345409,183534247,3849441,197729097
2013-10,1804,190671233,3800729,194473767
2013-11,3550,185506849,3801729,189312127
2013-12,1592,192624658,3801397,196427646
2014-01,43956,193643836,3800712,197488504
2014-02,5406,175901370,3800712,179707487
2014-03,926,196446575,3800712,200248213
2014-04,721,193479452,3800712,197280885
2014-05,7057,196956164,3800712,200763933
2014-06,144767175,198904110,5642325,349313610
2014-07,236325047,205873973,7601939,449800958
2014-08,127259746,184386301,5435390,317081437
2014-09,14158483,184397260,3900570,202456313
2014-10,747,203665753,3801014,207467515
2014-11,734,193726027,3840653,197567414
2014-12,805,196658904,3872946,200532656
2015-01,16247,193091781,3800712,196908740
2015-02,14658,174213699,3800712,178029068
2015-03,16234,188420548,3800712,192237494
2015-04,15705,187718727,3800928,191535360
2015-05,16229,200141096,3800712,203958036
2015-06,93652116,195136939,4517935,293306991
2015-07,307357910,202221918,8171755,517751584
2015-08,115384165,192412329,4697406,312493899
2015-09,41537968,188054795,4000780,233593542
2015-10,97005,193983562,3800712,197881279
2015-11,51217,186837739,3800991,190689946
2015-12,22674,192412329,3800712,196235715
2016-01,29,194280822,3803047,198083898
2016-02,27,183117340,3800716,186918084
2016-03,13,197126027,3800716,200926756
2016-04,0,193053467,3800716,196854183
2016-05,3776696,200947945,3800716,208525357
2016-06,202889536,193728892,5547844,402166272
2016-07,371818746,199461644,14041192,585321581
2016-08,123605346,201712329,4337435,329655110
2016-09,4093619,186246575,3800716,194140910
2016-10,10332,189465205,3800716,193276254
2016-11,4657,184643836,3800716,188449208
2016-12,1357,194238356,3800716,198040429
2017-01,170,194696986,3800712,198497868
2017-02,154,176419178,3800712,180220044
2017-03,171,199610274,3800712,203411156
2017-04,165,193575579,3800712,197376456
2017-05,25005733,200438356,3800712,229244800
2017-06,82827242,199150685,4097112,286075039
2017-07,253867769,207232877,5546561,466647207
2017-08,137670456,202901370,5181703,345753529
2017-09,49439982,187397260,4604880,241442123
2017-10,136290,188250685,3803075,192190050
2017-11,9686,182917808,3801136,186728630
2017-12,320,193919863,3801062,197721245
2018-01,979,195070685,3800850,198872513
2018-02,1014,175383562,3800714,179185290
2018-03,995,197431781,3800712,201233487
2018-04,949,190109589,3800712,193911250
2018-05,1077,197092055,3800905,200894036
2018-06,125739699,202849315,4712896,333301911
2018-07,296919154,208931507,9611205,515461865
2018-08,135083104,200841781,5506843,341431727
2018-09,11777206,182109589,3802721,197689516
2018-10,30045,191584247,3867734,195482026
2018-11,8969,186684932,3801326,190495227
2018-12,9266,191881507,3800835,195691608
2019-01,1058,195809589,3801043,199611690
2019-02,956,176860274,3801011,180662241
2019-03,1059,193983562,3801043,197785664
2019-04,170947,187890411,3801043,191862401
2019-05,20042653,203920548,3800728,227763929
2019-06,242361233,198986301,5631004,446978538
2019-07,449268090,203156164,14257616,666681871
2019-08,207009957,189963470,6788780,403762207
2019-09,3370499,176424658,3803684,183598840
2019-10,354,185377169,3800894,189178416
2019-11,3200,183986301,3800888,187790390
2019-12,233,187500457,3800836,191301526
2020-01,5694,191067580,3800712,194873986
2020-02,5325,178409589,3800712,182215626
2020-03,5611,192171689,3800712,195978012
2020-04,5642,187397260,3800712,191203614
2020-05,97371,194747945,3800712,198646027
2020-06,126843863,194383562,3800712,325028136
2020-07,212435730,198852968,6039299,417327998
2020-08,120286373,196106849,4598247,320991469
2020-09,679340,181726027,3802232,186207600
2020-10,1123016,187019178,3801446,191943640
2020-11,70,182821918,3801398,186623387
