# Official name: Marie Sophie Gletsjer, Foreign name: Marie Sophie Gletsjer, Mouginot/Mankoff name: Marie Sophie Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 4, closest NSIDC/MEASUREs ID: 103, distance to closest NSIDC/MEASUREs ID: 4007m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,5661644,280098,5941742
2010-02,0,5132791,280098,5412889
2010-03,0,5690411,280098,5970509
2010-04,0,5506849,280098,5786947
2010-05,211959,5775342,280098,6267399
2010-06,66345984,5589041,316050,72251075
2010-07,450610131,5775342,598278,456983751
2010-08,65276878,5775342,332954,71385175
2010-09,7,5589041,280098,5869145
2010-10,0,5860274,280098,6140372
2010-11,0,5701096,280098,5981194
2010-12,0,5914553,280098,6194651
2011-01,0,5931928,280098,6212025
2011-02,0,5367141,280098,5647238
2011-03,0,5945205,280098,6225303
2011-04,0,5753425,280098,6033522
2011-05,0,5945205,280098,6225303
2011-06,203224983,5753425,429673,209408080
2011-07,476852319,6030137,673272,483555728
2011-08,127121377,6030137,380117,133531631
2011-09,0,5835616,280098,6115714
2011-10,0,6030137,280098,6310235
2011-11,0,5857324,280098,6137421
2011-12,0,6092638,280098,6372735
2012-01,0,6115068,280098,6395166
2012-02,0,5720548,280098,6000646
2012-03,0,6115068,280098,6395166
2012-04,0,5917808,280098,6197906
2012-05,1518072,6200000,280241,7998313
2012-06,251770748,6000000,420577,258191325
2012-07,762704181,6200000,922117,769826297
2012-08,265132676,6200000,479945,271812620
2012-09,0,6000000,280098,6280098
2012-10,0,6284932,280098,6565029
2012-11,0,6082192,280098,6362289
2012-12,0,6295825,280098,6575923
2013-01,0,6326120,280098,6606218
2013-02,0,5753425,280098,6033522
2013-03,0,6454795,280098,6734892
2013-04,0,6246575,280098,6526673
2013-05,156864,6539726,280098,6976688
2013-06,93252933,6410959,370695,100034586
2013-07,340889393,6624658,617576,348131627
2013-08,64932786,6709589,338112,71980487
2013-09,0,6493151,280098,6773248
2013-10,0,6794521,280098,7074618
2013-11,0,6575342,280098,6855440
2013-12,0,6879452,280098,7159550
2014-01,0,6879452,280098,7159550
2014-02,0,6290411,280098,6570509
2014-03,0,6964384,280098,7244481
2014-04,0,6821918,280098,7102015
2014-05,152907,7049315,280098,7482320
2014-06,153061483,6904110,397927,160363519
2014-07,389591632,7134247,590913,397316792
2014-08,165320532,7219178,406882,172946593
2014-09,12,6986301,280098,7266411
2014-10,0,7219178,280098,7499276
2014-11,0,6986301,280098,7266399
2014-12,0,7219178,280098,7499276
2015-01,0,7219178,280098,7499276
2015-02,0,6520548,280098,6800646
2015-03,0,8238356,280098,8518454
2015-04,0,8415490,280098,8695587
2015-05,0,9087671,280098,9367769
2015-06,25877454,9561436,306345,35745234
2015-07,795419259,10573973,1132792,807126024
2015-08,81496753,10871233,348415,92716401
2015-09,0,8383562,280098,8663659
2015-10,0,8493151,280098,8773248
2015-11,0,8057367,280098,8337465
2015-12,0,8238356,280098,8518454
2016-01,0,8493151,280098,8773248
2016-02,0,7840926,280098,8121024
2016-03,0,8280822,280098,8560920
2016-04,0,8299650,280098,8579748
2016-05,3670,9172603,280098,9456371
2016-06,245894384,10122605,462770,256479759
2016-07,625698213,11380822,827784,637906819
2016-08,87642995,11210959,345211,99199165
2016-09,1164,11383562,280098,11664823
2016-10,0,11669589,280098,11949687
2016-11,0,11383562,280098,11663659
2016-12,0,12196164,280098,12476262
2017-01,0,12722740,280098,13002837
2017-02,0,11219178,280098,11499276
2017-03,0,12569863,280098,12849961
2017-04,0,12796145,280098,13076243
2017-05,109432,13730594,280098,14120123
2017-06,241029474,13232877,461967,254724317
2017-07,525074357,13758904,667843,539501104
2017-08,139099347,13758904,390437,153248688
2017-09,2386,13315068,280098,13597552
2017-10,0,13673973,280098,13954070
2017-11,0,12863014,280098,13143111
2017-12,0,13228082,280098,13508180
2018-01,0,13436164,280098,13716262
2018-02,0,11832877,280098,12112974
2018-03,0,12484932,280098,12765029
2018-04,0,11671233,280098,11951331
2018-05,0,12569863,280098,12849961
2018-06,15670279,12657534,280724,28608537
2018-07,247027909,13815525,486191,261329625
2018-08,175157015,14204795,420227,189782036
2018-09,0,14136986,280098,14417084
2018-10,0,15903425,280098,16183522
2018-11,0,14630137,280098,14910235
2018-12,0,14650685,280098,14930783
2019-01,0,14735616,280098,15015714
2019-02,0,12389041,280098,12669139
2019-03,0,14070320,280098,14350417
2019-04,0,13534247,280098,13814344
2019-05,280334,13461644,280098,14022076
2019-06,289319007,15780822,510559,305610387
2019-07,804811960,17580822,1004000,823396781
2019-08,330616433,17382648,617644,348616726
2019-09,49250,16931507,280107,17260864
2019-10,0,16674886,280098,16954984
2019-11,0,16273973,280098,16554070
2019-12,0,16929680,280098,17209778
2020-01,0,16306849,280098,16586947
2020-02,0,15373973,280098,15654070
2020-03,0,15910502,280098,16190600
2020-04,0,16438356,280098,16718454
2020-05,363554,16505023,280098,17148675
2020-06,246212191,21410959,519214,268142364
2020-07,690101526,22506849,873820,713482196
2020-08,166138535,21402740,400309,187941583
2020-09,1764,20794521,280098,21076382
2020-10,0,20765753,280098,21045851
2020-11,0,17013699,280098,17293796
2020-12,0,14650685,280098,14930783
