# Official name: Morell Gletsjer, Foreign name: Morell Gletsjer, Mouginot/Mankoff name: Gade-Morell, Mouginot region: NW, Mankoff discharge gate (2021): 60, closest NSIDC/MEASUREs ID: 61, distance to closest NSIDC/MEASUREs ID: 6719m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,4,2667160,134565,2801729
2010-02,1,2276030,134565,2410595
2010-03,1,2378082,134565,2512648
2010-04,1,2136986,134565,2271552
2010-05,5046680,4841096,134565,10022341
2010-06,83586924,3534247,1123772,88244942
2010-07,123785392,6624658,1595257,132005307
2010-08,104338238,3057534,1571509,108967281
2010-09,3647057,3041096,150418,6838571
2010-10,3,3312329,134565,3446896
2010-11,145914,3313753,134565,3594232
2010-12,384,3511627,134565,3646576
2011-01,2,3589599,134565,3724166
2011-02,0,3309744,134565,3444310
2011-03,0,3736986,134565,3871552
2011-04,0,3698630,134565,3833195
2011-05,0,3906849,134565,4041415
2011-06,50192231,3863014,927019,54982264
2011-07,192497417,4076712,3325377,199899506
2011-08,68353296,4161644,1194974,73709913
2011-09,71041,4109589,134565,4315195
2011-10,83,4246575,134565,4381223
2011-11,79,4137798,134565,4272442
2011-12,86,4340660,134565,4475311
2012-01,14,4416438,134565,4551017
2012-02,1,4210168,134565,4344733
2012-03,1,4586301,134565,4720867
2012-04,1,4520548,134565,4655113
2012-05,3674733,4671233,143574,8489540
2012-06,89514710,4602740,1433411,95550862
2012-07,173361305,4926027,3599301,181886633
2012-08,102271566,1528767,1662394,105462727
2012-09,412923,2383562,134565,2931049
2012-10,1636,3312329,134565,3448529
2012-11,0,3945205,134565,4079770
2012-12,0,3754526,134565,3889091
2013-01,22,3018631,134565,3153219
2013-02,26,2071233,134565,2205824
2013-03,22,1783562,134565,1918149
2013-04,21,1232877,134565,1367463
2013-05,25,2123288,134565,2257878
2013-06,30632864,1726027,577555,32936447
2013-07,97910284,2887671,1692816,102490772
2013-08,49863743,3397260,791256,54052259
2013-09,143594,3780822,134576,4058992
2013-10,40,4161644,134568,4296252
2013-11,27,4273973,134565,4408564
2013-12,28,4756164,134565,4890757
2014-01,0,5010959,134565,5145524
2014-02,0,4756164,134565,4890729
2014-03,0,5520548,134565,5655113
2014-04,0,2712329,134565,2846894
2014-05,0,2972603,134565,3107168
2014-06,39601287,4438356,456364,44496007
2014-07,122488811,5520548,2258107,130267466
2014-08,90409799,3736986,1177240,95324025
2014-09,499268,2589041,134565,3222874
2014-10,474342,2123288,134565,2732195
2014-11,21,2383562,134565,2518148
2014-12,19,2802740,134565,2937324
2015-01,4,3100000,134565,3234569
2015-02,3,3528767,134565,3663335
2015-03,4,5605479,134565,5740048
2015-04,4,5735681,134565,5870249
2015-05,4278,6030137,134565,6168980
2015-06,48773679,5410353,590288,54774321
2015-07,182462868,4798630,3817942,191079439
2015-08,42135614,3864384,422557,46422554
2015-09,171100,7890411,134565,8196076
2015-10,31,5520548,134565,5655144
2015-11,28,4907697,134565,5042290
2015-12,27,4926027,134565,5060620
2016-01,8,6667123,134565,6801696
2016-02,6,6345783,134565,6480354
2016-03,7,6879452,134565,7014024
2016-04,7,7523946,134565,7658518
2016-05,7,8535616,134565,8670188
2016-06,29358591,7034253,544619,36937464
2016-07,146613619,5605479,2534995,154754093
2016-08,94629516,4883562,1408437,100921515
2016-09,102374,6986301,134567,7223242
2016-10,7,3448219,134565,3582791
2016-11,6,5547945,134565,5682516
2016-12,7,7100274,134565,7234845
2017-01,0,5265753,134565,5400318
2017-02,0,4717808,134565,4852373
2017-03,0,3885616,134565,4020181
2017-04,0,4648354,134565,4782919
2017-05,0,6171689,134565,6306254
2017-06,17325861,6863014,266699,24455574
2017-07,110291661,7389041,1352158,119032861
2017-08,69399622,7219178,673084,77291884
2017-09,486739,6904110,134565,7525413
2017-10,0,4713699,134565,4848263
2017-11,0,4890411,134565,5024976
2017-12,0,4373973,134565,4508537
2018-01,0,5860274,134565,5994839
2018-02,0,5273973,134565,5408538
2018-03,0,6047123,134565,6181688
2018-04,0,4972603,134565,5107168
2018-05,17519,6369863,134565,6521947
2018-06,36176216,6780822,291219,43248257
2018-07,49252986,5916895,573434,55743315
2018-08,87660255,4819863,1142002,93622120
2018-09,1646754,4767123,134565,6548442
2018-10,20,5159589,134565,5294174
2018-11,1,4767123,134565,4901689
2018-12,0,4182877,134565,4317442
2019-01,2,2165753,134565,2300320
2019-02,2,5101370,134565,5235936
2019-03,2,4926027,134565,5060594
2019-04,13609,4301370,134565,4449544
2019-05,9464376,4076712,134565,13675653
2019-06,79028787,3589041,961346,83579175
2019-07,206891465,3312329,3667962,213871756
2019-08,105770359,2972603,1940188,110683150
2019-09,7257289,2506849,167685,9931824
2019-10,53214,2208219,134565,2395998
2019-11,3,1808219,134565,1942787
2019-12,3,1472146,134565,1606714
2020-01,7,1811872,134565,1946444
2020-02,6,2184932,134565,2319503
2020-03,7,2774429,134565,2909001
2020-04,7,2835616,134565,2970188
2020-05,251037,3085845,134565,3471447
2020-06,35933373,3123288,645837,39702497
2020-07,124022370,3368950,2292275,129683595
2020-08,68091109,3524658,740937,72356704
2020-09,128600,3534247,134565,3797411
2020-10,771151,3779452,134687,4685290
2020-11,1,2136986,134582,2271570
2020-12,1,1316438,134565,1451004
