# Official name: Naajarsuit Sermiat, Foreign name: Naajarsuit Sermiat, Mouginot/Mankoff name: Nunatakassaap Sermia, Mouginot region: NW, Mankoff discharge gate (2021): 132, closest NSIDC/MEASUREs ID: 25, distance to closest NSIDC/MEASUREs ID: 5044m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,114763183,5009491,119772674
2010-02,0,108704714,5009491,113714206
2010-03,0,122386301,5009491,127395793
2010-04,0,114164384,5009491,119173875
2010-05,40232089,111515068,5089055,156836212
2010-06,649819781,135205479,11606447,796631707
2010-07,917345431,103616438,15425474,1036387344
2010-08,735024386,105145205,14452140,854621732
2010-09,23820761,103150685,5184048,132155494
2010-10,1027713,108032877,5009945,114070535
2010-11,4803473,105969409,5012018,115784900
2010-12,5404,110908297,5009506,115923207
2011-01,0,112359918,5009491,117369409
2011-02,0,102808264,5009491,107817756
2011-03,0,115167123,5009491,120176615
2011-04,0,112931507,5009491,117940998
2011-05,0,118054795,5009491,123064286
2011-06,313955850,115643836,8270056,437869741
2011-07,1175818675,120942466,18885425,1315646565
2011-08,467091457,98180822,10631774,575904054
2011-09,4988414,95506849,5016349,105511613
2011-10,1,99200000,5009491,104209492
2011-11,0,96523894,5009491,101533385
2011-12,0,100271779,5009491,105281270
2012-01,0,100813699,5009491,105823190
2012-02,0,94806133,5009491,99815625
2012-03,0,101832877,5009491,106842368
2012-04,0,99041096,5009491,104050587
2012-05,21506399,97841096,5136585,124484080
2012-06,828057274,114164384,14633219,956854877
2012-07,1232572383,114147945,22041821,1368762150
2012-08,608486605,88838356,12731306,710056267
2012-09,5243070,89506849,5022323,99772242
2012-10,861462,96057534,5009773,101928770
2012-11,0,95917808,5009491,100927300
2012-12,0,99645984,5009491,104655475
2013-01,0,99933211,5009491,104942702
2013-02,0,90520548,5009491,95530039
2013-03,0,100558904,5009491,105568396
2013-04,0,97643836,5009491,102653327
2013-05,0,98095890,5009491,103105382
2013-06,268133093,100109589,7734132,375976814
2013-07,685316890,107268493,13781876,806367259
2013-08,216995112,111090411,7351180,335436703
2013-09,13853601,89342466,5090151,108286218
2013-10,0,90706849,5009491,95716341
2013-11,0,86136986,5009491,91146478
2013-12,0,87394521,5009491,92404012
2014-01,0,85780822,5009491,90790313
2014-02,0,75945205,5009491,80954697
2014-03,0,82553425,5009491,87562916
2014-04,0,99123288,5009491,104132779
2014-05,0,101408219,5009491,106417711
2014-06,333046595,101178082,8298233,442522911
2014-07,922660420,105909589,17093932,1045663942
2014-08,518260532,86460274,11037021,615757827
2014-09,3153232,83260274,5022391,91435898
2014-10,716,84082192,5009491,89092399
2014-11,0,84164384,5009491,89173875
2014-12,0,89900000,5009491,94909491
2015-01,0,90876712,5009491,95886204
2015-02,0,81775342,5009491,86784834
2015-03,0,95547945,5009491,100557437
2015-04,0,92793473,5009491,97802964
2015-05,11559,96100000,5009491,101121050
2015-06,346896940,93568133,8718969,449184042
2015-07,1095324609,97076712,20064441,1212465763
2015-08,172010267,91046575,6696633,269753475
2015-09,5324591,99041096,5015973,109381660
2015-10,0,94741096,5009491,99750587
