# Official name: Naajat Sermiat, Foreign name: Naajat Sermiat, Mouginot/Mankoff name: Naajat Sermiat, Mouginot region: SW, Mankoff discharge gate (2021): 343, closest NSIDC/MEASUREs ID: 203, distance to closest NSIDC/MEASUREs ID: 53593m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,85122,15950760,2100080,18135962
2010-02,2559957,14642033,2106925,19308914
2010-03,2855523,16476712,2104698,21436933
2010-04,3473308,16273973,2098300,21845580
2010-05,219032823,15457534,8302033,242792389
2010-06,273664015,13643836,14059974,301367825
2010-07,328692254,12824658,30580429,372097340
2010-08,375100044,15457534,40037291,430594869
2010-09,144349882,16931507,9131387,170412776
2010-10,36565767,19534247,2427733,58527747
2010-11,8723313,18087830,2097123,28908266
2010-12,9824566,16769425,2102996,28696988
2011-01,428973,14423230,2097854,16950057
2011-02,0,11294091,2097670,13391761
2011-03,145379,11805479,2096688,14047546
2011-04,1569,14054795,2096683,16153046
2011-05,7433501,14098630,2096688,23628819
2011-06,166516601,13232877,8449969,188199447
2011-07,324991104,13249315,28498173,366738592
2011-08,249455046,13249315,18250613,280954974
2011-09,55662673,14794521,3252825,73710018
2011-10,612751,17241096,2098144,19951991
2011-11,81,16596701,2098822,18695605
2011-12,84,16951516,2098249,19049849
2012-01,43,16731507,2097889,18829439
2012-02,15237,15445168,2100382,17560786
2012-03,5754393,16306849,2112974,24174216
2012-04,57587105,15616438,3292845,76496388
2012-05,96299410,15967123,4501827,116768361
2012-06,262760964,15287671,21934819,299983454
2012-07,489443102,14183562,60004650,563631313
2012-08,278005077,12484932,28735464,319225473
2012-09,135162480,14958904,5523114,155644499
2012-10,66238839,12994521,4091873,83325233
2012-11,9145254,10438356,2293681,21877292
2012-12,180132,10679547,2097809,12957488
2013-01,0,10643298,2100248,12743545
2013-02,0,9512329,2099644,11611973
2013-03,0,7898630,2099555,9998186
2013-04,537074,7232877,2099485,9869436
2013-05,14269771,8747945,2171896,25189612
2013-06,160638903,11342466,7120557,179101926
2013-07,253682001,14183562,18248473,286114035
2013-08,202045498,12909589,15183234,230138321
2013-09,59125533,11342466,4043067,74511066
2013-10,8002650,14523288,2217720,24743658
2013-11,136409,12739726,2121110,14997245
2013-12,0,10106849,2157293,12264143
2014-01,13,15542466,2101120,17643599
2014-02,0,10509589,2097212,12606801
2014-03,0,10616438,2100174,12716612
2014-04,94470,9945205,2097189,12136864
2014-05,54352888,9427397,3081923,66862209
2014-06,231523723,15452055,12193180,259168958
2014-07,284256606,13419178,26412888,324088672
2014-08,250023924,11041096,26708179,287773199
2014-09,136100540,11876712,6155899,154133151
2014-10,2279285,14098630,2100867,18478782
2014-11,0,11013699,2097017,13110716
2014-12,0,10658904,2097585,12756489
2015-01,0,7643836,2096560,9740395
2015-02,0,7287671,2096556,9384228
2015-03,0,10701370,2096560,12797930
2015-04,0,10061420,2096563,12157983
2015-05,4853362,10106849,2096575,17056787
2015-06,137798938,11717714,5866174,155382826
2015-07,222564540,14013699,19165453,255743692
2015-08,235225926,12654795,14779545,262660265
2015-09,153167904,10027397,10578130,173773431
2015-10,16286192,12017808,2371021,30675021
2015-11,783,11124861,2096559,13222203
2015-12,23,10998630,2096716,13095369
2016-01,78444,11805479,2096898,13980822
2016-02,111,10001046,2096875,12098032
2016-03,18087,9682192,2096899,11797178
2016-04,12918231,9740228,2106379,24764837
2016-05,96539646,10701370,3545141,110786156
2016-06,297267116,11076213,21682089,330025419
2016-07,319695851,11890411,26242422,357828684
2016-08,255293982,10786301,23895849,289976132
2016-09,38634337,8671233,2865811,50171381
2016-10,9642873,10123836,2177856,21944565
2016-11,13229666,9986301,2211583,25427550
2016-12,1940147,9376438,2097301,13413886
2017-01,1203,9546301,2115779,11663283
2017-02,0,8035616,2096627,10132243
2017-03,0,7813699,2096577,9910276
2017-04,10052,8221310,2096576,10327937
2017-05,109255322,9144292,5679427,124079041
2017-06,194532631,7849315,10593957,212975903
2017-07,284498120,8521461,19225074,312244654
2017-08,272022018,11678082,23299774,306999874
2017-09,132596385,10027397,15067429,157691212
2017-10,6767524,10956164,2097056,19820744
2017-11,1261844,7520548,2097941,10880333
2017-12,40,7601370,2113356,9714766
2018-01,11,8866849,2096695,10963555
2018-02,10,7939726,2098027,10037763
2018-03,15849,7677808,2096688,9790346
2018-04,4173893,7232877,2096683,13503453
2018-05,4938236,8646027,2096688,15680952
2018-06,183763054,7684932,8006322,199454308
2018-07,313612206,7502283,28009378,349123867
2018-08,224934709,9809589,15942901,250687200
2018-09,56805202,8328767,3380144,68514114
2018-10,447006,8620548,2101585,11169139
2018-11,2,7671233,2096757,9767992
2018-12,172341,9342466,2104341,11619148
2019-01,40,8110959,2108098,10219097
2019-02,36,8553425,2099003,10652464
2019-03,40,8436530,2098519,10535089
2019-04,558599,8438356,2096586,11093541
2019-05,116521168,8323288,4338744,129183200
2019-06,268208412,6767123,14460736,289436271
2019-07,306438875,7091781,29806734,343337389
2019-08,236982115,7389041,17710332,262081488
2019-09,86374555,7438356,4572260,98385171
2019-10,16868088,8578082,2272127,27718298
2019-11,33409,7397260,2101743,9532413
2019-12,637371,8181735,2101755,10920861
2020-01,0,9144292,2096688,11240981
2020-02,0,9057534,2096678,11154212
2020-03,3054854,9710502,2096688,14862044
2020-04,1364856,9000000,2096616,12461472
2020-05,69837311,8832877,3244621,81914808
2020-06,205711563,8917808,10559563,225188934
2020-07,313297604,9200913,32997791,355496308
2020-08,246679692,7941096,26722725,281343513
2020-09,99358738,7972603,4786559,112117900
2020-10,22184917,9936986,2419980,34541883
2020-11,1348676,8328767,2096745,11774188
2020-12,38237,9767123,2096741,11902101
