# Official name: Nakkaagajik Timerseq, Foreign name: Vestre Borggletsjer, Mouginot/Mankoff name: Geikie3, Mouginot region: CE, Mankoff discharge gate (2021): 149, closest NSIDC/MEASUREs ID: 130, distance to closest NSIDC/MEASUREs ID: 4547m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,186,23667124,8718,23676028
2010-02,168,21395805,8714,21404687
2010-03,186,23695890,8718,23704794
2010-04,180,22931507,8717,22940403
2010-05,153556,23695890,8718,23858164
2010-06,32279082,22931507,395938,55606527
2010-07,52797515,23695890,792435,77285841
2010-08,39693911,23780822,470372,63945104
2010-09,17949096,23013699,157397,41120192
2010-10,10655,23780822,9415,23800893
2010-11,2507,23022669,9721,23034897
2010-12,288,23811205,9077,23820569
2011-01,304,23836987,8799,23846090
2011-02,216,21549229,8686,21558132
2011-03,240,23865753,8686,23874679
2011-04,232,23095890,8722,23104844
2011-05,97627,23865753,9912,23973292
2011-06,5799071,23095890,116443,29011405
2011-07,42139460,23865753,530789,66536003
2011-08,28278755,23865753,377546,52522054
2011-09,1103264,23095890,21554,24220709
2011-10,1299,23950685,8686,23960670
2011-11,2740,23178082,8686,23189508
2011-12,2649,23950685,8686,23962020
2012-01,200,23950685,8696,23959581
2012-02,5941,22447191,8696,22461828
2012-03,381,24035616,8696,24044694
2012-04,36710,23260274,8692,23305676
2012-05,273371,24035616,8690,24317677
2012-06,30292742,23260274,494349,54047365
2012-07,55206567,24120548,753153,80080267
2012-08,48442507,24120548,850715,73413770
2012-09,12883,23342466,8686,23364035
2012-10,193,24120548,8686,24129427
2012-11,186,23424658,8686,23433530
2012-12,193,24205479,17127,24222799
2013-01,183,24205479,8694,24214356
2013-02,165,21863014,8693,21871872
2013-03,183,24205479,8721,24214383
2013-04,177,23506849,8693,23515720
2013-05,183,24290411,8694,24299288
2013-06,29704407,23506849,412977,53624233
2013-07,54636458,24290411,834344,79761213
2013-08,26777917,24290411,453907,51522235
2013-09,2577478,23506849,50203,26134531
2013-10,524,24375342,8695,24384561
2013-11,169,23589041,8693,23597903
2013-12,108,24375342,8694,24384144
2014-01,355,24375342,8686,24384384
2014-02,217,22016438,8686,22025342
2014-03,241,24460274,8686,24469201
2014-04,14839,23671233,8686,23694758
2014-05,15197,24460274,8686,24484157
2014-06,18256297,23671233,326887,42254417
2014-07,49380118,24460274,567506,74407898
2014-08,23458931,24545205,335054,48339190
2014-09,6640817,23794521,92321,30527658
2014-10,31957,24884932,8686,24925575
2014-11,5165,24328767,8687,24342618
2014-12,757,25352055,8686,25361498
2015-01,218,25564384,8686,25573288
2015-02,71,20213699,8686,20222456
2015-03,6,24927397,8686,24936090
2015-04,0,23924473,8686,23933160
2015-05,0,24375342,8686,24384029
2015-06,9768072,23272898,196396,33237366
2015-07,44336449,23695890,571367,68603707
2015-08,26548540,23271233,331501,50151274
2015-09,10796659,22356164,115703,33268526
2015-10,40896,27220548,8686,27270131
2015-11,25345,25313109,8686,25347141
2015-12,43443,24460274,8686,24512403
2016-01,35457,23058904,8686,23103047
2016-02,6479,22968571,8686,22983736
2016-03,6462,25904110,8686,25919258
2016-04,6105,24624512,8686,24639304
2016-05,77326,24800000,8686,24886012
2016-06,38950536,23632861,474978,63058375
2016-07,57381648,24120548,917069,82419264
2016-08,31835911,23865753,464682,56166346
2016-09,932635,23794521,8686,24735842
2016-10,41986,24732055,8686,24782727
2016-11,47640,24041096,8686,24097423
2016-12,15001,24969863,8686,24993550
2017-01,149,24426301,8686,24435137
2017-02,800,20827397,8812,20837010
2017-03,623,25543151,9026,25552800
2017-04,66,25813503,9009,25822578
2017-05,2973743,27121461,37373,30132577
2017-06,13345999,25479452,251382,39076833
2017-07,51323223,25592694,610110,77526027
2017-08,26769402,24715068,330856,51815326
2017-09,10144166,24246575,132340,34523081
2017-10,674065,23695890,8703,24378658
2017-11,1182,21780822,8686,21790690
2017-12,977,21806164,8686,21815827
2018-01,0,23780822,8701,23789523
2018-02,2379,25583562,8762,25594703
2018-03,0,26549589,8686,26558275
2018-04,0,25808219,8686,25816905
2018-05,2,26838356,8686,26847044
2018-06,18050879,25315068,237691,43603638
2018-07,53833595,25309589,801401,79944584
2018-08,25972137,24566438,317303,50855878
2018-09,2586985,24246575,36369,26869929
2018-10,1073,25564384,8924,25574381
2018-11,4442,22821918,9488,22835848
2018-12,0,20978082,9085,20987167
2019-01,0,21190411,8686,21199097
2019-02,0,18871233,8686,18879919
2019-03,0,20298630,8686,20307316
2019-04,48,18986301,8686,18995036
2019-05,4012639,19024658,8686,23045983
2019-06,31213614,17835616,474153,49523384
2019-07,66697126,17878082,932416,85507625
2019-08,33339483,17241096,433366,51013945
2019-09,1231872,16150685,21882,17404439
2019-10,3251,16080365,8686,16092303
2019-11,2683,15000000,8686,15011369
2019-12,2770,14919635,8686,14931091
2020-01,1646,21770776,8686,21781109
2020-02,1560,21610959,8686,21621205
2020-03,1523,22676712,8686,22686922
2020-04,857,21534247,8686,21543790
2020-05,1178,21827397,8686,21837261
2020-06,25046153,20712329,332981,46091462
2020-07,39738942,20978082,484967,61201991
2020-08,37336620,20638356,459922,58434898
2020-09,8335,19561644,11574,19581553
2020-10,397055,19789041,9033,20195129
2020-11,2738,18739726,8686,18751150
2020-12,1874,19619178,8686,19629738
