# Official name: Nansen Gletsjer, Foreign name: Nansen Gletsjer, Mouginot/Mankoff name: Nansen Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 89, closest NSIDC/MEASUREs ID: 47, distance to closest NSIDC/MEASUREs ID: 14836m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,34419853,3160939,37580792
2010-02,0,31596012,3160938,34756950
2010-03,0,35501370,3160939,38662309
2010-04,0,34931507,3160939,38092445
2010-05,1971616,25734247,3191952,30897815
2010-06,36838089,26712329,4414532,67964950
2010-07,46735233,48580822,5065902,100381957
2010-08,43438028,44843836,4946674,93228537
2010-09,1207193,42164384,3183489,46555066
2010-10,0,42380822,3160939,45541761
2010-11,306686,39834558,3160939,43302183
2010-12,417,39990829,3160939,43152184
2011-01,0,38778967,3169594,41948560
2011-02,0,33922058,3161065,37083124
2011-03,0,36435616,3161084,39596700
2011-04,0,34027397,3161080,37188477
2011-05,0,24375342,3161452,27536794
2011-06,24766709,26547945,3648194,54962848
2011-07,80926089,39578082,6984838,127489009
2011-08,29267337,42295890,4379501,75942728
2011-09,205927,39616438,3164045,42986411
2011-10,0,39578082,3161272,42739354
2011-11,0,36962931,3161318,40124249
2011-12,0,36867938,3161268,40029205
2012-01,0,35501370,3160935,38662304
2012-02,0,31936869,3160935,35097804
2012-03,0,32868493,3160935,36029428
2012-04,0,30493151,3161050,33654201
2012-05,2309326,34312329,3188742,39810397
2012-06,40278727,28684932,4373436,73337095
2012-07,67898164,46712329,7840008,122450501
2012-08,42108970,39408219,5272737,86789926
2012-09,91678,33041096,3161000,36293775
2012-10,16304,33463014,3160935,36640252
2012-11,0,31890411,3160935,35051345
2012-12,0,32486609,3160935,35647544
2013-01,0,32023139,3161106,35184246
2013-02,0,28536986,3161090,31698076
2013-03,0,31254795,3161106,34415901
2013-04,0,29835616,3161101,32996717
2013-05,0,33547945,3161106,36709052
2013-06,14523109,27616438,3500047,45639594
2013-07,42206506,41871233,5017648,89095388
2013-08,14860820,42975342,3618044,61454207
2013-09,332076,30164384,3161018,33657478
2013-10,0,31339726,3161021,34500747
2013-11,0,30493151,3161018,33654169
2013-12,0,31679452,3161024,34840476
2014-01,0,31849315,3160965,35010280
2014-02,0,28920548,3160962,32081510
2014-03,0,32189041,3160965,35350006
2014-04,0,30246575,3160964,33407540
2014-05,0,33887671,3160965,37048636
2014-06,20360258,31972603,3637489,55970350
2014-07,44838882,36860274,6214519,87913675
2014-08,29881344,35331507,4028771,69241622
2014-09,43051,32013699,3160945,35217694
2014-10,72226,33463014,3160944,36696184
2014-11,0,31972603,3160944,35133547
2014-12,0,32613699,3160944,35774643
2015-01,0,32146575,3160944,35307520
2015-02,0,28383562,3160943,31544505
2015-03,0,27645205,3160944,30806150
2015-04,0,28394778,3160944,31555722
2015-05,14061,31594521,3160944,34769526
2015-06,21795963,31829115,3699079,57324157
2015-07,67581763,33505479,7564147,108651389
2015-08,14977948,31764384,3553271,50295603
2015-09,419674,30821918,3160935,34402527
2015-10,0,30787671,3160935,33948606
2015-11,0,29408693,3160935,32569627
2015-12,0,30235616,3160935,33396551
2016-01,0,34736986,3160942,37897928
2016-02,0,29117251,3160943,32278194
2016-03,0,27857534,3160943,31018477
2016-04,3323,28281845,3160947,31446114
2016-05,45165,31254795,3160938,34460897
2016-06,13976763,31880477,3413326,49270567
2016-07,61974250,33845205,6942876,102762331
2016-08,35177773,30320548,4309744,69808064
2016-09,40349,30739726,3160949,33941024
2016-10,0,32036164,3160935,35197099
2016-11,0,27575342,3160935,30736277
2016-12,0,30966027,3160936,34126964
2017-01,0,31543562,3160935,34704496
2017-02,0,27443836,3160935,30604770
2017-03,0,27263014,3160935,30423948
2017-04,0,28264312,3160935,31425247
2017-05,0,31056621,3160935,34217556
2017-06,9923483,26383562,3386770,39693815
2017-07,50139784,29810959,4560586,84511329
2017-08,30940086,33420548,4097665,68458299
2017-09,186598,30821918,3162273,34170789
2017-10,3268,32783562,3160952,35947782
2017-11,0,27863014,3160935,31023948
2017-12,0,28006164,3160935,31167099
2018-01,0,30303562,3160935,33464496
2018-02,0,27328767,3160935,30489702
2018-03,0,26515616,3160935,29676551
2018-04,0,28767123,3160935,31928058
2018-05,27653,29488219,3160935,32676807
2018-06,18737177,25356164,3508880,47602222
2018-07,23868042,27461187,3692079,55021308
2018-08,31999623,29810959,4333534,66144116
2018-09,808411,27808219,3165642,31782272
2018-10,0,28176027,3160935,31336962
2018-11,0,27671233,3160935,30832167
2018-12,0,28133562,3160935,31294496
2019-01,0,28494521,3160935,31655455
2019-02,0,25813699,3160935,28974633
2019-03,0,27857534,3160935,31018469
2019-04,135266,26493151,3161244,29789661
2019-05,8301217,30023288,3267412,41591917
2019-06,33832389,27342466,3903807,65078662
2019-07,78756186,28621918,7170546,114548650
2019-08,37154844,27687671,4820341,69662856
2019-09,3532165,29630137,3211593,36373895
2019-10,4416,28536986,3160935,31702337
2019-11,0,26835616,3160935,29996551
2019-12,0,29527854,3160935,32688788
2020-01,0,27291324,3160935,30452259
2020-02,0,24153425,3160935,27314359
2020-03,0,28905023,3160935,32065957
2020-04,0,28931507,3160935,32092441
2020-05,1630,26357078,3160935,29519642
2020-06,13117475,23917808,3501005,40536288
2020-07,49898092,27263014,5537419,82698525
2020-08,25072068,27687671,4115106,56874845
2020-09,80670,26410959,3163700,29655329
2020-10,67557,26923288,3161421,30152266
2020-11,0,27945205,3160935,31106140
2020-12,0,26583562,3160935,29744496
