# Official name: Narsap Sermia, Foreign name: Narsap Sermia, Mouginot/Mankoff name: Narsap Sermia, Mouginot region: SW, Mankoff discharge gate (2021): 262, closest NSIDC/MEASUREs ID: 209, distance to closest NSIDC/MEASUREs ID: 7372m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,2722,122276248,11074855,133353826
2010-02,2459,115062336,11074855,126139650
2010-03,2722,131983562,11074855,143061139
2010-04,288220,132657534,11074856,144020611
2010-05,212707435,145742466,12502433,370952334
2010-06,903965196,110712329,22619954,1037297479
2010-07,1894875270,125528767,39561202,2059965239
2010-08,1912687710,119498630,42771010,2074957350
2010-09,293346483,104054795,15058105,412459382
2010-10,15557797,119158904,11118666,145835366
2010-11,23544000,126944218,11117850,161606068
2010-12,116181,142796757,11074892,153987829
2011-01,4783,154812774,11074855,165892412
2011-02,4320,150705664,11074855,161784840
2011-03,4783,177761644,11074855,188841282
2011-04,4629,183780822,11074855,194860306
2011-05,85582,191435616,11074855,202596054
2011-06,786563252,199150685,23513913,1009227850
2011-07,1988424520,200183562,41949495,2230557577
2011-08,1200365914,204939726,30986592,1436292231
2011-09,48576912,168246575,11405141,228228628
2011-10,57295,162983562,11074855,174115712
2011-11,2189271,165862039,11074855,179126165
2011-12,470,189149011,11074894,200224375
2012-01,2403,207487671,11074855,218564929
2012-02,335249,211598433,11074855,223008537
2012-03,116300,236449315,11074855,247640470
2012-04,14444217,206712329,11157676,232314221
2012-05,129847308,241460274,12159979,383467561
2012-06,1809227396,245589041,42823178,2097639615
2012-07,3908019841,198994521,92799468,4199813830
2012-08,1621997608,169863014,41407449,1833268071
2012-09,152339070,174657534,12323946,339320550
2012-10,36462200,171476712,11326460,219265372
2012-11,10798107,200547945,11074923,222420976
2012-12,290,220659314,11074855,231734460
2013-01,464483,229616960,11093840,241175283
2013-02,872150,215254795,11075612,227202556
2013-03,161721,247320548,11075142,258557411
2013-04,2952936,223726027,11075470,237754434
2013-05,12665897,239167123,11077711,262910732
2013-06,328120353,253808219,14370661,596299233
2013-07,1165034581,235939726,27934751,1428909058
2013-08,623199617,209950685,20008668,853158969
2013-09,46191008,190027397,11471918,247690323
2013-10,9826931,179884932,11084145,200796008
2013-11,713,224219178,11074855,235294747
2013-12,8040,239761644,11074855,250844539
2014-01,0,248084932,11074969,259159901
2014-02,42,224536986,11074958,235611986
2014-03,0,246810959,11074969,257885928
2014-04,0,233095890,11074965,244170856
2014-05,24833954,258361644,11090224,294285821
2014-06,669384951,230383562,19262206,919030719
2014-07,1610240953,210205479,33524765,1853971198
2014-08,1384900974,183536986,35809966,1604247927
2014-09,107543237,191753425,12096442,311393104
2014-10,2027076,185915068,11074997,199017142
2014-11,33852,184849315,11074974,195958142
2014-12,39426,202391781,11074942,213506149
2015-01,122051,204897260,11074944,216094256
2015-02,410085,199989041,11074935,211474061
2015-03,0,228380822,11074944,239455766
2015-04,0,225365127,11074941,236440068
2015-05,1464432,236236986,11074944,248776363
