# Official name: Neqip Sermia, Foreign name: Morris Jesup Gletsjer, Mouginot/Mankoff name: Morris Jesup, Mouginot region: NW, Mankoff discharge gate (2021): 34, closest NSIDC/MEASUREs ID: 87, distance to closest NSIDC/MEASUREs ID: 4567m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,4161644,83790,4245433
2010-02,0,3758904,83790,3842694
2010-03,0,4161644,83790,4245433
2010-04,0,4027397,83790,4111187
2010-05,8202,4076712,83790,4168704
2010-06,59308675,3945205,370585,63624465
2010-07,159894399,2378082,791756,163064237
2010-08,63642675,2463014,306770,66412458
2010-09,620781,2465753,85220,3171754
2010-10,0,2717808,83790,2801598
2010-11,0,2769384,83790,2853174
2010-12,0,2989679,83790,3073469
2011-01,6,3110839,83790,3194635
2011-02,5,2909555,83790,2993350
2011-03,6,3312329,83790,3396124
2011-04,5,3287671,83790,3371466
2011-05,5,3482192,83790,3565987
2011-06,67659818,3534247,333796,71527861
2011-07,274979200,3397260,1182863,279559323
2011-08,104225285,1953425,476226,106654935
2011-09,0,2136986,83790,2220776
2011-10,0,2463014,83790,2546803
2011-11,0,2609450,83790,2693239
2011-12,0,2910191,83790,2993981
2012-01,166,3142466,83790,3226422
2012-02,156,3183390,83790,3267335
2012-03,166,3652055,83790,3736011
2012-04,161,3780822,83790,3864773
2012-05,26993,4161644,83963,4272600
2012-06,93122382,4273973,491790,97888145
2012-07,315611488,3227397,1580777,320419663
2012-08,92097686,4076712,543804,96718203
2012-09,7700,2876712,83790,2968202
2012-10,1549,1953425,83790,2038764
2012-11,288,986301,83790,1070379
2012-12,298,1019178,83790,1103266
2013-01,228,1019178,83790,1103196
2013-02,205,920548,83790,1004542
2013-03,227,1019178,83790,1103195
2013-04,220,1808219,83790,1892228
2013-05,348,1528767,83790,1612905
2013-06,3156480,575342,110686,3842508
2013-07,85947228,3482192,475677,89905097
2013-08,36163131,2802740,219881,39185752
2013-09,0,1561644,83790,1645433
2013-10,0,1528767,83790,1612557
2013-11,0,1397260,83790,1481050
2013-12,0,1358904,83790,1442694
2014-01,0,1358904,83790,1442694
2014-02,0,1150685,83790,1234475
2014-03,0,1189041,83790,1272831
2014-04,0,739726,83790,823516
2014-05,0,254795,83790,338584
2014-06,18889880,2465753,185773,21541407
2014-07,163154732,2378082,781958,166314772
2014-08,77873667,2632877,416546,80923090
2014-09,367,1849315,83790,1933472
2014-10,146,2123288,83790,2207223
2014-11,0,2054795,83790,2138584
2014-12,0,2123288,83790,2207077
2015-01,556,2038356,83790,2122701
2015-02,0,1457534,83790,1541324
2015-03,0,1953425,83790,2037214
2015-04,0,1574613,83790,1658403
2015-05,0,1316438,83790,1400228
2015-06,48037541,2305578,270796,50613916
2015-07,290771409,3397260,2103820,296272489
2015-08,42178595,2675342,261304,45115241
2015-09,1915,2219178,83790,2304883
2015-10,1665,2080822,83790,2166276
2015-11,2481,2024354,83790,2110624
2015-12,832,2123288,83790,2207910
2016-01,0,2335616,83790,2419406
2016-02,0,1955518,83790,2039307
2016-03,0,1868493,83790,1952283
2016-04,0,1873715,83790,1957505
2016-05,0,2080822,83790,2164612
2016-06,43640956,2389036,265273,46295266
2016-07,216025386,2760274,1007604,219793264
2016-08,109971860,2080822,510253,112562935
2016-09,6980,2219178,83790,2309947
2016-10,0,2293151,83790,2376940
2016-11,0,2630137,83790,2713927
2016-12,0,2446027,83790,2529817
2017-01,0,2802740,83790,2886529
2017-02,0,2243836,83790,2327625
2017-03,0,2569178,83790,2652968
2017-04,0,2279278,83790,2363068
2017-05,0,2151598,83790,2235388
2017-06,12704303,2630137,121886,15456327
2017-07,118205714,3736986,506608,122449309
2017-08,62654730,3354795,265758,66275282
2017-09,0,3534247,83790,3618036
2017-10,0,3227397,83790,3311187
2017-11,0,3123288,83790,3207077
2017-12,0,3715753,83790,3799543
2018-01,0,3906849,83790,3990639
2018-02,0,3452055,83790,3535844
2018-03,0,3210411,83790,3294201
2018-04,0,3780822,83790,3864612
2018-05,0,3431233,83790,3515022
2018-06,19369751,3287671,150258,22807680
2018-07,42756117,4218265,271080,47245463
2018-08,58707252,4246575,300982,63254809
2018-09,0,4054795,83790,4138584
2018-10,0,4289041,83790,4372831
2018-11,0,4767123,83790,4850913
2018-12,0,4947260,83790,5031050
2019-01,0,5095890,83790,5179680
2019-02,0,4679452,83790,4763242
2019-03,0,5124201,83790,5207991
2019-04,0,4986301,83790,5070091
2019-05,14729,4119178,83790,4217697
2019-06,39447801,4876712,265733,44590246
2019-07,229611165,5350685,1136694,236098544
2019-08,134919849,4303196,890633,140113678
2019-09,4921370,3986301,88921,8996592
2019-10,1863179,3708676,83790,5655645
2019-11,146956,4027397,83790,4258143
2019-12,0,4586301,83790,4670091
2020-01,158,4982648,83790,5066596
2020-02,148,4806849,83790,4890787
2020-03,158,5095890,83790,5179838
2020-04,153,4150685,83790,4234628
2020-05,158,3567123,83790,3651071
2020-06,54570240,4273973,319956,59164168
2020-07,270865467,4812785,1523153,277201405
2020-08,70892443,4204110,466789,75563341
2020-09,2549,4000000,83790,4086338
2020-10,578,4458904,83790,4543271
2020-11,914,4109589,83790,4194293
2020-12,891,4671233,83790,4755914
