# Official name: Nigerlikasik Brae, Foreign name: Nigerlikasik Brae, Mouginot/Mankoff name: Avannarleq-Nigerlikasik, Mouginot region: SW, Mankoff discharge gate (2021): 315, closest NSIDC/MEASUREs ID: 205, distance to closest NSIDC/MEASUREs ID: 15204m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,80448,4273508,1996848,6350804
2010-02,10819,3882997,1996848,5890663
2010-03,0,4331507,1996848,6328354
2010-04,415012,4520548,1996848,6932407
2010-05,79210973,4416438,3311242,86938654
2010-06,97205144,4027397,5374728,106607268
2010-07,128162973,3991781,10300180,142454933
2010-08,147628972,4246575,10586960,162462507
2010-09,37636534,4356164,3268338,45261036
2010-10,12915451,4246575,2059371,19221397
2010-11,5584569,4075782,2012865,11673217
2010-12,273556,4187786,1996848,6458190
2011-01,2111,4171998,1996848,6170957
2011-02,0,3760831,1996848,5757679
2011-03,22416,4161644,1996848,6180908
2011-04,0,4273973,1996848,6270820
2011-05,58350,4331507,1996848,6386704
2011-06,63717257,3863014,4832955,72413225
2011-07,128974097,3142466,7820062,139936625
2011-08,88460617,3397260,6375325,98233202
2011-09,14792625,3534247,2110345,20437216
2011-10,7516,3991781,1996848,5996145
2011-11,0,3974779,1996848,5971626
2011-12,0,4175452,1996848,6172299
2012-01,0,4246575,1996848,6243423
2012-02,211283,4075009,1996848,6283140
2012-03,2759423,4416438,1996848,9172708
2012-04,12140273,3698630,2046282,17885185
2012-05,42960200,3821918,2624830,49406948
2012-06,114670365,3452055,8613113,126735532
2012-07,206701965,3227397,18943350,228872712
2012-08,120607073,3397260,8077780,132082114
2012-09,33624395,3287671,2347475,39259541
2012-10,15071423,3567123,2201650,20840196
2012-11,5388369,3534247,2073535,10996151
2012-12,1,3619374,1996848,5616222
2013-01,0,3528489,1996848,5525336
2013-02,0,3068493,1996848,5065341
2013-03,1004,3142466,1996848,5140317
2013-04,50872,3534247,1996848,5581966
2013-05,884257,4076712,1996848,6957817
2013-06,49370227,3287671,3132657,55790556
2013-07,103209289,3397260,5583843,112190392
2013-08,74258766,3397260,4800443,82456469
2013-09,15391280,3205479,2211047,20807806
2013-10,1388418,3821918,1999389,7209724
2013-11,6498,3534247,1996848,5537592
2013-12,73,3482192,1996848,5479112
2014-01,0,3397260,1996848,5394108
2014-02,0,2915068,1996848,4911916
2014-03,0,3991781,1996848,5988628
2014-04,0,3287671,1996848,5284519
2014-05,10963936,3482192,2141548,16587675
2014-06,88232528,3945205,4573958,96751691
2014-07,119168229,4161644,6949747,130279620
2014-08,97487829,3652055,7295610,108435494
2014-09,29960720,3863014,2442937,36266671
2014-10,486518,3567123,1996848,6050489
2014-11,0,3616438,1996848,5613286
2014-12,0,3652055,1996848,5648902
2015-01,0,3100000,1996848,5096848
2015-02,14693,3183562,1996848,5195102
2015-03,0,3949315,1996848,5946163
2015-04,0,3421907,1996848,5418756
2015-05,44612,3142466,1996849,5183927
2015-06,40543552,3504266,3052790,47100608
2015-07,86261387,4076712,5417439,95755538
2015-08,85861500,3142466,4453076,93457041
2015-09,40541462,3205479,3078301,46825242
2015-10,3280486,2632877,2005517,7918880
2015-11,0,2502478,1996848,4499326
2015-12,0,2547945,1996848,4544793
2016-01,0,2378082,1996848,4374930
2016-02,0,2399389,1996848,4396236
2016-03,0,2802740,1996848,4799587
2016-04,14588839,2851488,2021815,19462142
2016-05,39122641,3015068,2478108,44615817
2016-06,105913485,2580957,6226609,114721052
2016-07,124144511,2335616,8230703,134710831
2016-08,100525643,2590411,7995515,111111569
2016-09,11853336,3041096,2142525,17036957
2016-10,2733638,3329315,2007683,8070637
2016-11,4036353,3205479,2007452,9249285
2016-12,0,3227397,1996848,5224245
2017-01,0,3499178,1996848,5496026
2017-02,0,3068493,1996848,5065341
2017-03,0,3588356,1996848,5585204
2017-04,0,3573967,1996848,5570814
2017-05,24276344,3736986,2536449,30549780
2017-06,78189240,3575342,3512502,85277084
2017-07,103664970,3368950,5726742,112760661
2017-08,128843399,2802740,7329564,138975702
2017-09,33268038,2876712,3778258,39923009
2017-10,5899293,2972603,2075917,10947813
2017-11,925438,3287671,1996848,6209956
2017-12,113,3121233,1996848,5118194
2018-01,0,3278356,1996848,5275204
2018-02,0,3126027,1996848,5122875
2018-03,0,3346301,1996848,5343149
2018-04,721,3698630,1996848,5696199
2018-05,79964,3550137,1996848,5626949
2018-06,57449615,3493151,3388199,64330965
2018-07,128991009,3482192,8066756,140539957
2018-08,79063328,2972603,4726992,86762923
2018-09,12016095,3150685,2162869,17329650
2018-10,19167,3460959,1996848,5476974
2018-11,0,3150685,1996848,5147532
2018-12,0,3439726,1996848,5436574
2019-01,0,3439726,1996848,5436574
2019-02,0,3068493,1996848,5065341
2019-03,0,3538813,1996848,5535660
2019-04,1641,3808219,1996848,5806707
2019-05,32483899,3949315,2269597,38702812
2019-06,107167737,3698630,5726717,116593084
2019-07,125529219,3482192,9225364,138236775
2019-08,82390477,3397260,6045775,91833512
2019-09,23622927,3287671,2381753,29292351
2019-10,1146188,3595434,1996848,6738470
2019-11,8080,3534247,1996848,5539174
2019-12,13413,3736986,1996848,5747247
2020-01,0,3765297,1996848,5762144
2020-02,0,3575342,1996848,5572190
2020-03,16845,3906849,1996848,5920542
2020-04,56929,3780822,1996848,5834599
2020-05,23801319,4020091,2053937,29875347
2020-06,75792191,3575342,4687346,84054879
2020-07,131338188,3482192,10742940,145563320
2020-08,113425360,3439726,8543811,125408897
2020-09,32604247,3232877,2661880,38499004
2020-10,10275720,3439726,2008015,15723460
2020-11,249324,3150685,1996848,5396857
2020-12,46572,3269863,1996848,5313283
