# Official name: Nigertiip Apusiia, Foreign name: Midgaard Gletsjer, Mouginot/Mankoff name: Midgardgletscher, Mouginot region: SE, Mankoff discharge gate (2021): 228, closest NSIDC/MEASUREs ID: 173, distance to closest NSIDC/MEASUREs ID: 7045m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,311,222936919,778369,223715599
2010-02,281,199343320,778369,200121970
2010-03,311,219887671,778369,220666351
2010-04,301,225616438,778369,226395108
2010-05,143530479,238912329,2776742,385219549
2010-06,832940084,254136986,21654679,1108731749
2010-07,1014065499,249613699,31457444,1295136642
2010-08,818166782,263287671,26534694,1107989147
2010-09,552947100,254794521,14864060,822605681
2010-10,75322307,257257534,1433164,334013005
2010-11,49032,242823494,778410,243650936
2010-12,3214,244731672,778412,245513298
2011-01,900,238282760,778507,239062167
2011-02,84,209342001,778494,210120579
2011-03,93,225832877,779180,226612150
2011-04,424,212054795,778589,212833807
2011-05,537122,262523288,778596,263839006
2011-06,330914723,286109589,5974005,622998317
2011-07,1005528138,249613699,25623588,1280765424
2011-08,573669354,284860274,14616236,873145864
2011-09,116328146,265808219,1939695,384076060
2011-10,3794,264816438,778466,265598699
2011-11,827236,246433396,778463,248039095
2011-12,512,244847175,778466,245626153
2012-01,2057,234920548,778369,235700974
2012-02,1924,208577646,778369,209357940
2012-03,2063,216490411,778369,217270843
2012-04,1873,244191781,778889,244972543
2012-05,35729885,261758904,1190417,298679206
2012-06,883201972,260712329,21743265,1165657565
2012-07,1295557109,236704110,37308711,1569569930
2012-08,756708516,257682192,20983547,1035374254
2012-09,30719630,279780822,968603,311469055
2012-10,4625,262013699,778432,262796755
2012-11,4373,230876712,778415,231659501
2012-12,4519,234766857,778417,235549792
2013-01,7067,232740544,778370,233525980
2013-02,6472,208350685,778370,209135526
2013-03,7151,228126027,778370,228911548
2013-04,6920,219287671,778370,220072961
2013-05,8202756,255219178,783148,264205083
2013-06,614931433,212630137,12488349,840049919
2013-07,951248481,218189041,26581539,1196019061
2013-08,513496781,264731507,12152769,790381057
2013-09,32012384,250849315,1049212,283910911
2013-10,64931011,263287671,1676007,329894689
2013-11,6678,243534247,778370,244319294
2013-12,6784,240441096,778370,241226250
2014-01,420,229060274,778369,229839063
2014-02,379,196843836,778369,197622584
2014-03,420,217000000,778369,217778789
2014-04,1917057,222575342,793716,225286115
2014-05,73434957,260400000,1000151,334835108
2014-06,763825629,228575342,17435271,1009836243
2014-07,980573679,201882192,29372267,1211828138
2014-08,734037476,210035616,22403295,966476387
2014-09,132110460,200958904,2792541,335861904
2014-10,16699,215895890,778369,216690958
2014-11,507,218054795,778369,218833670
2014-12,0,218698630,778369,219476999
2015-01,224,211861644,778369,212640237
2015-02,202,190898630,778369,191677202
2015-03,224,215386301,778369,216164895
2015-04,216,202646264,778369,203424849
2015-05,788012,203113699,778369,204680080
2015-06,339980133,195626148,6911040,542517321
2015-07,835873087,201797260,23136748,1060807095
2015-08,554190931,204684932,14110918,772986780
2015-09,234503164,207369863,4511670,446384697
2015-10,2460935,206510959,778369,209750263
2015-11,2638,198171199,778369,198952206
2015-12,829,204090411,778369,204869609
2016-01,0,203920548,778371,204698919
2016-02,0,191264923,778370,192043293
2016-03,2,204939726,778371,205718099
2016-04,3215904,194962123,778370,198956397
2016-05,117442681,194238356,1654534,313335571
2016-06,874473669,172568847,23895561,1070938077
2016-07,1127123090,164257534,34350423,1325731047
2016-08,691716167,160605479,18422284,870743930
2016-09,61832681,178931507,1478234,242242423
2016-10,4824315,183604932,778371,189207617
2016-11,16,193849315,778370,194627702
2016-12,1,197092055,778371,197870426
2017-01,142,204973699,778369,205752210
2017-02,128,190994521,778369,191773018
2017-03,142,212158904,778369,212937416
2017-04,138,199807529,778369,200586036
2017-05,234183054,196842922,4391893,435417869
2017-06,601916753,181356164,9903747,793176664
2017-07,942278045,178044749,22607445,1142930238
2017-08,592099724,164809589,15826671,772735983
2017-09,289974270,168739726,8074457,466788453
2017-10,706409,154872603,778406,156357417
2017-11,1432872,163972603,778369,166183843
2017-12,102736,170627397,778369,171508502
2018-01,0,173430137,778369,174208506
2018-02,0,154536986,778369,155315355
2018-03,0,173888767,778369,174667136
2018-04,0,176835616,778369,177613986
2018-05,320650,176436712,778369,177535732
2018-06,418241586,158301370,7823586,584366542
2018-07,920240698,154405479,25047204,1099693382
2018-08,521682123,152218493,13285247,687185863
2018-09,119376339,140821918,1522058,261720315
2018-10,652,162771233,778373,163550257
2018-11,94,160575342,778372,161353808
2018-12,53,173515068,778373,174293494
2019-01,1305,181073973,778369,181853646
2019-02,1154,166312329,778369,167091852
2019-03,1278,185263927,778369,186043574
2019-04,7863173,176986301,784344,185633818
2019-05,206594881,164979452,2229096,373803430
2019-06,868465096,151260274,19866912,1039592281
2019-07,1459527728,142515068,44080103,1646122899
2019-08,604874528,129916895,18758171,753549594
2019-09,126951166,135452055,2018893,264422114
2019-10,1662219,141495890,778369,143936479
2019-11,5523,150780822,778369,151564714
2019-12,57,156840183,778369,157618609
2020-01,0,158482192,778371,159260563
2020-02,0,152984932,778371,153763303
2020-03,0,168702283,778371,169480655
2020-04,3945,169438356,778371,170220672
2020-05,31987786,155962557,800863,188751206
2020-06,654652272,147410959,11095518,813158749
2020-07,936226120,133682192,25587368,1095495679
2020-08,615291808,132153425,15227700,762672933
2020-09,27584610,132109589,978665,160672865
2020-10,11383903,147058904,778371,159221179
2020-11,0,144767123,778371,145545495
2020-12,0,154532877,778371,155311248
