# Official name: Nigertuluup Kattilertarpia Kiatteq, Foreign name: Nigertuluup Kattilertarpia Kiatteq, Mouginot/Mankoff name: Nigertuluup Kattilertarpia, Mouginot region: SE, Mankoff discharge gate (2021): 226, closest NSIDC/MEASUREs ID: 168, distance to closest NSIDC/MEASUREs ID: 9775m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,7582,9819795,17277,9844653
2010-02,0,8847169,17277,8864446
2010-03,0,9767123,17277,9784400
2010-04,0,9369863,17277,9387140
2010-05,35842586,9682192,635782,46160560
2010-06,152130385,9369863,3123972,164624220
2010-07,213219096,9682192,4564173,227465461
2010-08,177454251,9597260,3599472,190650983
2010-09,144665266,9287671,2531775,156484713
2010-10,19076653,9597260,215876,28889790
2010-11,716,9284043,17277,9302037
2010-12,19,9582909,17277,9600205
2011-01,0,9565000,17277,9582277
2011-02,0,8617032,17277,8634309
2011-03,0,9512329,17277,9529606
2011-04,0,9123288,17277,9140565
2011-05,38004,9427397,17277,9482679
2011-06,54359647,9123288,1135109,64618044
2011-07,175598366,9427397,4206444,189232207
2011-08,124700211,9342466,2635421,136678098
2011-09,37794659,9041096,596547,47432302
2011-10,11968,9342466,17277,9371711
2011-11,635194,9019389,17277,9671860
2011-12,0,9279965,17277,9297242
2012-01,1,9257534,17277,9274812
2012-02,1,8660274,17277,8677552
2012-03,1,9257534,17277,9274812
2012-04,1,8958904,17277,8976182
2012-05,6575046,9172603,168275,15915923
2012-06,118807494,8876712,2822837,130507043
2012-07,237713539,9172603,5099130,251985271
2012-08,168910999,9172603,3592173,181675775
2012-09,14361606,8876712,241275,23479594
2012-10,276682,9087671,17277,9381630
2012-11,1,8794521,17277,8811799
2012-12,1,9087671,17277,9104949
2013-01,0,9087671,17288,9104959
2013-02,0,8208219,17287,8225506
2013-03,0,9172603,17288,9189891
2013-04,0,8876712,17288,8894000
2013-05,1081115,9172603,17288,10271006
2013-06,83372641,8876712,1666261,93915614
2013-07,180212295,9172603,4105589,193490487
2013-08,110765726,9172603,2124357,122062686
2013-09,15223530,8876712,188196,24288438
2013-10,17744369,9172603,343761,27260733
2013-11,0,8876712,17288,8894000
2013-12,0,9172603,17288,9189891
2014-01,3,9172603,17277,9189882
2014-02,2,8284932,17277,8302211
2014-03,3,9257534,17277,9274814
2014-04,18835,8958904,17277,8995017
2014-05,5568849,9257534,102817,14929200
2014-06,119267554,8958904,2632165,130858624
2014-07,181875000,9257534,4370614,195503149
2014-08,149683932,9257534,3050753,161992219
2014-09,42576580,9000000,715721,52292301
2014-10,648846,9597260,17277,10263383
2014-11,540881,9452055,17277,10010213
2014-12,0,10021918,17277,10039195
2015-01,0,10191781,17277,10209058
2015-02,0,8668493,17277,8685770
2015-03,0,9936986,17277,9954263
2015-04,3819,10038013,17277,10059109
2015-05,572023,10616438,17277,11205738
2015-06,57274680,9389739,1228882,67893301
2015-07,134497858,8832877,3263756,146594491
2015-08,110068014,9342466,2408175,121818655
2015-09,66600874,9041096,1259476,76901446
2015-10,398249,8408219,17277,8823746
2015-11,1,7922941,17277,7940219
2015-12,0,8110959,17277,8128236
2016-01,0,9215068,17277,9232345
2016-02,0,8432846,17277,8450123
2016-03,0,8832877,17277,8850154
2016-04,141606,8993063,20371,9155040
2016-05,14050913,9979452,230100,24260465
2016-06,152323108,10107533,3120904,165551546
2016-07,203312296,10871233,4669255,218852783
2016-08,152479014,11338356,3040242,166857613
2016-09,26751199,7561644,383038,34695880
2016-10,10271657,8696986,28027,18996671
2016-11,16113,8095890,17277,8129281
2016-12,0,7711781,17277,7729058
2017-01,0,7100274,17277,7117551
2017-02,0,7172603,17277,7189880
2017-03,0,9066438,17277,9083715
2017-04,0,8523617,17277,8540894
2017-05,31414233,8096804,584398,40095435
2017-06,86081762,4150685,1481168,91713615
2017-07,156906606,5322374,3469739,165698720
2017-08,105790055,10149315,2300131,118239502
2017-09,59841050,8465753,1233922,69540725
2017-10,2995598,8747945,41558,11785101
2017-11,19063,10602740,17277,10639080
2017-12,4120,8726712,17277,8748110
2018-01,0,8408219,17277,8425496
2018-02,0,6539726,17277,6557003
2018-03,0,6998356,17277,7015633
2018-04,228884,4931507,17277,5177667
2018-05,890058,6505753,17277,7413088
2018-06,68103458,3164384,1207923,72475764
2018-07,158029975,2774429,3771705,164576109
2018-08,95951003,3376027,2022280,101349310
2018-09,36975285,4493151,475387,41943823
2018-10,0,7091781,17277,7109058
2018-11,136682,7479452,17277,7633411
2018-12,0,8556849,17277,8574126
2019-01,0,7983562,17277,8000839
2019-02,0,5830137,17277,5847414
2019-03,0,7445662,17277,7462939
2019-04,6418336,5561644,23795,12003775
2019-05,30697176,5605479,459112,36761767
2019-06,143053912,6164384,2739162,151957458
2019-07,248824272,7983562,5607954,262415788
2019-08,121514070,7190868,2391165,131096102
2019-09,36678633,7972603,513120,45164356
2019-10,2585771,8068493,17394,10671658
2019-11,0,8054795,17277,8072072
2019-12,14911,8634703,17277,8666891
2020-01,0,7757078,17277,7774355
2020-02,0,7349315,17277,7366592
2020-03,0,7842009,17277,7859286
2020-04,46655,5876712,17277,5940645
2020-05,6174232,5831963,20352,12026547
2020-06,108021906,3452055,1773630,113247591
2020-07,161206147,3821918,3452396,168480461
2020-08,137799017,3057534,2506819,143363371
2020-09,4755363,6082192,94523,10932077
2020-10,2326870,7601370,33121,9961361
2020-11,0,7205479,17277,7222756
2020-12,0,8238356,17277,8255633
