# Official name: Nordenskiooeld Gletsjer, Foreign name: Nordenskiooeld Gletsjer, Mouginot/Mankoff name: Nordenskiold Ne, Mouginot region: NE, Mankoff discharge gate (2021): 128, closest NSIDC/MEASUREs ID: 116, distance to closest NSIDC/MEASUREs ID: 4827m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,5973972,564602,6538574
2010-02,0,5376798,564602,5941400
2010-03,0,5945205,564602,6509808
2010-04,0,5753425,564602,6318027
2010-05,2609661,5945205,564602,9119469
2010-06,65259355,5753425,651847,71664627
2010-07,160384759,5945205,1526902,167856866
2010-08,81491070,5945205,966285,88402560
2010-09,7219889,5753425,610828,13584141
2010-10,0,5945205,564602,6509808
2010-11,0,5744455,564602,6309057
2010-12,0,5914823,564602,6479425
2011-01,0,5889040,564602,6453643
2011-02,0,5300086,564602,5864688
2011-03,0,5860274,564602,6424876
2011-04,0,5671233,564602,6235835
2011-05,0,5860274,564602,6424876
2011-06,29290012,5671233,649133,35610377
2011-07,106724171,5775342,1267541,113767054
2011-08,49540382,5775342,848782,56164506
2011-09,3773,5589041,564602,6157417
2011-10,0,5775342,564602,6339945
2011-11,0,5589041,564602,6153644
2011-12,0,5775342,564602,6339945
2012-01,0,5775342,564602,6339945
2012-02,0,5361028,564602,5925631
2012-03,0,5690411,564602,6255013
2012-04,0,5506849,564602,6071452
2012-05,1953302,5690411,570898,8214611
2012-06,110815451,5506849,1084495,117406795
2012-07,212328848,5690411,1692858,219712118
2012-08,101271753,5690411,1403770,108365933
2012-09,0,5506849,564602,6071452
2012-10,0,5605479,564602,6170082
2012-11,0,5424658,564602,5989260
2012-12,0,5626683,564602,6191285
2013-01,0,5667980,564602,6232583
2013-02,0,5139726,564602,5704328
2013-03,0,5690411,564602,6255013
2013-04,0,5589041,564602,6153644
2013-05,0,5775342,564602,6339945
2013-06,43099826,5589041,634555,49323422
2013-07,111477189,5775342,1254258,118506790
2013-08,37161581,5860274,777504,43799359
2013-09,0,5671233,564602,6235835
2013-10,0,5860274,564602,6424876
2013-11,0,5753425,564602,6318027
2013-12,0,5945205,564602,6509808
2014-01,0,5945205,564602,6509808
2014-02,0,5369863,564602,5934465
2014-03,0,6030137,564602,6594739
2014-04,0,5835616,564602,6400219
2014-05,0,6030137,564602,6594739
2014-06,42153807,5917808,883256,48954872
2014-07,105247907,6115068,1045806,112408782
2014-08,34412978,6115068,710194,41238241
2014-09,1862,5917808,564602,6484273
2014-10,22,6115068,564602,6679693
2014-11,21,5917808,564602,6482432
2014-12,22,6115068,564602,6679693
2015-01,0,6115068,564602,6679671
2015-02,0,5561644,564602,6126246
2015-03,0,6624658,564602,7189260
2015-04,0,6386749,564602,6951351
2015-05,0,6539726,564602,7104328
2015-06,24803187,6130954,753551,31687693
2015-07,186624672,6030137,1349408,194004217
2015-08,26798296,5690411,702626,33191333
2015-09,39828,5589041,564602,6193472
2015-10,0,6030137,564602,6594739
2015-11,1,5540872,564602,6105475
2015-12,8,5435616,564602,6000227
2016-01,0,5520548,564602,6085150
2016-02,0,5308227,564602,5872829
2016-03,0,5860274,564602,6424876
2016-04,0,5950039,564602,6514641
2016-05,0,6327397,564602,6892000
2016-06,30810512,6113251,801827,37725589
2016-07,168924656,6284932,1809178,177018766
2016-08,37634000,5860274,744232,44238506
2016-09,127625,5835616,564603,6527845
2016-10,0,6233973,564602,6798575
2016-11,0,6164384,564602,6728986
2016-12,0,6267945,564602,6832548
2017-01,0,6233973,564602,6798575
2017-02,0,5638356,564602,6202959
2017-03,0,6242466,564602,6807068
2017-04,0,6050856,564602,6615459
2017-05,119967,6284932,564602,6969501
2017-06,16631828,6780822,564602,23977253
2017-07,57581791,7049315,771431,65402537
2017-08,32438648,6284932,628720,39352300
2017-09,355663,6410959,564602,7331225
2017-10,1,6709589,564602,7274193
2017-11,0,7027397,564602,7592000
2017-12,0,7028082,564602,7592685
2018-01,3,6913425,564602,7478031
2018-02,0,6213699,564602,6778301
2018-03,0,7287123,564602,7851726
2018-04,0,7356164,564602,7920767
2018-05,0,7372055,564602,7936657
2018-06,9902104,7931507,638453,18472064
2018-07,41510955,8068493,947034,50526482
2018-08,43583043,7771233,744975,52099251
2018-09,2400569,8246575,564602,11211746
2018-10,12576,8450685,564602,9027863
2018-11,529,8054795,564602,8619926
2018-12,546,7962329,564602,8527477
2019-01,0,7941096,564602,8505698
2019-02,0,7210959,564602,7775561
2019-03,0,7728767,564602,8293370
2019-04,0,7753425,564602,8318027
2019-05,450906,7516438,564602,8531947
2019-06,77366675,6410959,871047,84648681
2019-07,209295981,5435616,2220466,216952063
2019-08,90280801,5039269,2498508,97818579
2019-09,87997,4931507,564602,5584106
2019-10,376,4954338,564602,5519316
2019-11,1767,5095890,564602,5662260
2019-12,240,5322374,564602,5887217
2020-01,0,5350685,564602,5915287
2020-02,0,5204110,564602,5768712
2020-03,0,5633790,564602,6198392
2020-04,0,5671233,564602,6235835
2020-05,0,5945205,564602,6509808
2020-06,27607855,5753425,603959,33965238
2020-07,86161282,5945205,961345,93067833
2020-08,30537832,5945205,630440,37113477
2020-09,0,5863014,564602,6427616
2020-10,0,6284932,564602,6849534
2020-11,0,6054795,564602,6619397
2020-12,0,6200000,564602,6764602
