# Official name: Nordenskiooeld Gletsjer/Nansen Gletsjer, Foreign name: Nordenskiooeld Gletsjer/Nansen Gletsjer, Mouginot/Mankoff name: Nordenskiold Glescher Nw, Mouginot region: NW, Mankoff discharge gate (2021): 79, closest NSIDC/MEASUREs ID: 48, distance to closest NSIDC/MEASUREs ID: 5238m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,8864,448011020,7583591,455603476
2010-02,8006,410645254,7583591,418236852
2010-03,8864,460753425,7583591,468345880
2010-04,8578,452547945,7583591,460140115
2010-05,16674295,398158904,7626332,422459531
2010-06,419472833,436931507,11983778,868388118
2010-07,629212740,503728767,13748678,1146690186
2010-08,621686692,437821918,13262699,1072771309
2010-09,10557119,427479452,7671062,445707633
2010-10,22115,445635616,7583596,453241327
2010-11,5531586,435124893,7584730,448241209
2010-12,30051,453472393,7583821,461086266
2011-01,0,457425932,7594912,465020845
2011-02,0,416717151,7583757,424300908
2011-03,0,464915068,7583781,472498849
2011-04,0,453698630,7583776,461282406
2011-05,0,436717808,7584263,444302071
2011-06,266433107,469397260,9896950,745727317
2011-07,1079825142,515109589,17433843,1612368573
2011-08,375099309,431367123,11142299,817608732
2011-09,1628961,420000000,7587415,429216377
2011-10,3436,436547945,7584027,444135408
2011-11,3027,425056272,7584086,432643385
2011-12,1717,441836999,7584022,449422738
2012-01,10380,444531507,7583586,452125472
2012-02,9710,418363184,7583586,425956480
2012-03,10380,449712329,7583586,457306294
2012-04,10045,437753425,7583737,445347206
2012-05,14481889,454978082,7648925,477108896
2012-06,479026181,442438356,11693099,933157636
2012-07,1236659659,489290411,20607417,1746557486
2012-08,667855055,426271233,13949828,1108076116
2012-09,2665100,404301370,7586050,414552520
2012-10,268491,441304110,7583586,449156186
2012-11,11338,446794521,7583586,454389444
2012-12,11706,458300987,7583586,465896279
2013-01,57358,450542107,7583815,458183280
2013-02,51807,399978082,7583793,407613682
2013-03,57358,437312329,7583815,444953501
2013-04,55507,417287671,7583807,424926986
2013-05,57356,464660274,7583814,472301445
2013-06,148192884,452876712,9081158,610150754
2013-07,505298178,501265753,12979211,1019543142
2013-08,178423554,452939726,9147565,640510845
2013-09,4692760,474575342,7584848,486852951
2013-10,16502,493961644,7583711,501561856
2013-11,16699,481643836,7583707,489244242
2013-12,17261,501265753,7583711,508866725
2014-01,12122,505002740,7583684,512598546
2014-02,10948,459583562,7583675,467178185
2014-03,12122,512306849,7583684,519902655
2014-04,11731,498082192,7583681,505677604
2014-05,12122,499736986,7583684,507332792
2014-06,218835885,500219178,9341789,728396851
2014-07,857532770,532350685,15710485,1405593940
2014-08,365133535,481136986,10697675,856968196
2014-09,1331949,497876712,7584021,506792682
2014-10,1199823,506616438,7583636,515399897
2014-11,21413,502109589,7583635,509714637
2014-12,22126,530821918,7583636,538427680
2015-01,8698,535663014,7583599,543255310
2015-02,7860,496712329,7583597,504303786
2015-03,8698,539994521,7583599,547586817
2015-04,8422,535986621,7583598,543578641
2015-05,158404,572820548,7583599,580562551
2015-06,234319256,566060544,9463710,809843511
2015-07,1284319666,590868493,20220350,1895408509
2015-08,151638634,511754795,8816734,672210162
2015-09,4609291,591534247,7583896,603727434
2015-10,11857,537998630,7583586,545594073
2015-11,11440,519770628,7583586,527365654
2015-12,11824,536852055,7583586,544447465
2016-01,2591,544538356,7583607,552124555
2016-02,2424,518943842,7583607,526529873
2016-03,2591,567087671,7583607,574673870
2016-04,149258,567754368,7583612,575487238
2016-05,1131017,609086301,7583600,617800919
2016-06,134844452,617368005,8691808,760904266
2016-07,990189225,654906849,16810833,1661906908
2016-08,474679043,624586301,11823408,1111088752
2016-09,964694,595438356,7583804,603986854
2016-10,1628,622938630,7583607,630523865
2016-11,5980,612328767,7583589,619918336
2016-12,3294,649046575,7583591,656633461
2017-01,6883,666729315,7583625,674319823
2017-02,6216,617342466,7583621,624932303
2017-03,6882,679345890,7583625,686936398
2017-04,6660,676137255,7583624,683727539
2017-05,913695,717076712,7583625,725574032
2017-06,102143819,683465753,8446729,794056302
2017-07,557353897,759315982,12031073,1328700952
2017-08,405851709,740220548,10504799,1156577055
2017-09,3264662,751068493,7586402,761919558
2017-10,148799,740560274,7583648,748292721
2017-11,10281,716835616,7583624,724429521
2017-12,9768,763958904,7583602,771552274
2018-01,20165,765470685,7583586,773074435
2018-02,18092,657846575,7583586,665448253
2018-03,20037,735353973,7583586,742957595
2018-04,19385,708945205,7583586,716548176
2018-05,1136250,740059178,7583586,748779014
2018-06,138180423,723082192,8568373,869830988
2018-07,185249404,751162557,9339338,945751300
2018-08,401268336,761856849,11120195,1174245380
2018-09,5607656,697917808,7591694,711117158
2018-10,50826,740581507,7583586,748215919
2018-11,38582,718684932,7583586,726307099
2018-12,39798,744106164,7583586,751729548
2019-01,2942,735209589,7583586,742796117
2019-02,2657,658076712,7583586,665662955
2019-03,2942,725739726,7583586,733326254
2019-04,1053928,702547945,7584416,711186289
2019-05,55541670,740220548,7839070,803601288
2019-06,345083167,699068493,10519172,1054670832
2019-07,1307931934,697500000,20053119,2025485053
2019-08,618420851,666882192,12889757,1298192800
2019-09,30927204,640643836,7757754,679328793
2019-10,111066,676479452,7583595,684174113
2019-11,5376,661931507,7583595,669520478
2019-12,3726,695560731,7583595,703148052
