# Official name: Nunatakassaap Sermia, Foreign name: Nunatakassaap Sermia, Mouginot/Mankoff name: Alison Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 113, closest NSIDC/MEASUREs ID: 35, distance to closest NSIDC/MEASUREs ID: 7064m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,269692288,7519983,277212272
2010-02,0,242775794,7519983,250295778
2010-03,0,267704110,7519983,275224093
2010-04,0,257671233,7519983,265191216
2010-05,34738579,254030137,7673628,296442344
2010-06,437308716,301150685,11894250,750353651
2010-07,546364744,310594521,13884754,870844019
2010-08,499644113,298194521,13876647,811715280
2010-09,10833866,273945205,7587159,292366230
2010-10,193696,287323288,7519983,295036967
2010-11,4531649,282262550,7530500,294324699
2010-12,21171,295857245,7520009,303398425
2011-01,0,300170843,7519983,307690827
2011-02,0,275017092,7519983,282537075
2011-03,0,308386301,7519983,315906285
2011-04,0,302630137,7519983,310150120
2011-05,0,316879452,7519983,324399435
2011-06,268097098,306000000,9638858,583735956
2011-07,830207419,337263014,17120600,1184591033
2011-08,298502835,333780822,10698861,642982517
2011-09,5308689,327369863,7532660,340211212
2011-10,0,333610959,7519983,341130942
2011-11,0,318194011,7519983,325713994
2011-12,0,324152319,7519983,331672303
2012-01,0,319342466,7519983,326862449
2012-02,0,294216938,7519983,301736921
2012-03,0,310000000,7519983,317519983
2012-04,0,295397260,7519983,302917244
2012-05,28537697,295986301,7660727,332184725
2012-06,492584015,317260274,12995971,822840260
2012-07,790780006,326476712,21389343,1138646061
2012-08,440155734,329449315,12934404,782539453
2012-09,6548460,329424658,7532775,343505893
2012-10,2050066,338367123,7522169,347939358
2012-11,0,325808219,7519983,333328203
2012-12,0,332144838,7519983,339664822
2013-01,0,324761548,7519983,332281532
2013-02,0,286673973,7519983,294193956
2013-03,0,311613699,7519983,319133682
2013-04,0,320054795,7519983,327574778
2013-05,0,315520548,7519983,323040531
2013-06,200411850,297534247,9009489,506955586
2013-07,468707058,343802740,12352513,824862310
2013-08,138364362,334375342,8519331,481259035
2013-09,9984745,324986301,7568492,342539538
2013-10,0,335394521,7519983,342914504
2013-11,0,324000000,7519983,331519983
2013-12,0,334375342,7519983,341895326
2014-01,0,334035616,7519983,341555600
2014-02,0,301556164,7519983,309076148
2014-03,0,333780822,7519983,341300805
2014-04,0,310849315,7519983,318369298
2014-05,2,328854795,7519983,336374780
2014-06,260139534,321698630,9572866,591411030
2014-07,570970262,354419178,15874068,941263508
2014-08,318990973,335819178,10195920,665006072
2014-09,1773790,332342466,7521593,341637849
2014-10,645410,340405479,7519983,348570872
2014-11,0,342493151,7519983,350013134
2014-12,0,367158904,7519983,374678887
2015-01,0,380535616,7519983,388055600
2015-02,0,355139726,7519983,362659709
2015-03,0,402787671,7519983,410307655
2015-04,0,382678547,7519983,390198530
2015-05,1072709,388434247,7524260,397031216
2015-06,256740124,381756893,9883858,648380875
2015-07,783920046,400239726,20468562,1204628335
2015-08,148375463,383041096,8785042,540201601
2015-09,8276699,411534247,7545175,427356121
2015-10,0,421175342,7519983,428695326
2015-11,0,418705119,7519983,426225102
2015-12,0,443597260,7519983,451117244
2016-01,0,427545205,7519983,435065189
2016-02,0,396271184,7519983,403791167
2016-03,0,420410959,7519983,427930942
2016-04,269633,396935024,7519983,404724640
2016-05,2425362,402872603,7519983,412817948
2016-06,176984885,402698097,8864398,588547381
2016-07,634357474,428734247,17228473,1080320194
2016-08,343625105,426950685,10149829,780725619
2016-09,1433392,406726027,7520853,415680272
2016-10,0,439231781,7519983,446751764
2016-11,0,431465753,7519983,438985737
2016-12,0,431316164,7519983,438836148
2017-01,0,418015890,7519983,425535874
2017-02,0,373857534,7519983,381377518
2017-03,0,414550685,7519983,422070668
2017-04,0,399324379,7519983,406844363
2017-05,124587,407869406,7519983,415513977
2017-06,132032761,379191781,8386935,519611477
2017-07,486668432,413248402,11858570,911775403
2017-08,304436101,428139726,10000845,742576672
2017-09,5246747,413095890,7536746,425879384
2017-10,1888,446400000,7519983,453921871
2017-11,0,430273973,7519983,437793956
2017-12,0,426483562,7519983,434003545
2018-01,0,435172055,7519983,442692038
2018-02,0,382238356,7519983,389758340
2018-03,0,427069589,7519983,434589572
2018-04,0,402534247,7519983,410054230
2018-05,1836695,411136438,7525633,420498766
2018-06,191952092,378821918,8518111,579292121
2018-07,238498618,405066667,8941559,652506844
2018-08,364226967,433384247,11381891,808993104
2018-09,7521233,412547945,7542937,427612115
2018-10,0,429243836,7519983,436763819
2018-11,0,416273973,7519983,423793956
2018-12,0,422682877,7519983,430202860
2019-01,0,415654795,7519983,423174778
