# Official name: Nuussuup Sermia, Foreign name: Kong Oscar Gletsjer, Mouginot/Mankoff name: Kong Oscar Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 73, closest NSIDC/MEASUREs ID: 51, distance to closest NSIDC/MEASUREs ID: 3937m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,4,735114540,18796036,753910580
2010-02,14,657967027,18796036,676763077
2010-03,0,722342466,18796036,741138502
2010-04,0,692383562,18796036,711179598
2010-05,13101795,667731507,18872543,699705845
2010-06,327981460,759452055,22672907,1110106422
2010-07,427280772,781369863,24305753,1232956388
2010-08,377836714,809142466,24141584,1211120764
2010-09,8691228,774657534,18863140,802211902
2010-10,37,792071233,18796059,810867329
2010-11,3217763,758161719,18796039,780175521
2010-12,10870,775104387,18796159,793911417
2011-01,0,766509116,18796036,785305153
2011-02,0,684561015,18796036,703357051
2011-03,0,750115068,18796036,768911105
2011-04,0,717534247,18796036,736330283
2011-05,0,733128767,18796036,751924803
2011-06,202224882,725342466,20733734,948301082
2011-07,722081186,767186301,29105538,1518373025
2011-08,256478743,707309589,22569757,986358089
2011-09,677063,688931507,18797308,708405878
2011-10,7,716312329,18796293,735108629
2011-11,7,697629585,18796285,716425876
2011-12,4,725313745,18796180,744109928
2012-01,2412,729901370,18796036,748699818
2012-02,2256,687110135,18796036,705908428
2012-03,2412,738819178,18796036,757617626
2012-04,2334,719506849,18796036,738305220
2012-05,14635269,747906849,18899853,781441971
2012-06,349617100,728219178,23088051,1100924328
2012-07,812363237,796317808,35971297,1644652342
2012-08,418220135,763619178,26014372,1207853685
2012-09,2579096,636000000,18796146,657375242
2012-10,246499,723361644,18796387,742404530
2012-11,1435,755589041,18796068,774386544
2012-12,1423,779227547,18796038,798025008
2013-01,3619,775690129,18796053,794489800
2013-02,3268,697468493,18796051,716267812
2013-03,3615,769734247,18796053,788533914
2013-04,3485,742273973,18796052,761073510
2013-05,2223,686161644,18796052,704959919
2013-06,130528630,806794521,19984440,957307590
2013-07,371949203,868509589,24605410,1265064203
2013-08,142517811,794958904,20104235,957580950
2013-09,2940180,737835616,18796062,759571859
